Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_final,round_qual,round_unknown
37.0,4.9,7.533,0.0,12.433,2015,0,217,24,False,True,False
38.0,5.1,7.3,0.0,12.4,2015,0,263,25,False,True,False
39.0,5.5,6.9,0.0,12.4,2015,0,228,20,False,True,False
40.0,5.4,6.933,0.0,12.333,2015,0,67,22,False,True,False
41.0,4.1,8.133,0.0,12.233,2015,0,65,21,False,True,False
42.0,5.2,7.033,0.0,12.233,2015,0,216,19,False,True,False
43.0,4.5,7.7,0.0,12.2,2015,0,77,46,False,True,False
44.0,5.4,6.766,0.0,12.166,2015,0,27,53,False,True,False
45.0,4.5,7.5,0.0,12.0,2015,0,79,31,False,True,False
46.0,4.4,7.566,0.0,11.966,2015,0,92,30,False,True,False
47.0,3.9,7.966,0.0,11.866,2015,0,251,57,False,True,False
48.0,4.7,7.0,0.0,11.7,2015,0,25,7,False,True,False
49.0,5.0,6.533,0.0,11.533,2015,0,36,14,False,True,False
50.0,4.5,7.0,0.0,11.5,2015,0,199,20,False,True,False
51.0,4.8,6.666,0.0,11.466,2015,0,264,14,False,True,False
52.0,5.7,5.733,0.0,11.433,2015,0,16,19,False,True,False
53.0,4.7,6.666,0.0,11.366,2015,0,84,66,False,True,False
54.0,4.8,6.433,0.0,11.233,2015,0,185,25,False,True,False
55.0,4.6,6.6,0.0,11.2,2015,0,154,68,False,True,False
56.0,5.2,5.866,0.0,11.066,2015,0,52,21,False,True,False
57.0,3.7,7.333,0.0,11.033,2015,0,9,7,False,True,False
58.0,5.2,5.833,0.0,11.033,2015,0,71,66,False,True,False
59.0,4.5,6.466,0.0,10.966,2015,0,225,9,False,True,False
60.0,5.1,5.866,0.0,10.966,2015,0,211,19,False,True,False
61.0,3.8,7.066,0.0,10.866,2015,0,193,46,False,True,False
62.0,5.1,5.7,0.0,10.8,2015,0,144,49,False,True,False
63.0,4.3,6.4,0.0,10.7,2015,0,189,4,False,True,False
64.0,4.2,6.333,0.0,10.533,2015,0,258,40,False,True,False
65.0,4.3,6.133,0.0,10.433,2015,0,253,66,False,True,False
66.0,2.7,7.6,0.0,10.3,2015,0,261,39,False,True,False
67.0,4.0,6.266,0.0,10.266,2015,0,188,4,False,True,False
68.0,3.4,6.766,0.0,10.166,2015,0,248,31,False,True,False
69.0,3.9,6.266,0.0,10.166,2015,0,195,17,False,True,False
70.0,3.3,6.833,0.0,10.133,2015,0,204,23,False,True,False
71.0,2.7,7.333,0.0,10.033,2015,0,245,30,False,True,False
72.0,5.6,4.366,0.0,9.966,2015,0,30,68,False,True,False
73.0,4.8,5.133,0.0,9.933,2015,0,255,32,False,True,False
74.0,3.7,6.2,0.0,9.9,2015,0,218,44,False,True,False
75.0,4.1,5.666,0.0,9.766,2015,0,111,32,False,True,False
76.0,1.6,8.066,0.0,9.666,2015,0,10,39,False,True,False
77.0,3.3,6.333,0.0,9.633,2015,0,23,39,False,True,False
78.0,3.7,5.8,0.0,9.5,2015,0,212,31,False,True,False
79.0,4.4,4.933,0.0,9.333,2015,0,240,46,False,True,False
80.0,1.8,7.033,0.0,8.833,2015,0,142,17,False,True,False
81.0,1.2,7.566,0.0,8.766,2015,0,196,46,False,True,False
82.0,2.5,5.7,0.0,8.2,2015,0,26,31,False,True,False
83.0,3.2,4.6,0.0,7.8,2015,0,6,9,False,True,False
84.0,3.5,3.933,0.0,7.433,2015,0,164,17,False,True,False
85.0,3.0,3.8,0.0,6.8,2015,0,108,40,False,True,False
