Price	Number_of_Hours_Late	Number_Cancelled_per_Day_per_500	Bag_Delivery_Time	Number_Lost_Bags
1702.37	0.45			
1713.09	0.426			
1920.32	0.476			
1629.47	0.445			
1665.62	0.415			
1685.16	0.35			
1703.67	0.384			
1572.4	0.462			
1707.39	0.384			
1745.14	0.355			
1273.99	0.381			
1968.6	0.356			
1610.55	0.43			
1545.54	0.393			
1579.03	0.402			
1640.06	0.393			
1212.17	0.459			
1833.68	0.435			
944.9	0.419			
1830.91	0.49			
1666.99	0.388			
1537.57	0.434			
1284.21	0.409			
1712.94	0.383			
2053.22	0.394			
1435.63	0.373			
1103.05	0.432			
1510.77	0.49			
1643.86	0.436			
1808.47	0.46			
2040.14	0.408			
1737.01	0.416			
1758.95	0.4			
1283.58	0.413			
1903.78	0.439			
1491.1	0.441			
1902.19	0.426			
1438.72	0.374			
1475.74	0.424			
1847.67	0.352			
1702.49	0.432			
1530.77	0.431			
1583.31	0.484			
1724.21	0.399			
1019.49	0.441			
1374.31	0.398			
1794.9	0.411			
1443.74	0.377			
1638.43	0.398			
1664.06	0.461			
1730.86	0.372			
1604.58	0.388			
1640.08	0.427			
1384.12	0.441			
1336.89	0.376			
1803.07	0.435			
1538.74	0.388			
2068.62	0.422			
1515.46	0.357			
1500.02	0.4			
1377.52	0.368			
1497.1	0.403			
1686.36	0.378			
1732.66	0.401			
1594.99	0.417			
1693.01	0.401			
1706.75	0.388			
1535.35	0.408			
1442.71	0.445			
1351.59	0.393			
1660.26	0.349			
1794.46	0.375			
2053.84	0.415			
1547.04	0.472			
1375.84	0.454			
2052.91	0.438			
1408.7	0.439			
1617.74	0.376			
1374.54	0.44			
1414.12	0.408			
1942.42	0.448			
1500.96	0.422			
1634.45	0.4			
1580.57	0.417			
1538.39	0.465			
1696.74	0.417			
1449	0.382			
1469.06	0.432			
1319.95	0.465			
1785.66	0.421			
1700.31	0.425			
1964.91	0.401			
1080.66	0.39			
1353.06	0.425			
1133.95	0.421			
1624.35	0.442			
1555.12	0.372			
1217.82	0.414			
1406.9	0.419			
1605.51	0.4			
1554.92	0.421			
1613.36	0.438			
1546.39	0.399			
1908.23	0.395			
1411.91	0.431			
1817.54	0.407			
1851.89	0.372			
1625.58	0.411			
1581.24	0.399			
1317.58	0.373			
1352.35	0.377			
1361.35	0.427			
1650.71	0.412			
1935.54	0.391			
1834.3	0.353			
1417.11	0.416			
1455.69	0.386			
1227.89	0.442			
1292.18	0.426			
1981.12	0.416			
1601.76	0.498			
2378.04	0.392			
1470.15	0.446			
1646.02	0.43			
889.5	0.409			
1667.35	0.439			
1621.26	0.388			
1498.92	0.431			
1640.7	0.375			
1409.67	0.422			
1323.19	0.378			
1700.01	0.432			
1769.94	0.421			
1160.58	0.351			
2023.29	0.391			
1536.04	0.377			
1832.61	0.415			
2250.05	0.395			
1885.98	0.432			
1732.38	0.42			
1386.91	0.464			
1742.17	0.419			
1689.05	0.477			
1850.47	0.375			
1280.61	0.429			
1770.96	0.424			
1793.87	0.458			
1874.23	0.397			
1211.05	0.414			
1390.06	0.392			
1936.02	0.42			
1718.48	0.422			
1563.93	0.411			
967.9	0.398			
1933.21	0.462			
1881.66	0.476			
1575.09	0.436			
2062.96	0.39			
1035.49	0.489			
1512.74	0.433			
1226.78	0.436			
1386.76	0.425			
1545.52	0.39			
1786.7	0.447			
1897.22	0.407			
1430.75	0.401			
1434.02	0.393			
1579.09	0.404			
1551.39	0.504			
1212.1	0.346			
1642.59	0.399			
2013.54	0.431			
1500.87	0.307			
1444.85	0.4			
1547.54	0.459			
1646.5	0.431			
1128.1	0.335			
2002.88	0.392			
1944.75	0.492			
1259.84	0.385			
1654.25	0.408			
1477.83	0.456			
1843.38	0.441			
1820.69	0.402			
1670.06	0.467			
1768.87	0.39			
2064.45	0.399			
2109.35	0.403			
1551.78	0.435			
1437.43	0.388			
1536.57	0.405			
1432.85	0.416			
1565.18	0.362			
1552.84	0.379			
1596.1	0.389			
1749.78	0.417			
1327.03	0.401			
1305.66	0.411			
1666.56	0.418			
1620.02	0.436			
1542.55	0.429			
1709.82	0.403			
1672.51	0.391			
1683.99	0.425			
1099.94	0.416			
1348.73	0.422			
1605.26	0.393			
1612.71	0.398			
1513.41	0.425			
1811.45	0.423			
1436.18	0.428			
1832.21	0.371			
1601.5	0.379			
1497	0.373			
782.43	0.46			
1256.73	0.451			
1415.38	0.393			
1540.22	0.433			
1959.05	0.416			
1641.92	0.343			
1670.31	0.356			
2038.14	0.442			
1420.5	0.379			
2300.74	0.468			
1745.33	0.501			
1196.8	0.39			
1846.51	0.404			
2237.44	0.408			
1628.43	0.486			
1676.95	0.438			
1534.73	0.368			
1835.42	0.443			
1331.94	0.447			
2015.81	0.376			
1510.07	0.459			
1467.78	0.45			
2311.43	0.357			
1371.77	0.395			
1376.62	0.394			
1339.41	0.477			
1610.18	0.443			
1320.19	0.387			
1745.09	0.388			
838.26	0.361			
1461.38	0.372			
1414.38	0.398			
1189.83	0.368			
1868.36	0.456			
1885.53	0.411			
1583.3	0.4			
1370.56	0.458			
1263.34	0.358			
1962.97	0.425			
1942.78	0.385			
1573.67	0.397			
2185.58	0.37			
1589.88	0.408			
1960.74	0.446			
1937.04	0.439			
2159.76	0.453			
1836.69	0.447			
1886.23	0.442			
1853.28	0.413			
1561.88	0.395			
1950.95	0.415			
1528.93	0.413			
1743.1	0.422			
2109.73	0.392			
2235.44	0.389			
1790.66	0.428			
1707.96	0.436			
1204.35	0.473			
1678.77	0.402			
1687.26	0.497			
2042.89	0.415			
1427.89	0.415			
1921.71	0.44			
1247.65	0.445			
1740.01	0.382			
1388.92	0.425			
1875	0.404			
1145.54	0.405			
1773.13	0.41			
1762.37	0.374			
1617.06	0.418			
2227.96	0.452			
1845.06	0.407			
1279.04	0.326			
1821.7	0.388			
1365.1	0.414			
1822.3	0.41			
1314.14	0.399			
1831.34	0.393			
1373.51	0.426			
1959.18	0.425			
1624.5	0.409			
1644.23	0.456			
1907.7	0.357			
1911.46	0.449			
1927.58	0.434			
2056.5	0.406			
1509.6	0.417			
2057.75	0.377			
1534.94	0.362			
1287.26	0.423			
1621.46	0.386			
2056.64	0.419			
1732.21	0.419			
1425.58	0.394			
1464.92	0.396			
1556.09	0.452			
1655.21	0.496			
1085.03	0.367			
1369.26	0.408			
1862.44	0.473			
2008.72	0.457			
1925.11	0.371			
1978.38	0.383			
1584.93	0.378			
1576.83	0.448			
1215.64	0.412			
2126.46	0.41			
1227.49	0.497			
1680.68	0.415			
1341.43	0.402			
1473	0.372			
1414.64	0.443			
1164.55	0.379			
1787.08	0.413			
1600.37	0.388			
1691.49	0.416			
1822.72	0.455			
1752.02	0.379			
1635.28	0.413			
1593.5	0.371			
1987.58	0.419			
1700.43	0.379			
1839.06	0.436			
984.41	0.355			
1792.27	0.447			
2204.74	0.453			
1665.84	0.427			
1737.69	0.47			
1615.56	0.384			
1547	0.375			
1927.59	0.357			
1777.97	0.423			
1861.69	0.468			
1359.02	0.416			
1486	0.419			
1577.76	0.427			
1882.54	0.467			
1617.85	0.46			
1276.39	0.438			
1730.09	0.411			
2267.14	0.413			
1646.69	0.339			
1848.22	0.421			
1872.05	0.453			
1969.14	0.395			
1980.9	0.432			
1713.39	0.437			
2027.71	0.349			
1443.85	0.414			
1902.69	0.407			
1549.47	0.434			
2017.24	0.403			
1484.74	0.393			
1936.65	0.446			
1542.98	0.414			
1268.87	0.324			
1593.54	0.412			
1661.36	0.373			
1801.86	0.383			
2408.07	0.372			
1970.65	0.483			
1261.21	0.431			
1484.34	0.426			
1528.02	0.403			
1397.23	0.417			
1169.66	0.39			
1689.7	0.375			
1352.95	0.484			
1736.03	0.474			
1313.18	0.425			
1550.97	0.465			
1841.3	0.391			
1690.66	0.417			
1705.28	0.364			
1501.08	0.436			
1585.94	0.408			
1562.45	0.408			
1470.91	0.51			
1823.19	0.414			
1550.87	0.367			
1578.3	0.428			
1826.63	0.461			
1671.2	0.394			
1741.42	0.388			
1599.58	0.526			
1998.78	0.355			
1421.94	0.453			
1824.54	0.46			
1491.82	0.353			
1672.64	0.415			
2004.59	0.411			
1506.43	0.419			
1460.08	0.463			
1683.24	0.436			
1446.08	0.415			
1989.57	0.428			
1356.46	0.345			
1351.5	0.376			
1399.67	0.5			
1399.36	0.422			
1509.23	0.468			
1731.52	0.41			
1398.14	0.402			
1464.9	0.442			
1441.07	0.421			
1760.66	0.387			
1871.86	0.383			
1299.42	0.437			
1599.78	0.425			
1782.93	0.377			
1594.54	0.419			
1400.58	0.396			
1264.7	0.404			
1722.94	0.387			
1858.03	0.4			
1196.18	0.334			
2720.83	0.403			
1560.37	0.499			
1368.54	0.448			
1561.54	0.441			
1546	0.357			
1864.71	0.422			
1306.19	0.345			
1509.92	0.401			
1843.46	0.4			
2344.74	0.423			
1590.89	0.395			
1598.74	0.359			
2068.05	0.45			
1324.64	0.48			
1622.58	0.415			
1647.3	0.415			
1764.82	0.36			
1562.39	0.422			
1659.94	0.429			
1696.83	0.445			
1716.36	0.425			
1577.01	0.394			
1887.94	0.382			
1921.36	0.381			
1462.62	0.416			
1988.54	0.398			
1381.6	0.399			
1728.07	0.442			
1663.88	0.43			
1624.2	0.411			
1750.5	0.368			
1590.78	0.377			
1125.79	0.38			
1721.04	0.368			
1850.31	0.453			
1836.1	0.426			
1712.71	0.493			
1426.62	0.36			
2067.54	0.393			
1688.71	0.427			
864.24	0.416			
1658.25	0.444			
1397.38	0.35			
1733.55	0.483			
1409.35	0.401			
1885.44	0.453			
1095.33	0.405			
1836.44	0.412			
1352.92	0.413			
1316.52	0.401			
1218.61	0.466			
1326.34	0.387			
1615.7	0.373			
1597.7	0.425			
2024.73	0.361			
1833.14	0.378			
1705.84	0.409			
1543.83	0.428			
1268.12	0.4			
1326.94	0.493			
1544.85	0.371			
1403.58	0.402			
1874.92	0.401			
1717.04	0.409			
1951.06	0.441			
1394.97	0.444			
1646.39	0.494			
1669.37	0.486			
2199.73	0.399			
1022.96	0.467			
1531.89	0.482			
1964.11	0.394			
1825.85	0.409			
1621.71	0.387			
1586.19	0.373			
1080.19	0.333			
1488.33	0.456			
1002.79	0.353			
1905.87	0.375			
1867.44	0.408			
1246.84	0.399			
1664.43	0.426			
1800.77	0.379			
1713.9	0.49			
1441.63	0.41			
1461.58	0.362			
1700.2	0.443			
1617.18	0.391			
1548.02	0.413			
1305.9	0.357			
1102.26	0.393			
1421.78	0.44			
1455.95	0.4			
1779.08	0.429			
1480.28	0.398			
1043.63	0.473			
1593.14	0.402			
1727.2	0.382			
1524.98	0.403			
1404.7	0.423			
1585.13	0.387			
1847.9	0.41			
1751.03	0.39			
1837.39	0.458			
1756.66	0.415			
1551.4	0.387			
1845.35	0.408			
1780.38	0.433			
1964.46	0.437			
1392.75	0.444			
1492.78	0.367			
1360.26	0.395			
1296.69	0.454			
2048.18	0.45			
1758.93	0.395			
1600.49	0.408			
1816.3	0.393			
1613.46	0.429			
1794.23	0.395			
1634.2	0.422			
2071.52	0.432			
1209.86	0.408			
1921.18	0.425			
1302.42	0.421			
1601.13	0.482			
1427.71	0.409			
1441.46	0.414			
1528.9	0.463			
1593.95	0.41			
1683.33	0.449			
1012.28	0.44			
1577.6	0.408			
1710.11	0.382			
1800.31	0.33			
1825.23	0.437			
1406.04	0.399			
1700.29	0.422			
1528.46	0.454			
1355.47	0.425			
1682.38	0.424			
1250.51	0.38			
1456.99	0.439			
2097.62	0.378			
1812.29	0.428			
2269.56	0.391			
1418.72	0.417			
1271.44	0.436			
1440.57	0.367			
1332.13	0.406			
1292.48	0.427			
1667.45	0.402			
1875.02	0.408			
1766.42	0.369			
1464.03	0.485			
1742.45	0.367			
1885.89	0.438			
1402.29	0.37			
1370.01	0.386			
1750.96	0.359			
1191.51	0.47			
1468.58	0.451			
1643.51	0.439			
1804.5	0.398			
1962.01	0.408			
1504.11	0.351			
1221.98	0.38			
2072.02	0.426			
1607.81	0.43			
1909.5	0.402			
1486.22	0.409			
2069.4	0.453			
1139.64	0.477			
2038.57	0.41			
1719.98	0.408			
1281.96	0.405			
1347.58	0.434			
1348.23	0.404			
1630.31	0.432			
1781.32	0.512			
1822.62	0.379			
1873.92	0.465			
2253.82	0.42			
1859.13	0.392			
1754.83	0.421			
1492.93	0.388			
1677.61	0.395			
1682.62	0.424			
1507.98	0.421			
1832.47	0.378			
1136.32	0.393			
1827.02	0.422			
1532.87	0.442			
1627.72	0.427			
1803.14	0.4			
1356.46	0.378			
1914.53	0.456			
1898.06	0.388			
1698.09	0.388			
1328.25	0.422			
1072.17	0.466			
1516.02	0.491			
1655.61	0.377			
1305.34	0.35			
1820.1	0.412			
1626.61	0.409			
1425.96	0.398			
1645.97	0.419			
1328.3	0.406			
1357.82	0.375			
1401.24	0.414			
1856.36	0.397			
1241.06	0.363			
1871.79	0.387			
1866.01	0.373			
1318.14	0.4			
1510.82	0.376			
1763.16	0.415			
1353.87	0.428			
1575.06	0.402			
1732.98	0.346			
1549.56	0.394			
1342.74	0.412			
1368.08	0.429			
1726.83	0.457			
1478.17	0.445			
1703.9	0.4			
1945.15	0.452			
1878.58	0.474			
1784.16	0.435			
1217.75	0.468			
1830.52	0.394			
1445.04	0.365			
2010.79	0.372			
1460.05	0.391			
1989.65	0.394			
1046.94	0.394			
1824.95	0.452			
1780.1	0.407			
1755.42	0.446			
1667.44	0.481			
2063.38	0.432			
1324.7	0.453			
1783	0.42			
1873.13	0.381			
1643.55	0.459			
1725.32	0.361			
1892.18	0.491			
1678.46	0.391			
1466.14	0.383			
1803.69	0.411			
1516.08	0.445			
1295.34	0.407			
1971.33	0.365			
989.38	0.425			
1343.03	0.395			
2262.4	0.407			
1968.29	0.455			
1121.15	0.402			
1546.16	0.358			
1272.89	0.405			
1113.5	0.434			
1495.84	0.38			
1379.3	0.406			
1573.05	0.429			
1368.53	0.41			
1180.34	0.359			
1658.24	0.381			
1565.29	0.417			
1679.39	0.368			
1765.78	0.421			
1466.71	0.385			
2004.41	0.415			
1634.16	0.38			
1870.82	0.459			
1416.22	0.436			
2117.28	0.435			
1529.28	0.383			
1982.97	0.403			
1341	0.436			
1731.62	0.432			
1937.39	0.458			
1301.74	0.478			
1824.18	0.39			
1759.02	0.388			
1931.57	0.446			
1644.39	0.404			
1736.13	0.468			
1615.4	0.405			
2027.28	0.366			
1636.26	0.38			
2008.06	0.458			
1118.7	0.409			
2265.73	0.451			
1761.6	0.497			
1288.72	0.41			
1708.74	0.401			
1616.88	0.381			
1834.64	0.433			
1529.16	0.407			
1545.71	0.444			
1839.58	0.365			
1657.82	0.476			
1623.28	0.407			
1793.84	0.386			
1340.47	0.375			
2091.3	0.431			
1644.03	0.397			
1261.19	0.418			
1610.29	0.391			
1629.68	0.37			
1890.12	0.395			
1799.23	0.432			
1824.4	0.438			
1281.5	0.421			
1471.5	0.42			
1732.97	0.413			
2000.54	0.4			
1562.57	0.434			
1826.42	0.44			
1893.53	0.402			
1558.72	0.422			
1695.47	0.442			
1794.11	0.452			
1343.98	0.451			
1892.27	0.416			
1750.59	0.396			
1635.46	0.403			
1250.16	0.438			
1698.04	0.404			
1732.01	0.385			
1705.7	0.423			
1441.98	0.451			
1041.06	0.416			
1939.5	0.388			
1921.76	0.458			
1702.71	0.425			
1464.53	0.4			
1962.55	0.386			
2067.45	0.423			
1030.27	0.448			
1630.81	0.388			
1015.76	0.443			
1795.76	0.416			
1137.73	0.422			
1599.62	0.328			
1266.37	0.406			
1919.04	0.411			
1847.58	0.431			
1758.05	0.423			
1747.06	0.45			
1678.26	0.372			
1654.87	0.364			
1453.62	0.415			
1850.18	0.424			
1336.67	0.377			
1412.7	0.38			
1725.46	0.4			
1566.17	0.426			
1968.06	0.389			
1948.99	0.416			
2173.68	0.366			
1438.31	0.459			
1510.87	0.435			
1753.99	0.418			
1200.82	0.388			
1335.2	0.472			
1760.61	0.386			
2005.82	0.455			
1379.81	0.385			
1932.92	0.371			
1682.39	0.43			
1496.63	0.437			
1612.98	0.381			
1649.38	0.416			
1856.58	0.48			
1370.46	0.409			
1711.7	0.435			
2435.99	0.413			
2331.41	0.433			
2019.94	0.405			
1829.34	0.509			
1805.27	0.418			
1208.47	0.41			
1623.78	0.372			
1997.8	0.385			
1427.69	0.378			
1338.82	0.387			
1835.31	0.381			
1669.84	0.4			
1645.71	0.505			
1975.94	0.424			
1261.09	0.456			
2115.3	0.423			
1482.62	0.5			
1648.87	0.347			
1799.51	0.393			
1786.95	0.373			
1581.74	0.409			
1702.21	0.414			
1240.54	0.413			
1576.25	0.429			
1762.55	0.427			
1563.69	0.416			
1747.53	0.372			
1912.86	0.355			
1596.55	0.417			
1337.44	0.368			
1699.34	0.47			
1421.25	0.436			
1538.05	0.399			
1589.37	0.448			
2245.1	0.41			
1110.77	0.347			
1921.98	0.407			
1806.91	0.382			
1712.38	0.416			
1737	0.438			
1536.02	0.5			
1787.49	0.392			
1527.86	0.443			
1573.38	0.463			
1731.14	0.429			
1487.24	0.459			
1558.26	0.393			
1516.04	0.392			
1614.58	0.388			
1828.76	0.447			
1225.46	0.511			
1778.98	0.413			
1361.41	0.417			
1679.48	0.43			
1427.67	0.478			
2281.14	0.391			
1499.32	0.385			
1401.23	0.418			
1273.23	0.459			
1408.97	0.437			
1416.94	0.364			
1377.94	0.485			
1349.2	0.455			
1742.14	0.449			
1295.9	0.391			
1597.07	0.402			
1764.88	0.376			
1932.49	0.392			
1791.72	0.372			
1650.86	0.438			
1691.14	0.489			
1718.69	0.385			
1547.14	0.445			
1672.47	0.435			
1239.73	0.454			
1404.67	0.36			
1711.09	0.413			
1539.12	0.476			
1812.88	0.406			
1228.86	0.391			
1990.39	0.404			
1272.99	0.387			
1514.23	0.42			
2034.01	0.401			
1170.9	0.422			
1528.5	0.418			
1814.07	0.435			
1357.2	0.419			
1744.63	0.432			
1814.22	0.406			
1718.38	0.422			
1747.7	0.469			
1055.25	0.459			
1859.1	0.462			
1762.56	0.39			
1377.18	0.388			
1616.92	0.443			
1380.8	0.426			
1726.67	0.398			
1606.03	0.401			
1475.89	0.38			
1761.24	0.387			
1662.33	0.439			
1903.71	0.428			
1712.95	0.361			
1424.3	0.404			
1650.74	0.391			
1750.45	0.349			
1248.41	0.431			
1396.5	0.395			
2151.79	0.45			
1637.31	0.438			
1517.46	0.43			
962.43	0.391			
2088.52	0.373			
1459.19	0.431			
1863.09	0.363			
726.07	0.398			
1350.84	0.403			
1755.09	0.374			
1682.47	0.414			
1200.02	0.386			
2086.82	0.392			
1727.47	0.371			
1463.24	0.385			
1250.53	0.44			
1552.31	0.407			
1097.23	0.426			
1884.7	0.442			
1867.08	0.39			
1073.27	0.357			
1501.18	0.388			
1535.49	0.407			
1378.54	0.431			
845.58	0.385			
1514.81	0.488			
1636.06	0.409			
1642.03	0.366			
1466.02	0.415			
1755.63	0.39			
1766.02	0.369			
1826.08	0.378			
898.86	0.489			
1559.28	0.424			
1632.39	0.442			
1553.02	0.435			
1533.46	0.427			
1542.34	0.4			
1902.82	0.41			
1403.29	0.383			
1631.94	0.399			
1273.17	0.351			
1322.1	0.407			
1748.38	0.429			
1505.52	0.437			
1795.91	0.416			
1875.44	0.405			
1787.15	0.449			
1343.17	0.472			
1682.44	0.435			
1887.42	0.404			
1726.46	0.478			
1602.96	0.438			
1583.02	0.458			
1640.86	0.434			
2226.03	0.374			
2275.59	0.45			
1941.54	0.371			
1763.83	0.449			
2318.02	0.39			
1674.42	0.389			
1809.78	0.387			
1036.3	0.417			
1443.51	0.444			
1537.57	0.39			
1493.75	0.417			
1402.06	0.394			
1463.01	0.404			
2023	0.402			
1875.14	0.385			
1910.15	0.444			
1833.18	0.43			
1852.14	0.416			
1659.38	0.37			
2016.54	0.357			
2311.31	0.428			
1726.92	0.402			
1245.19	0.436			
1737.79	0.404			
1310.69	0.445			
1531.78	0.419			
1404.83	0.44			
2165.61	0.408			
1236.06	0.455			
2107.73	0.524			
1414.82	0.406			
1277.13	0.415			
1850.33	0.35			
1388.48	0.409			
1416.95	0.406			
1391.15	0.416			
1432.26	0.383			
1441.29	0.394			
1525.22	0.363			
1678.06	0.36			
1479.86	0.394			
1881.83	0.41			
1468.18	0.403			
1288.23	0.406			
1961.95	0.45			
925.69	0.41			
1286.46	0.44			
1275.62	0.374			
1121.83	0.403			
1806.41	0.435			
1621.34	0.41			
1748.7	0.466			
1219.96	0.51			
1629.75	0.356			
1380.36	0.357			
1616.53	0.408			
1894.18	0.384			
1261.25	0.404			
1931.54	0.418			
1769.8	0.463			
1696.58	0.381			
1925.68	0.417			
1510.61	0.395			
1794.43	0.417			
2041.88	0.419			
1352.43	0.427			
1510.42	0.4			
1870.05	0.361			
1589.9	0.486			
1621.9	0.378			
1308.76	0.464			
1326.42	0.471			
1519.03	0.425			
1467.42	0.444			
1535.78	0.433			
1632.67	0.371			
2316.07	0.429			
1909.09	0.421			
1909.54	0.401			
1573.04	0.426			
1435.28	0.42			
1750.4	0.395			
1807.17	0.38			
1817.12	0.444			
1784.2	0.421			
1536.56	0.486			
1269.39	0.405			
1581.6	0.394			
2016.19	0.425			
1668.1	0.436			
1229.46	0.468			
1414.09	0.427			
1670.38	0.403			
2329.86	0.392			
1512.82	0.419			
1793.59	0.429			
1510.79	0.395			
1964.42	0.437			
939.28	0.403			
1774.74	0.424			
1708.42	0.392			
1823.59	0.427			
1326.03	0.442			
1739.34	0.418			
1785.97	0.488			
1327.9	0.415			
1272.45	0.386			
1792.27	0.42			
1687.74	0.412			
1555.14	0.424			
1173.89	0.455			
1514.16	0.454			
1820.78	0.444			
1270.82	0.407			
1460.86	0.439			
1725.23	0.424			
1657.9	0.456			
1237.66	0.413			
1555.5	0.457			
1535.68	0.466			
1273.71	0.371			
1191.19	0.401			
1514.72	0.364			
1316.52	0.383			
2017.95	0.361			
1487.55	0.4			
1381.42	0.379			
1541.3	0.431			
1635.34	0.434			
1484.63	0.428			
1699.82	0.457			
1436.06	0.401			
2184.54	0.371			
1439.35	0.388			
2049.36	0.351			
1446.21	0.398			
1400	0.436			
1472.82	0.416			
1656.77	0.378			
2119.69	0.401			
1181.7	0.425			
1589.93	0.39			
1368.68	0.421			
2107.23	0.389			
1779.65	0.396			
1952.28	0.378			
1824.62	0.412			
1376.34	0.44			
1762.5	0.402			
1501.08	0.377			
1547.52	0.37			
2080.42	0.412			
1667.2	0.426			
1884.26	0.388			
2132.78	0.392			
1565.02	0.374			
1888.59	0.426			
1953.41	0.455			
1277.82	0.383			
1737.18	0.43			
1855.24	0.356			
1383.44	0.374			
1717.45	0.366			
1255.43	0.429			
1698.66	0.47			
1753.34	0.425			
1374.65	0.429			
1097.35	0.413			
1488.97	0.392			
2082.06	0.44			
1510.47	0.412			
1267.18	0.447			
1355.69	0.395			
1648.47	0.356			
1867.54	0.435			
1199.62	0.428			
1529.11	0.393			
1483.68	0.369			
1740.12	0.384			
1688.84	0.39			
1436.32	0.375			
1301.11	0.407			
1787.75	0.431			
1700.8	0.373			
1457.35	0.424			
1804.6	0.414			
1264.75	0.452			
1263.17	0.506			
1471.2	0.43			
1596.48	0.42			
1945.07	0.428			
1754.85	0.437			
1921.85	0.436			
1750.58	0.378			
1691.63	0.403			
1630.1	0.464			
1616.53	0.35			
1448.93	0.413			
1886.63	0.495			
1961.15	0.416			
1802.52	0.419			
1660.56	0.433			
1672.74	0.398			
1676.32	0.41			
1662.5	0.403			
1596.01	0.366			
1127.94	0.348			
1643.19	0.369			
1542.16	0.398			
1639.03	0.432			
1857.18	0.405			
1784.5	0.416			
1556.5	0.435			
1423.22	0.385			
1664.26	0.404			
1909.25	0.455			
2092.68	0.401			
1455.18	0.387			
2169.14	0.408			
1502.81	0.426			
1772.52	0.356			
1679	0.431			
1537.74	0.393			
1742.43	0.477			
1695.96	0.384			
1797.72	0.44			
1228.86	0.335			
1772.17	0.379			
1346.91	0.407			
1913.43	0.405			
1770.98	0.404			
1924.37	0.411			
1814.73	0.405			
1936.02	0.408			
1927.57	0.435			
2038.21	0.413			
1633.24	0.412			
1793.7	0.408			
1728.49	0.409			
1355.18	0.416			
2165.09	0.394			
1717.87	0.438			
1612.86	0.419			
1343.73	0.41			
1820.78	0.405			
2241.89	0.402			
2177.1	0.392			
963.96	0.429			
2036.07	0.452			
1226.88	0.367			
1630.17	0.467			
1553.95	0.404			
1433.63	0.434			
2006.1	0.413			
1957.5	0.418			
1284.17	0.437			
1382.76	0.431			
1028.33	0.402			
1015.47	0.37			
2205.78	0.377			
1691.85	0.478			
2247.02	0.378			
1579.22	0.416			
1896.23	0.368			
1734.59	0.421			
2031.35	0.358			
1509.62	0.422			
1291.22	0.375			
1938.46	0.452			
1346.6	0.417			
2165.05	0.365			
1585.98	0.346			
1680.56	0.435			
2074.34	0.335			
1779.44	0.471			
1929.13	0.437			
1366.98	0.405			
1395.51	0.436			
1700.65	0.426			
1761.47	0.393			
1476.11	0.45			
1102.31	0.384			
2108.58	0.428			
2022.89	0.356			
2453.58	0.416			
2066.76	0.44			
954.13	0.395			
1795.33	0.441			
1354.1	0.386			
1717.85	0.429			
1495.18	0.443			
1765.04	0.423			
1368.93	0.373			
1656.04	0.419			
1388.49	0.448			
1408.24	0.349			
1716.98	0.43			
2014.25	0.42			
1861.59	0.38			
1273.71	0.399			
2367.66	0.443			
1670.87	0.348			
1923.53	0.413			
1669.1	0.446			
842.56	0.431			
1641.38	0.433			
1365.15	0.366			
1820.9	0.405			
1608.49	0.418			
1549.76	0.442			
2059.74	0.457			
1635.37	0.417			
1703.36	0.359			
1395.04	0.426			
1472.69	0.381			
1492.02	0.461			
1562.75	0.512			
1693.34	0.432			
1723.63	0.406			
1386.61	0.394			
1935.19	0.394			
1727.75	0.384			
1860.74	0.403			
1779.51	0.446			
1216.58	0.377			
1818.96	0.416			
1959.57	0.413			
1921.34	0.392			
1255.16	0.364			
1611.84	0.412			
2198.7	0.398			
1739.32	0.342			
1354.46	0.379			
1752.78	0.385			
1418.89	0.441			
1519.93	0.444			
1486.28	0.397			
1932.22	0.362			
2009.64	0.384			
1534.66	0.402			
1960.35	0.449			
1815.76	0.446			
1474.31	0.406			
1236.27	0.397			
1576.49	0.396			
1605.06	0.468			
1770.41	0.41			
1802.45	0.452			
1504.25	0.387			
1462.37	0.405			
1525.45	0.44			
1601.67	0.403			
1584.47	0.4			
1762.83	0.427			
2220.9	0.385			
1713.5	0.494			
1648.41	0.404			
1807.25	0.446			
1281.9	0.393			
2321.46	0.42			
1867.93	0.382			
1963.54	0.481			
1157.63	0.431			
1806.96	0.42			
1717.59	0.383			
1871.33	0.438			
1522.57	0.431			
2055.91	0.42			
1054.31	0.431			
1623.41	0.386			
1995.56	0.433			
2038.58	0.398			
1839.48	0.441			
1309.59	0.404			
1642.18	0.369			
1547.69	0.459			
2101.04	0.452			
1665.69	0.416			
1571.79	0.422			
1564.29	0.364			
1835.26	0.426			
1651.74	0.407			
1799.65	0.456			
1464.79	0.435			
913.96	0.406			
1744.05	0.368			
2134.93	0.504			
1335.74	0.428			
1384.29	0.344			
1842.98	0.431			
1410.79	0.463			
1663.46	0.432			
1867.3	0.473			
2059.38	0.434			
1780.22	0.441			
1639.78	0.406			
1315.14	0.415			
1742.05	0.369			
1526.82	0.4			
1680.51	0.427			
1974.78	0.43			
2002.89	0.398			
1297.91	0.469			
1716.76	0.397			
1736.12	0.4			
1829.44	0.456			
1645.83	0.393			
1757.25	0.45			
1521.46	0.396			
1712.05	0.358			
1564.94	0.441			
901.41	0.453			
1919.41	0.351			
1226.78	0.417			
1982.08	0.394			
1502.46	0.401			
1595	0.406			
1462.67	0.349			
2296.01	0.389			
1110.72	0.382			
1943.98	0.39			
1445.58	0.393			
1291.32	0.418			
2353.58	0.471			
1483.16	0.38			
1359.45	0.361			
