Model,Price,Year,Mileage,Fuel Type
KIA cee'd Ceed Sportswagon 1.5 T-GDi Power DCT,"CHF 29,700",04.2024,"10,500 km",Petrol
Renault Koleos Koleos 2.0 dCi Techno 4WD Xtronic CVT,"CHF 23,900",06.2023,"44,200 km",Diesel
Dacia Sandero Sandero Stepway TCe 90 Comfort,"CHF 10,900",12.2020,"28,900 km",Petrol
Renault Zoe Zoe R135 (incl. Batterie) Iconic,"CHF 22,900",10.2023,"19,300 km",Electric
Renault Austral Austral 1.2 HEV 200 Iconic Esprit Alpine A,"CHF 35,900",11.2023,"23,800 km",Petrol/Electric
Dacia Duster Duster TCe 150 Ultimate 4x4,"CHF 15,890",09.2019,"48,200 km",Petrol
Renault Koleos Koleos 2.0 dCi Techno 4WD Xtronic CVT,"CHF 23,900",05.2023,"44,500 km",Diesel
Renault Koleos Koleos 2.0 dCi Zen 4x4 Xtronic CVT,"CHF 16,900",06.2019,"95,200 km",Diesel
Fiat 500 500C 0.9 Twinair Dolcevita,"CHF 14,900",06.2020,"33,000 km",Petrol
VW Caddy Caddy 1.4 TSI Trendline DSG,"CHF 31,500",05.2019,"34,010 km",Petrol
Hyundai Getz Getz 1.3 GLS,"CHF 2,500",04.2003,"184,900 km",Petrol
Honda Jazz Jazz 1.2i Trend,"CHF 2,500",04.2011,"195,000 km",Petrol
Toyota Verso Verso 1.8 Linea Luna Multidrive,"CHF 5,900",08.2009,"230,000 km",Petrol
Subaru Legacy Legacy 2.0R AWD Swiss Automatic,"CHF 4,500",10.2008,"208,000 km",Petrol
Citroen Jumpy Jumpy 1.6 HDi 10 L1H1,"CHF 2,999",06.2012,"221,432 km",Diesel
BMW 630 Gran Turismo 630d GT xDrive Steptronic,"CHF 25,900",08.2018,"192,219 km",Diesel
Renault Laguna Laguna 2.0 dCi Expression Automatic,"CHF 1,690",10.2007,"274,400 km",Diesel
Saab 9-5 9-5 2.3t Vector,"CHF 2,900",01.2006,"185,000 km",Petrol
Fiat Freemont Freemont 2.0 MJ Lounge AWD Automat,"CHF 5,990",04.2015,"229,800 km",Diesel
Audi Q3 Q3 2.0 TFSI quattro,"CHF 18,500",01.2015,"54,000 km",Petrol
Renault Mégane Mégane 1.6 16V Turbo GT EDC,"CHF 13,100",03.2016,"119,000 km",Petrol
VW Eos Eos 1.6 FSI,"CHF 4,500",10.2007,"163,500 km",Petrol
Citroen C4 Aircross C4 Aircross 1.6 HDi Exclusive 4WD,"CHF 5,499",09.2013,"325,000 km",Diesel
Skoda Octavia Octavia Combi 2.0 TSI Ambition 4x4 DSG,"CHF 20,850",08.2020,"75,599 km",Petrol
Mercedes-Benz C 220 C 220 BlueTEC Swiss Star Exclusive 7G-Tronic,"CHF 12,900",05.2015,"164,000 km",Diesel
Fiat 500 500 1.4 16V by Diesel,"CHF 4,800",05.2009,"138,000 km",Petrol
Dacia Logan Logan MCV 1.5dCi Lauréate Automatic,"CHF 3,997",05.2017,"117,000 km",Diesel
Citroen C1 C1,"CHF 4,900",02.2008,"175,000 km",Petrol
Renault Scénic Scénic 2.0 16V Alizé,"CHF 1,750",12.2000,"110,000 km",Petrol
BMW X1 X1 xDrive 28i Steptronic,"CHF 5,399",07.2011,"191,000 km",Petrol
BMW 520 520d Steptronic,"CHF 10,900",05.2011,"209,000 km",Diesel
Fiat Ducato Ducato 15 2.8 JTD,"CHF 14,900",07.2003,"85,000 km",Diesel
Mercedes-Benz ML 420 ML 420 CDI 4Matic Edition 7G-Tronic,"CHF 4,980",11.2008,"340,000 km",Diesel
Toyota Auris Auris 1.4 D-4D Linea Luna,"CHF 4,900",06.2009,"173,000 km",Diesel
Nissan Sunny Sunny 1.6 SLX 4x4 Wg. 12V,"CHF 6,900",12.1990,"72,756 km",Petrol
Mercedes-Benz C 180 C 180 Coupé 7G-Tronic,"CHF 7,900",02.2015,"145,000 km",Petrol
Renault Trafic Trafic dCi 90 Passenger Authentique,"CHF 8,900",03.2015,"236,400 km",Diesel
Dacia Logan Logan MCV 0.9 Celebration,"CHF 5,900",11.2015,"108,100 km",Petrol
VW Golf Golf 2.0 TDI Comfortline 4Motion,"CHF 4,400",12.2004,"226,460 km",Diesel
Renault Captur Captur 1.3 T 16V Intens EDC,"CHF 24,850",11.2023,"14,539 km",Petrol/Electric
Toyota Corolla Verso Corolla Verso 1.8 Linea Sol MultiMode,"CHF 4,999",07.2006,"175,000 km",Petrol
Peugeot Partner Partner 1.6 HDI Urban Pack,"CHF 4,990",03.2010,"167,000 km",Diesel
Mercedes-Benz C 63 AMG C 63 AMG Avantgarde 7G-Tronic,"CHF 45,900",01.2010,"93,000 km",Petrol
Mitsubishi Outlander Outlander 2.4 PHEV Style 4WD Automatic,"CHF 21,500",12.2018,"99,000 km",Petrol/Electric
BMW X1 X1 xDrive 25d M Sport Steptronic,"CHF 13,999",04.2016,"220,000 km",Diesel
VW Touran Touran 2.0 TDI Highline DSG,"CHF 8,700",09.2012,"222,000 km",Diesel
Audi A4 A4 Avant 1.8 TFSI multitronic,"CHF 4,700",04.2010,"262,000 km",Petrol
VW Golf Golf 1.6 TDI BlueMotion Technology Comfortline,"CHF 4,999",04.2010,"315,000 km",Diesel
BMW X3 X3 xDrive 48V 30d M Sport,"CHF 59,800",03.2022,"33,500 km",Diesel/Electric
Skoda Octavia Octavia Combi 1.6 TDI Adventure 4x4,"CHF 3,900",01.2012,"233,000 km",Diesel
Audi A4 A4 Avant 1.8 TFSI,"CHF 4,500",06.2010,"182,000 km",Petrol
Renault Captur Captur 1.2 T 16V Dynamique EDC,"CHF 11,500",05.2015,"101,320 km",Petrol
Skoda Superb Superb Combi 2.0 TDi Ambition 4x4 DSG,"CHF 19,999",03.2019,"112,000 km",Diesel
Suzuki Alto Alto 1.1 GL,"CHF 1,555",12.2003,"107,000 km",Petrol
VW Sharan Sharan 2.0 TDI BMT Highline 4Motion,"CHF 9,900",10.2012,"194,400 km",Diesel
Mercedes-Benz GLE 400 GLE 400 d 4Matic AMG Line 9G-Tronic,"CHF 64,998",10.2021,"89,500 km",Diesel
VW Golf GTI Golf 2.0 TSI GTI Clubsport,"CHF 16,999",06.2016,"147,900 km",Petrol
Hyundai i20 i20 1.6 Premium,"CHF 3,499",07.2010,"133,000 km",Petrol
Seat Leon Leon ST 2.0 TDI Style DSG,"CHF 12,000",06.2018,"119,000 km",Diesel
Jeep Grand Cherokee Grand Cherokee 3.0 CRD Overland Automatic,"CHF 38,999",02.2020,"49,000 km",Diesel
Ferrari F8 F8 Tributo,"CHF 366,666",08.2023,229 km,Petrol
Maserati Ghibli Ghibli 3.0 V6 Automatica,"CHF 35,900",06.2016,"58,500 km",Petrol
KIA cee'd Cee'd Sportswagon 1.6 GDi Swiss Eco Edition,"CHF 8,900",11.2015,"107,900 km",Petrol
Audi A1 A1 Sportback 1.4 TFSI Ambition,"CHF 11,900",08.2014,"133,000 km",Petrol
Renault Trafic Trafic 1.6 dCi 120 2.9t Business L1H1,"CHF 17,980",04.2018,"138,000 km",Diesel
Skoda Octavia Octavia Combi 2.0 TDI RS Prag 4x4 DSG,"CHF 25,900",04.2018,"87,000 km",Diesel
Mitsubishi Colt COLT 1.6 HEV Instyle,"CHF 26,999",11.2023,"9,000 km",Petrol/Electric
Smart Fortwo fortwo pulse mhd softouch,"CHF 11,800",08.2013,"34,000 km",Petrol
Hyundai i20 i20 1.0 T-GDi Amplia,"CHF 10,900",09.2017,"94,600 km",Petrol
Honda Civic Civic 1.8i Lifestyle Automatic,"CHF 14,900",04.2013,"24,000 km",Petrol
Ford Fiesta Fiesta 1.0 SCTi MHEV ST Line X Automat,"CHF 16,900",09.2021,"35,000 km",Petrol/Electric
Peugeot 3008 3008 2.0 BlueHDi GT EAT,"CHF 17,900",12.2016,"134,000 km",Diesel
VW Tiguan Tiguan 1.5TSI Evo Life DSG,"CHF 20,900",01.2021,"105,000 km",Petrol
Honda Jazz Jazz 1.5i-MMD Crosstar Executive E-CVT,"CHF 18,500",11.2020,"86,500 km",Petrol/Electric
Fiat Bravo Bravo 1.4 16V Turbo Sport,"CHF 4,900",04.2010,"166,998 km",Petrol
Ford Mustang Mach-E Mustang MACH-E GT AWD 91 kWh,"CHF 47,500",03.2022,"35,000 km",Electric
VW Tiguan Tiguan 2.0TSI R-Line 4Motion DSG,"CHF 40,900",07.2023,"22,600 km",Petrol
BMW Z4 Z4 2.2i Roadster,"CHF 4,880",10.2004,"278,000 km",Petrol
VW UP Up 1.0 BMT EcoFuel high up,"CHF 4,900",03.2013,"151,000 km",Natural gas/petrol
Mitsubishi ASX ASX 1.6 Intense 2WD,"CHF 6,900",04.2012,"63,000 km",Petrol
KIA Sportage Sportage 1.6T-GDi MHEV Power Edition 4x4 7DCT,"CHF 36,500",04.2024,"13,200 km",Petrol/Electric
Honda Jazz Jazz 1.5i-MMD Executive E-CVT,"CHF 19,900",10.2020,"55,300 km",Petrol/Electric
VW Touareg Touareg 3.0 TDI BlueMotion Technology Tiptronic,"CHF 14,990",02.2013,"312,000 km",Diesel
Porsche Taycan Taycan 4S,"CHF 62,900",09.2020,"54,900 km",Electric
Citroen Berlingo Berlingo 1.6 BlueHDi Feel ETG6,"CHF 6,900",04.2018,"107,000 km",Diesel
Seat Arona Arona 1.5 Eco TSI Hola Xperience DSG,"CHF 24,500",05.2022,"7,200 km",Petrol
Toyota iQ iQ 1.0 VVT-i Luna,"CHF 8,900",03.2013,"67,000 km",Petrol
VW Tiguan Tiguan 2.0 TDI SCR Highline 4Motion DSG,"CHF 22,900",07.2018,"119,000 km",Diesel
Citroen C5 C5 Berline 1.6 Turbo Exclusive Automatic,"CHF 3,850",04.2012,"143,000 km",Petrol
VW ID.4 ID.4 GTX 77 kWh 4Motion,"CHF 39,880",01.2023,"24,000 km",Electric
BMW 420 420d Coupé xDrive Sport Line Steptronic,"CHF 18,800",04.2015,"129,000 km",Diesel
Mercedes-Benz S 63 AMG S 63 AMG Coupé 4Matic Speedshift MCT,"CHF 84,900",02.2016,"78,000 km",Petrol
Audi RS4 RS4 Avant 4.2 FSI V8 quattro S-tronic,"CHF 29,890",09.2012,"132,455 km",Petrol
Land Rover Discovery Discovery 2.0 TD4 HSE Luxury Automatic,"CHF 25,890",04.2017,"92,500 km",Diesel
Nissan X-Trail X-Trail 2.0 dCi tekna Xtronic CVT ALL-MODE 4x4,"CHF 16,500",11.2018,"138,000 km",Diesel
Skoda Octavia Octavia Combi 2.0 TDI Soleil 4x4 DSG,"CHF 14,990",05.2019,"91,000 km",Diesel
Skoda Octavia Octavia Combi 2.0 TDI RS 4x4 DSG,"CHF 16,500",09.2017,"148,700 km",Diesel
Mazda 2 2 1.5i 16V Skyactiv-G Revolution,"CHF 12,900",08.2017,"65,000 km",Petrol
Suzuki SX4 SX4 1.6 16V GL Top Piz Sulai 4WD,"CHF 6,500",09.2012,"120,500 km",Petrol
Mercedes-Benz S 500 S 500 Coupé 4Matic 7G-Tronic,"CHF 39,880",10.2014,"184,000 km",Petrol
BMW M3 M3 Competition M xDrive,"CHF 79,990",10.2021,"36,600 km",Petrol
BMW 340 340i xDrive Steptronic,"CHF 26,900",07.2016,"148,000 km",Petrol
Cupra Formentor Formentor 1.5 TSI DSG,"CHF 27,499",07.2023,"34,781 km",Petrol
Ford Kuga Kuga 2.5 FHEV ST-Line X 4WD,"CHF 39,999",01.2023,"16,500 km",Petrol/Electric
Audi RS3 RS3 Limousine 2.5 TSI quattro S-tronic,"CHF 70,000",10.2023,"19,000 km",Petrol
VW Golf GTI Golf 2.0 TSI GTI DSG,"CHF 15,990",06.2017,"153,000 km",Petrol
Renault Captur Captur 1.2 T 16V Privilège EDC,"CHF 12,800",08.2016,"95,276 km",Petrol
VW T6.1 T6.1 2.0 TDI,"CHF 27,200",01.2021,"76,000 km",Diesel
BMW X2 X2 M35i Steptronic,"CHF 27,900",06.2020,"50,000 km",Petrol
Audi A6 A6 2.0 TDI multitronic,"CHF 15,900",01.2014,"155,000 km",Diesel
Mercedes-Benz GLC 250 GLC Coupé 250 d AMG Line 4Matic 9G-Tronic,"CHF 31,500",01.2017,"118,000 km",Diesel
Ford Focus Focus 1.5 TDCi ST Line Automatic,"CHF 12,500",01.2021,"114,800 km",Diesel
Seat Alhambra Alhambra 1.4 TSI DSG Hola FR,"CHF 38,900",03.2022,"21,900 km",Petrol
Audi A3 A3 Sportback 35 TFSI Sport,"CHF 24,900",05.2019,"44,000 km",Petrol
Mercedes-Benz A 250 A 250 Sport 4Matic 7G-DCT,"CHF 19,900",12.2015,"68,000 km",Petrol
Opel Astra Astra 1.8i 16V Diamond Automatic,"CHF 2,500",12.2008,"150,000 km",Petrol
Ford Focus Focus 1.6i 16V Carving,"CHF 2,650",06.2005,"99,850 km",Petrol
BMW X1 X1 sDrive 18d Steptronic,"CHF 22,000",02.2021,"80,000 km",Diesel
BMW X2 X2 xDrive 25e M Sport X Steptronic,"CHF 30,999",12.2020,"46,000 km",Petrol/Electric
Renault Trafic Trafic 1.6 dCi 120 2.9t Business L1H1,"CHF 4,900",07.2018,"229,000 km",Diesel
Ford Kuga Kuga 2.0 TDCi Titanium S 4WD,"CHF 9,900",11.2011,"158,000 km",Diesel
Ford Fiesta Fiesta 1.0 SCTi Active,"CHF 14,200",07.2019,"59,299 km",Petrol
Jaguar F-Pace F-Pace 3.0 TD R-Sport AWD Automatik,"CHF 20,500",12.2016,"175,000 km",Diesel
Mercedes-Benz C 250 C 250 BlueTEC AMG Line 4Matic 7G-Tronic,"CHF 14,450",04.2016,"180,000 km",Diesel
VW Phaeton Phaeton L 4.2 V8 4Motion Tiptronic,"CHF 10,600",05.2008,"178,000 km",Petrol
VW Golf Golf 1.5 eTSI  mHEV ACT R-Line DSG,"CHF 26,000",05.2021,"60,500 km",Petrol/Electric
VW Passat Passat 2.0T FSI Highline,"CHF 4,800",03.2007,"127,100 km",Petrol
Honda Jazz Jazz 1.5i-MMD Crosstar Executive E-CVT,"CHF 20,900",12.2020,"44,300 km",Petrol/Electric
Audi S3 S3 Sportback 2.0 TFSI quattro S-tronic,"CHF 23,500",04.2016,"93,700 km",Petrol
VW T6.1 T6.1 2.0 TDI Envia Explore 4Motion,CHF 1,07.2021,"67,000 km",Diesel
VW Tiguan Tiguan 2.0 TDI SCR Highline 4Motion DSG,CHF 1,10.2019,"59,990 km",Diesel
VW Tiguan Tiguan 2.0 TDI SCR Comfortline 4Motion DSG,CHF 1,03.2020,"69,500 km",Diesel
VW Tiguan Tiguan 2.0TSI Comfortline 4Motion DSG,CHF 1,06.2019,"112,000 km",Petrol
VW Tiguan Tiguan Allspace 2.0TSI Highline 4Motion DSG,CHF 1,05.2018,"85,900 km",Petrol
VW T-Cross T-Cross 1.5 TSI EVO ACT Style DSG,CHF 1,03.2020,"61,000 km",Petrol
VW Polo GTI Polo 2.0 TSI GTI,CHF 1,05.2019,"44,500 km",Petrol
VW Passat Passat 2.0 TDI BMT Elegance 4Motion DSG,CHF 1,12.2021,"41,900 km",Diesel
VW Tiguan Tiguan 2.0 TDI SCR Highline 4Motion DSG,CHF 1,11.2016,"81,000 km",Diesel
VW ID.7 ID.7 Tourer Pro 77 kWh United,"CHF 67,500",10.2024,"1,000 km",Electric
VW ID.7 ID.7 Pro 77 kWh Pro,"CHF 52,500",12.2023,"3,900 km",Electric
VW Golf Golf 1.0 TSI Swiss Line Plus DSG,CHF 1,07.2019,"116,500 km",Petrol
VW T6.1 T6.1 California 2.0 Bi-TDI Beach Liberty 4Motion D,CHF 1,03.2022,"29,900 km",Diesel
VW Caddy Caddy 2.0TDI BlueMotion Technology,CHF 1,11.2020,"60,900 km",Diesel
Peugeot 308 308 1.6 16V T XSI Automatic,"CHF 5,900",04.2008,"118,410 km",Petrol
VW T5 Multivan T5 Multivan 2.0 Bi-TDI CR Family Life DSG,"CHF 22,990",09.2013,"168,200 km",Diesel
Honda Jazz Jazz 1.3i-VTEC Elegance CVT,"CHF 16,900",06.2017,"12,758 km",Petrol
Alfa Romeo Giulietta Giulietta 1.4 Turbo Sport,"CHF 13,800",06.2019,"69,000 km",Petrol
VW Tiguan Tiguan Allspace 2.0 TDI SCR R-Line 4Motion DSG,"CHF 40,900",01.2024,"29,000 km",Diesel
Renault Clio Clio 1.6 E-Tech Zen,"CHF 16,400",05.2021,Automatic,9437 (SG)
Mercedes-Benz A 180 A 180 Night Star AMG Line 7G-DCT,"CHF 27,500",10.2020,"46,000 km",Petrol
Mercedes-Benz E 450 E 450 AMG Line 4Matic 9G-Tronic,"CHF 48,500",09.2019,"58,500 km",Petrol
Seat Ateca Ateca 1.5 TSI EVO SWISS Xcellence DSG,"CHF 23,900",11.2019,"48,000 km",Petrol
BMW 118 118i Steptronic Pure M Sport,"CHF 24,500",11.2020,"54,000 km",Petrol
Cupra Formentor Formentor 1.5 TSI Inicio DSG,"CHF 28,900",03.2022,"34,000 km",Petrol
Volvo XC60 XC60 T5 AWD Inscription Geartronic,CHF 1,11.2019,"35,000 km",Petrol
Subaru XV XV 2.0 Swiss Three AWD CVT,"CHF 7,900",03.2016,"226,206 km",Petrol
Skoda Scala Scala 1.0 TSI Monte Carlo DSG,CHF 1,08.2021,"23,154 km",Petrol
Skoda Octavia Octavia Combi 2.0 TDI DSG Style,CHF 1,05.2023,"6,990 km",Diesel
Skoda Octavia Octavia Combi 2.0 TSI RS DSG,CHF 1,02.2020,"24,500 km",Petrol
Skoda Octavia Octavia Combi 2.0 TDI DSG Ambition 4x4,CHF 1,04.2023,"15,000 km",Diesel
Mercedes-Benz GLA 200 GLA 200 7G-DCT,"CHF 32,900",10.2020,"46,000 km",Petrol
Audi A6 A6 Avant 3.0 TDI V6 quattro S-tronic,"CHF 9,990",06.2012,"212,000 km",Diesel
Audi SQ6 SQ6 e-tron quattro,"CHF 98,990",10.2024,15 km,Electric
KIA Sportage Sportage 1.6T-GDi MHEV Power Edition 4x4 7DCT,"CHF 39,900",03.2024,"14,500 km",Petrol/Electric
Ds Automobiles DS3 DS 3 1.6 THP Sport Chic,"CHF 6,500",04.2014,"97,000 km",Petrol
BMW I5 i5 eDrive40 M Sport,"CHF 59,950",04.2024,"4,500 km",Electric
Citroen C3 Aircross C3 Aircross 1.2i PureTech Max EAT6,"CHF 18,800",06.2024,"5,800 km",Petrol
Citroen C3 Aircross C3 Aircross 1.2i PureTech Max EAT6,"CHF 18,800",06.2024,"9,100 km",Petrol
Hyundai Kona KONA 1.0 T-GDi Advanced 2WD DCT-Automat,"CHF 23,800",06.2024,"5,600 km",Petrol
Peugeot 2008 2008 1.2 PureTech Allure,"CHF 22,500",06.2024,"2,800 km",Petrol
Peugeot 508 508 SW 1.5 Blue HDi Allure Pack EAT8,"CHF 20,800",10.2022,"42,900 km",Diesel
BMW M550 M550d xDrive Touring Steptronic,"CHF 49,900",08.2020,"73,600 km",Diesel
Audi A5 A5 Sportback 3.0 TDI quattro S-tronic,"CHF 26,800",02.2015,"49,000 km",Diesel
Fiat Punto Punto 1.2 Pop Star,"CHF 6,800",03.2016,"89,000 km",Petrol
VW T-ROC T-Roc 2.0 TSI R-Line DSG 4Motion,"CHF 35,800",10.2023,"2,000 km",Petrol
BMW 530 530e xDrive Steptronic,"CHF 37,900",11.2020,"36,100 km",Petrol/Electric
Toyota Land Cruiser Land Cruiser 2.8TD Invincible Automat,"CHF 62,900",06.2021,"7,900 km",Diesel
Renault Grand Scénic Grand Scénic 1.3 16V Turbo Zen,"CHF 15,900",05.2019,"51,500 km",Petrol
VW Tiguan Tiguan 1.5TSI Evo Life DSG,"CHF 28,900",03.2023,"26,000 km",Petrol
BMW X1 X1 xDrive 18d Steptronic,"CHF 18,900",01.2020,"147,900 km",Diesel
Audi Q3 Q3 2.0 TFSI quattro S-tronic,"CHF 15,500",10.2012,"138,000 km",Petrol
Opel Grandland X Grandland 1.2i TP Elegance Automatik,"CHF 29,900",06.2023,"34,000 km",Petrol
BMW X6 X6 xDrive 40d Steptronic,"CHF 35,800",11.2016,"84,000 km",Diesel
Suzuki Swift Swift 1.0 12V Compact Top Automatic,"CHF 14,900",11.2017,"36,000 km",Petrol
Skoda Superb Superb Combi 2.0 TDi Ambition 4x4 DSG,"CHF 7,900",02.2011,"197,698 km",Diesel
Renault Clio Clio 1.0 Intens,"CHF 12,800",06.2021,"61,000 km",Petrol
Audi RS Q3 RS Q3 2.5 TFSI quattro S-tronic,"CHF 27,895",11.2015,"133,000 km",Petrol
Land Rover Range Rover Sport Range Rover Sport 3.0 TDV6 HSE Automatic,"CHF 34,590",10.2017,"147,500 km",Diesel
BMW M3 M3 Competition M xDrive,"CHF 86,900",11.2022,"44,552 km",Petrol
BMW M440 M440d 48V xDrive Cabriolet Steptronic,"CHF 49,800",04.2022,"71,500 km",Diesel/Electric
Lamborghini Aventador Aventador S LP740-4 Roadster E-Gear,"CHF 395,000",08.2019,"23,500 km",Petrol
Audi SQ7 SQ7 TFSI quattro tiptronic,"CHF 98,895",08.2023,"6,200 km",Petrol
Suzuki Ignis Ignis 1.2i Compact Top Hybrid 4x4,"CHF 20,900",04.2023,"1,000 km",Petrol/Electric
Audi A1 A1 Sportback 30 TFSI S Line Attraction S-tronic,"CHF 29,900",01.2024,"8,000 km",Petrol
Mercedes-Benz GLE 53 AMG GLE 53 AMG 4Matic+ 9G-Speedshift,"CHF 84,500",09.2021,"51,000 km",Petrol/Electric
Volvo C70 C70 T5 Inscription Geartronic,"CHF 13,900",09.2013,"151,220 km",Petrol
Volvo V90 V90 D3 Momentum Geartronic,"CHF 28,740",12.2018,"66,000 km",Diesel
VW T-ROC T-Roc 2.0 TSI R DSG 4Motion,"CHF 36,500",08.2021,"37,000 km",Petrol
Opel Corsa Corsa 1.4 TP Color Edition Automatic,"CHF 9,900",04.2015,"51,000 km",Petrol
BMW M2 M2,"CHF 57,500",04.2017,"28,500 km",Petrol
VW Tiguan Tiguan 1.5TSI Evo R-Line DSG,"CHF 36,500",09.2023,"18,000 km",Petrol
Citroen C3 C3 Aircross 1.2i PureTech Feel EAT,"CHF 9,900",10.2018,"124,800 km",Petrol
Peugeot 308 308 1.6 THP GTi,"CHF 21,900",02.2018,"57,000 km",Petrol
VW Caddy Caddy 2.0 TDI 4Motion,"CHF 10,900",09.2013,"132,600 km",Diesel
Ford Grand C-MAX Grand C-Max 1.0 SCTi Ambiente,"CHF 6,490",10.2013,"101,000 km",Petrol
Dacia Duster Duster dCi 110 Prestige 4x2 EDC,"CHF 13,900",04.2018,"94,900 km",Diesel
Citroen C1 C1 1.0 VTi Feel,"CHF 5,290",05.2016,"110,999 km",Petrol
Maserati Levante Levante S 3.0V6 GranSport Automatica,"CHF 57,900",12.2018,"63,900 km",Petrol
Mercedes-Benz EQA 350 EQA 350 4Matic,"CHF 48,000",06.2022,"25,000 km",Electric
Hyundai i30 i30 Wagon 1.4 Comfort,"CHF 6,500",02.2012,"107,550 km",Petrol
Audi S3 S3 Sportback 2.0 TFSI quattro,"CHF 37,800",04.2021,"70,650 km",Petrol
Seat Ateca Ateca 1.5 TSI EVO DSG Move FR,"CHF 27,900",05.2023,"19,000 km",Petrol
Audi A1 A1 Sportback 40 TFSI S Line S-tronic,"CHF 34,800",11.2023,"1,750 km",Petrol
Nissan Leaf Leaf e+ Tekna (incl. battery),"CHF 24,940",12.2020,"20,000 km",Electric
VW Tiguan Tiguan 2.0 TDI SCR Comfortline 4Motion DSG,"CHF 26,900",11.2018,"87,000 km",Diesel
Mini Cabriolet Cooper S Brighton Cabriolet DKG,"CHF 24,900",01.2020,"55,680 km",Petrol
Mercedes-Benz C 63 AMG C 63 S AMG Speedshift,"CHF 46,900",02.2016,"92,000 km",Petrol
Ford Fiesta Fiesta 1.0 SCTi MHEV ST Line Automat,"CHF 21,900",05.2023,"32,340 km",Petrol/Electric
Mercedes-Benz C 400 C 400 AMG Line 4Matic 7G-Tronic,"CHF 23,900",07.2016,"128,280 km",Petrol
Toyota Yaris Yaris 1.5 VVT-i Hybrid GR-S e-CVT,"CHF 19,900",05.2021,"17,500 km",Petrol/Electric
Ford Transit Custom Transit Custom 320 L1H1 A Titanium,"CHF 69,900",02.2024,"8,000 km",Diesel
Ford Grand C-MAX Grand C-Max 1.6 SCTi Titanium,"CHF 6,900",06.2012,"203,000 km",Petrol
Skoda Octavia Octavia Combi 2.0 TSI Soleil 4x4 DSG,"CHF 20,900",12.2019,"75,000 km",Petrol
Volvo XC40 XC40 Recharge P8 Twin AWD Pure Electric Ultimate,"CHF 35,499",03.2023,"18,990 km",Electric
Fiat 500 500 1.0 N3 MildHybrid Cult,"CHF 9,900",05.2021,"124,000 km",Petrol/Electric
Audi Q3 Q3 2.0 TFSI quattro S-tronic,"CHF 19,900",06.2014,"36,000 km",Petrol
Lamborghini Aventador Aventador LP770-4 SVJ Superveloce Coupé E-Gear,"CHF 595,000",04.2019,750 km,Petrol
Mercedes-Benz V 300 V 300 d lang Avantgarde 4Matic 9G-Tronic,"CHF 58,500",07.2019,"98,000 km",Diesel
Audi Q3 Q3 2.0 TFSI sport quattro S-tronic,"CHF 21,300",07.2015,"63,000 km",Petrol
VW Polo Polo 2.0 TSI GTI United DSG,"CHF 28,900",09.2022,"12,000 km",Petrol
Ford Puma Puma 1.0 SCTi ST-Line X Automat,"CHF 18,900",07.2021,"72,000 km",Petrol
BMW X5 X5 xDrive 48V 40d Steptronic,"CHF 64,900",11.2020,"58,000 km",Diesel/Electric
VW Touareg Touareg 3.0 TDI R-Line Tiptronic,"CHF 78,850",09.2023,"19,850 km",Diesel
Renault Captur Captur 0.9 12V Intens,"CHF 14,400",11.2019,"35,000 km",Petrol
Peugeot 2008 2008 1.2 PureTech Allurre EAT6,"CHF 13,600",01.2019,"64,900 km",Petrol
Audi Q2 Q2 2.0 TFSI sport quattro S-tronic,"CHF 25,490",01.2018,"71,600 km",Petrol
VW Tiguan Tiguan 2.0 TDI SCR Life 4Motion DSG,"CHF 29,900",08.2022,"33,500 km",Diesel
Cupra Leon LEON ST 2.0 TSI Inicio DSG,"CHF 29,900",10.2023,"18,900 km",Petrol
VW Polo Polo 1.2 TSI BMT Comfortline DSG,"CHF 12,500",03.2017,"85,120 km",Petrol
Hyundai i30 i30 Wagon 1.5 T-GDi N Line 48V MH DCT,"CHF 37,800",07.2024,"3,800 km",Petrol/Electric
Audi Q3 Q3 2.0 TFSI design quattro S-tronic,"CHF 26,900",11.2017,"34,912 km",Petrol
Cupra Leon LEON ST 2.0 TSI Inicio DSG,"CHF 29,900",10.2023,"17,900 km",Petrol
Land Rover Range Rover Velar Range Rover Velar R-Dynamic D 200 SE Automatic,"CHF 51,500",02.2023,"18,900 km",Diesel/Electric
Mercedes-Benz C 220 C 220 d T AMG Line,"CHF 39,890",05.2022,"39,900 km",Diesel/Electric
VW Touran Touran 1.5 TSI EVO Comfortline DSG,"CHF 39,400",12.2023,"25,500 km",Petrol
Toyota Yaris Yaris 1.5 Premium e-CVT,"CHF 29,900",06.2024,"3,400 km",Petrol/Electric
Audi S4 S4 Avant 3.0 TDI quattro tiptronic,"CHF 57,900",12.2022,"68,500 km",Diesel
Audi SQ5 SQ5 TDI quattro tiptronic,"CHF 46,200",09.2019,"98,300 km",Diesel
Hyundai IONIQ 5 Ioniq 5 77kWh Vertex 4WD,"CHF 49,500",02.2023,"20,800 km",Electric
BMW X3 X3 xDrive 48V 30d Steptronic,"CHF 44,900",03.2021,"87,500 km",Diesel/Electric
Hyundai Kona Kona 1.6 GDi HEV Origo DCT,"CHF 23,450",05.2021,"51,000 km",Petrol/Electric
Hyundai Tucson Tucson 1.6 TGDI Vertex 4WD DCT,"CHF 27,700",04.2019,"72,500 km",Petrol
Hyundai Kona Kona 1.6 GDi HEV N Line DCT,"CHF 39,800",04.2024,"5,700 km",Petrol/Electric
