Name,Country,Date,Gender,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Ryosuke DOI,JPN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PB,15.0,5.9,8.25,0.0,14.15,14.15
Ryosuke DOI,JPN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PH,45.0,5.9,5.4,0.0,11.3,11.3
Ryosuke DOI,JPN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",SR,47.0,4.8,7.8,0.0,12.6,12.6
Ryosuke DOI,JPN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT1,18.0,5.2,9.2,0.0,14.4,14.399999999999999
Ryosuke DOI,JPN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT2,18.0,0.0,0.0,0.0,0.0,0.0
Felix DOLCI,CAN,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,102.0,5.9,6.633,0.1,12.433,12.433000000000002
Felix DOLCI,CAN,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,22.0,5.9,7.866,0.0,13.766,13.766
Felix DOLCI,CAN,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,44.0,5.9,7.966,0.0,13.866,13.866
Felix DOLCI,CAN,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,124.0,4.3,6.066,0.0,10.366,10.366
Felix DOLCI,CAN,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,35.0,5.0,8.366,0.0,13.366,13.366
Felix DOLCI,CAN,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,15.0,5.2,9.333,0.0,14.533,14.533000000000001
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",FX,1.0,6.0,8.2,0.0,14.2,14.2
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",FX,2.0,5.9,8.266,0.0,14.166,14.166
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,5.0,6.0,7.75,0.3,13.45,13.45
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",HB,1.0,5.6,8.05,0.0,13.65,13.65
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",PB,5.0,5.9,8.1,0.0,14.0,14.0
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",PB,4.0,5.9,8.3,0.0,14.2,14.200000000000001
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PB,5.0,5.9,8.5,0.0,14.4,14.4
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",PH,17.0,4.1,7.1,0.0,11.2,11.2
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",PH,34.0,4.1,6.5,0.0,10.6,10.6
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",SR,2.0,5.4,8.6,0.0,14.0,14.0
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",SR,5.0,5.4,8.566,0.0,13.966,13.966000000000001
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",SR,3.0,5.4,9.0,0.0,14.4,14.4
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",VT,2.0,5.2,9.3,0.0,14.5,14.5
Felix DOLCI,CAN,,m,BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",VT1,0.0,5.2,9.15,0.1,14.25,14.250000000000002
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,final,"Birmingham, England",VT2,4.0,5.2,8.033,0.0,13.233,13.233
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",VT2,3.0,5.2,9.25,0.0,14.45,14.45
Felix DOLCI,CAN,2022-08-02,m,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",hb,18.0,5.3,7.5,0.0,12.8,12.8
Felix DOLCI,CAN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",HB,3.0,5.7,8.0,0.0,13.7,13.7
Felix DOLCI,CAN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",HB,4.0,6.0,8.35,0.0,14.35,14.35
Felix DOLCI,CAN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PB,16.0,5.5,8.6,0.0,14.1,14.1
Felix DOLCI,CAN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",PH,52.0,4.6,5.65,0.0,10.25,10.25
Felix DOLCI,CAN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",SR,3.0,5.4,8.5,0.0,13.9,13.9
Felix DOLCI,CAN,2023-03-19,m,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",SR,11.0,5.4,8.45,0.0,13.85,13.85
Artem DOLGOPYAT,ISR,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,73.0,5.9,7.1,0.0,13.0,13.0
Artem DOLGOPYAT,ISR,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,16.0,5.7,8.166,0.0,13.866,13.866
Artem DOLGOPYAT,ISR,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,41.0,5.6,8.833,0.3,14.133,14.133
Artem DOLGOPYAT,ISR,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT2,12.0,5.2,9.066,0.1,14.166,14.166000000000002
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,final,"Munich, Germany",FX,1.0,6.1,8.866,0.0,14.966,14.966
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",FX,6.0,6.1,8.466,0.3,14.266,14.265999999999998
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",HB,55.0,4.7,8.133,0.0,12.833,12.832999999999998
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PB,29.0,5.3,8.533,0.0,13.833,13.832999999999998
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PH,78.0,5.6,6.333,0.0,11.933,11.933
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",SR,0.0,0.0,0.0,0.0,0.0,0.0
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",VT1,20.0,5.2,9.333,0.1,14.433,14.433000000000002
Artem DOLGOPYAT,ISR,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",VT2,23.0,0.0,0.0,0.0,0.0,0.0
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,final,"Antalya, Turkey",FX,2.0,6.1,8.566,0.0,14.666,14.666
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",FX,2.0,6.1,8.266,0.0,14.366,14.366
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",HB,48.0,4.7,8.133,0.0,12.833,12.832999999999998
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PB,45.0,5.3,8.333,0.3,13.333,13.332999999999998
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PH,40.0,5.8,7.266,0.0,13.066,13.065999999999999
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",SR,51.0,4.5,8.666,0.0,13.166,13.166
Artem DOLGOPYAT,ISR,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,62.0,4.8,9.066,0.1,13.766,13.766
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",FX,1.0,6.4,8.166,0.1,14.466,14.466000000000001
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,1.0,6.4,8.433,0.0,14.833,14.833
Artem DOLGOPYAT,ISR,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",FX,1.0,6.4,8.2,0.0,14.6,14.6
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,25.0,5.7,7.9,0.0,13.6,13.600000000000001
Artem DOLGOPYAT,ISR,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PH,40.0,5.3,6.066,0.0,11.366,11.366
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT1,4.0,5.2,9.2,0.0,14.4,14.399999999999999
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT1,3.0,5.2,9.3,0.0,14.5,14.5
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT2,4.0,5.2,9.366,0.0,14.566,14.565999999999999
Artem DOLGOPYAT,ISR,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT2,3.0,5.2,9.333,0.0,14.533,14.533000000000001
Tara DONNELLY,IOM,,m,BIRMINGHAM 2022 Commonwealth Games,AAqual,"Birmingham, England",VT1,0.0,3.0,7.95,0.0,10.95,10.95
Dusan DORDEVIC,SRB,2023-05-28,m,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",FX,5.0,5.4,8.133,0.0,13.53,13.533
Dusan DORDEVIC,SRB,2023-05-28,m,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",FX,7.0,5.4,7.6,0.0,13.0,13.0
Dusan DORDEVIC,SRB,2023-05-28,m,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",VT1,3.0,5.2,8.866,0.0,14.066,14.065999999999999
Dusan DORDEVIC,SRB,2023-05-28,m,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT1,2.0,5.2,9.2,0.0,14.4,14.399999999999999
Dusan DORDEVIC,SRB,2023-05-28,m,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",VT2,3.0,5.2,8.966,0.0,14.166,14.166
Dusan DORDEVIC,SRB,2023-05-28,m,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT2,2.0,5.2,8.9,0.0,14.1,14.100000000000001
Dusan DORDEVIC,SRB,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,17.0,5.4,7.866,0.0,13.266,13.266
Dusan DORDEVIC,SRB,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,21.0,5.4,7.466,0.0,12.866,12.866
Dusan DORDEVIC,SRB,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",VT1,24.0,5.2,7.966,0.3,12.866,12.866
Dusan DORDEVIC,SRB,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT1,16.0,5.2,7.866,0.1,12.966,12.966
Dusan DORDEVIC,SRB,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",VT2,24.0,5.2,8.866,0.0,14.066,14.065999999999999
Dusan DORDEVIC,SRB,2023-04-30,m,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT2,16.0,5.2,8.5,0.1,13.6,13.6
Colton DUDLEY,GBR,2022-03-27,m,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,21.0,4.7,8.0,0.0,12.7,12.7
Colton DUDLEY,GBR,2022-03-27,m,2022 British Gymnastics Championships,qual,"Liverpool, England",HB,25.0,3.5,8.25,0.0,11.75,11.75
Colton DUDLEY,GBR,2022-03-27,m,2022 British Gymnastics Championships,qual,"Liverpool, England",PB,29.0,3.0,7.3,0.0,10.3,10.3
Colton DUDLEY,GBR,2022-03-27,m,2022 British Gymnastics Championships,qual,"Liverpool, England",PH,25.0,2.8,6.25,0.0,9.05,9.05
Colton DUDLEY,GBR,2022-03-27,m,2022 British Gymnastics Championships,qual,"Liverpool, England",SR,14.0,3.8,9.0,0.0,12.8,12.8
Colton DUDLEY,GBR,2022-03-27,m,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,33.0,4.0,7.55,0.0,11.55,11.55
Valiko DUDUCHAVA,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",FX,96.0,4.7,7.133,0.0,11.833,11.833
Valiko DUDUCHAVA,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",VT1,89.0,5.2,7.933,0.1,13.033,13.033
Valiko DUDUCHAVA,GEO,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",VT2,23.0,4.4,8.966,0.1,13.266,13.266
Nils DUNKEL,GER,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,62.0,5.1,8.166,0.1,13.166,13.166
Nils DUNKEL,GER,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,31.0,6.0,8.133,0.0,14.133,14.133
Nils DUNKEL,GER,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,12.0,6.1,8.066,0.0,14.166,14.166
Nils DUNKEL,GER,2022-11-06,m,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,31.0,5.5,7.966,0.0,13.466,13.466000000000001
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PB,42.0,5.6,7.966,0.0,13.566,13.565999999999999
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,9.0,5.6,8.466,0.0,14.066,14.065999999999999
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,final,"Munich, Germany",PH,3.0,6.1,8.533,0.0,14.633,14.633
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",PH,6.0,6.1,8.266,0.0,14.366,14.366
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,1.0,6.1,8.366,0.0,14.466,14.466
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,qual,"Munich, Germany",SR,34.0,5.3,8.1,0.0,13.4,13.399999999999999
Nils DUNKEL,GER,2022-08-21,m,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,24.0,5.0,7.0,0.0,12.0,12.0
Nils DUNKEL,GER,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",FX,67.0,5.3,7.7,0.0,13.0,13.0
Nils DUNKEL,GER,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",HB,51.0,4.9,7.9,0.0,12.8,12.8
Nils DUNKEL,GER,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PB,18.0,5.7,8.3,0.0,14.0,14.0
Nils DUNKEL,GER,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",PH,16.0,6.0,7.6,0.0,13.6,13.6
Nils DUNKEL,GER,2023-04-16,m,2023 Senior European Championships,qual,"Antalya, Turkey",SR,41.0,5.3,8.033,0.0,13.333,13.332999999999998
Nils DUNKEL,GER,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",HB,34.0,4.5,7.133,0.0,11.633,11.633
Nils DUNKEL,GER,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PB,24.0,5.7,6.9,0.0,12.6,12.600000000000001
Nils DUNKEL,GER,2023-02-26,m,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",PB,6.0,5.7,8.533,0.0,14.233,14.233
Nils DUNKEL,GER,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PB,5.0,5.7,8.766,0.0,14.466,14.466000000000001
Nils DUNKEL,GER,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,24.0,5.9,7.033,0.0,12.933,12.933
Nils DUNKEL,GER,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,14.0,6.1,7.833,0.0,13.933,13.933
Nils DUNKEL,GER,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",SR,25.0,5.3,7.533,0.0,12.833,12.833
Miroslav DURAK,CZE,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",HB,30.0,4.0,8.233,0.0,12.233,12.233
Miroslav DURAK,CZE,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PB,40.0,4.0,6.166,0.0,10.166,10.166
Miroslav DURAK,CZE,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,50.0,3.9,6.566,0.0,10.466,10.466
Miroslav DURAK,CZE,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",SR,36.0,4.0,7.633,0.0,11.633,11.633
Xheni DYRMISHI,AUT,2023-03-12,m,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",PH,37.0,5.6,6.4,0.0,12.0,12.0
Xheni DYRMISHI,AUT,2023-02-26,m,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,37.0,4.7,8.166,0.0,12.866,12.866
Xheni DYRMISHI,AUT,2023-03-04,m,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",PH,19.0,5.4,8.233,0.0,13.633,13.633000000000001
Brandon Dang,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",PH,5.0,6.3,7.8,0.0,14.1,14.1
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,5.7,7.95,0.1,13.55,13.55
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,5.7,7.9,0.0,13.6,13.600000000000001
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",HB,0.0,4.9,7.5,0.0,12.4,12.4
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",HB,0.0,4.4,7.25,0.0,11.65,11.65
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",PB,0.0,4.4,5.8,0.0,10.2,10.2
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",PB,0.0,4.2,7.6,0.0,11.8,11.8
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",PH,0.0,4.3,7.6,0.0,11.9,11.899999999999999
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",PH,0.0,4.5,7.4,0.0,11.9,11.9
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",SR,0.0,4.0,8.5,0.0,12.5,12.5
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",SR,0.0,4.0,8.7,0.0,12.7,12.7
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",VT,0.0,4.8,9.5,0.0,14.3,14.3
Chase Davenport-Mills,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",VT,0.0,4.8,8.8,0.1,13.5,13.500000000000002
Chase Davenport-Mills,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,28.0,5.6,5.8,0.3,11.1,11.099999999999998
Chase Davenport-Mills,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",HB,15.0,4.5,8.25,0.0,12.75,12.75
Chase Davenport-Mills,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",PB,31.0,4.0,6.95,0.0,10.95,10.95
Chase Davenport-Mills,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",PH,19.0,4.5,7.9,0.0,12.4,12.4
Chase Davenport-Mills,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",SR,24.0,4.0,8.3,0.0,12.3,12.3
Chase Davenport-Mills,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,4.8,9.1,0.0,13.9,13.899999999999999
Agust Davidsson,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",SR,15.0,4.7,8.05,0.0,12.75,12.75
Evan Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,10.0,5.3,8.05,0.0,13.35,13.350000000000001
Evan Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",HB,22.0,4.4,8.15,0.0,12.55,12.55
Evan Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",PB,15.0,5.3,7.95,0.0,13.25,13.25
Evan Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",PH,32.0,5.0,6.35,0.0,11.35,11.35
Evan Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",SR,12.0,4.7,8.5,0.0,13.2,13.2
Evan Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,15.0,4.8,9.3,0.0,14.1,14.100000000000001
Mathew Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,8.0,5.4,8.1,0.1,13.4,13.4
Mathew Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",HB,26.0,4.2,7.85,0.0,12.05,12.05
Mathew Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",PB,33.0,4.8,6.9,0.0,11.7,11.7
Mathew Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",PH,21.0,3.8,8.75,0.0,12.55,12.55
Mathew Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",SR,20.0,4.3,8.55,0.0,12.85,12.850000000000001
Mathew Davis,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,23.0,4.8,9.0,0.1,13.7,13.700000000000001
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",FX,9.0,4.8,8.85,0.0,13.65,13.649999999999999
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",PB,8.0,4.5,9.233,0.0,13.733,13.733
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",PB,8.0,4.6,9.15,0.0,13.75,13.75
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",PH,2.0,5.7,8.9,0.0,14.6,14.600000000000001
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",PH,7.0,5.8,8.2,0.0,14.0,14.0
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",VT1,2.0,5.6,8.9,0.1,14.4,14.4
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",VT1,1.0,5.6,9.366,0.1,14.866,14.866
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",VT2,1.0,5.6,9.6,0.0,15.2,15.2
Artur Davtyan,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",VT2,2.0,5.6,9.35,0.0,14.95,14.95
Ivan Dejanovic,None,2023-06-11,m,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",HB,25.0,4.8,5.6,0.0,10.4,10.399999999999999
Alex Diab,USA,2022-08-20,m,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,5.6,7.9,0.1,13.4,13.4
Alex Diab,USA,2022-08-20,m,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,5.3,7.75,0.0,13.05,13.05
Alex Diab,USA,2022-08-20,m,2022 U.S. Championships,qual,"Tampa, FL",SR,0.0,6.2,8.15,0.0,14.35,14.350000000000001
Alex Diab,USA,2022-08-20,m,2022 U.S. Championships,final,"Tampa, FL",SR,0.0,6.2,8.0,0.0,14.2,14.2
Alex Diab,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,4.0,5.7,7.85,0.0,13.55,13.55
Alex Diab,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",SR,2.0,6.2,7.35,0.0,13.55,13.55
Alex Diab,USA,2022-02-27,m,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,35.0,5.2,7.8,0.0,13.0,13.0
Alex Diab,USA,2023-08-27,m,2023 U.S. Championships,qual,"San Jose, CA",SR,0.0,5.9,8.5,0.0,14.4,14.4
Alex Diab,USA,2023-08-27,m,2023 U.S. Championships,final,"San Jose, CA",SR,0.0,5.9,8.3,0.0,14.2,14.200000000000001
Alex Diab,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",FX,15.0,5.7,7.5,0.3,12.9,12.899999999999999
Alex Diab,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",SR,1.0,6.2,8.05,0.0,14.25,14.25
Alex Diab,USA,2023-02-26,m,2023 Winter Cup,AAfinal,"Louisville, Kentucky",VT,0.0,5.6,7.75,0.0,13.35,13.35
Thierno Diallo,ESP,2023-06-04,m,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",FX,9.0,5.7,7.4,0.1,13.0,13.000000000000002
Thierno Diallo,ESP,2023-06-04,m,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",HB,5.0,5.2,7.25,0.0,12.45,12.45
Thierno Diallo,ESP,2023-06-04,m,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",HB,5.0,5.2,7.95,0.0,13.15,13.15
Thierno Diallo,ESP,2023-06-04,m,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",PB,7.0,5.9,7.7,0.0,13.6,13.600000000000001
Thierno Diallo,ESP,2023-06-04,m,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",PB,3.0,6.4,7.75,0.0,14.15,14.15
Thierno Diallo,ESP,2023-06-04,m,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",PH,3.0,5.9,7.9,0.0,13.8,13.8
