Name,Apparatus,Score
asher hong,HB,12.3
shane wiskus,HB,13.75
maxim bereznev,HB,12.05
fuzzy benas,HB,12.95
maxim bereznev,HB,12.45
donnell whittenburg,HB,13.2
garrett schooley,HB,12.9
jackson harrison,HB,11.3
jackson harrison,HB,12.15
garrett schooley,HB,12.7
vitaliy guimaraes,HB,13.4
caden clinton,HB,12.05
david shamah,HB,12.9
donnell whittenburg,HB,11.9
kazuki hayashi,HB,11.25
maxim bereznev,HB,12.6
dallas hale,HB,12.5
dallas hale,HB,12.2
fred richard,HB,11.65
fred richard,HB,13.55
ian gunther,HB,12.85
fuzzy benas,HB,11.5
dallas hale,HB,12.85
fred richard,HB,13.1
caden clinton,HB,13.25
colt walker,HB,13.1
taylor christopulos,HB,13.0
fuzzy benas,HB,11.75
dallas hale,HB,12.9
jeremy bischoff,HB,13.2
jeremy bischoff,HB,13.2
brody malone,HB,14.433
evan hymanson,HB,13.5
ian gunther,HB,13.25
evan hymanson,HB,13.6
james friedman,HB,12.8
fred richard,HB,14.55
taylor christopulos,HB,10.6
landon simpson,HB,11.2
raydel gamboa,HB,13.45
frederick richard,HB,14.4
landon simpson,HB,10.1
colin van wicklen,HB,13.15
frederick richard,HB,14.15
maxim bereznev,HB,11.8
maxim bereznev,HB,12.65
asher hong,HB,13.65
jack freeman,HB,10.95
joshua andrew karnes,HB,13.633
j.r. chou,HB,12.9
yul moldauer,HB,13.5
chase davenport-mills,HB,12.75
cameron bock,HB,12.3
cameron bock,HB,13.55
brandon briones,HB,13.4
yul moldauer,HB,11.2
yul moldauer,HB,12.85
toby liang,HB,13.1
toby liang,HB,13.2
yul moldauer,HB,11.4
khoi young,HB,13.15
brandon briones,HB,13.8
toby liang,HB,13.25
garrett braunton,HB,9.35
isaiah drake,HB,11.9
isaiah drake,HB,13.05
ignacio yockers,HB,11.4
ian lasic-ellis,HB,12.7
yul moldauer,HB,12.8
michael artlip,HB,13.0
mike fletcher,HB,12.4
riley loos,HB,12.366
kameron nelson,HB,12.35
kameron nelson,HB,12.3
will fleck,HB,11.05
will fleck,HB,12.05
ian lasic-ellis,HB,13.7
robert neff,HB,11.65
ian lasic-ellis,HB,12.3
taylor burkhart,HB,13.5
taylor burkhart,HB,12.5
landen blixt,HB,13.2
shane wiskus,HB,12.2
michael artlip,HB,12.3
ian lasic-ellis,HB,13.3
yul moldauer,HB,13.0
khoi young,HB,13.1
shane wiskus,HB,13.65
evan manivong,HB,12.2
riley loos,HB,13.0
oliver zavel,HB,12.0
brody malone,HB,13.85
brody malone,HB,14.6
oliver zavel,HB,12.5
crew bold,HB,13.95
crew bold,HB,14.0
riley loos,HB,13.45
mathew davis,HB,12.05
garrett braunton,HB,11.1
garrett braunton,HB,13.75
brody malone,HB,14.35
brody malone,HB,12.666
brody malone,HB,14.5
brody malone,HB,14.8
isaiah drake,HB,12.6
evan manivong,HB,13.35
riley loos,HB,12.5
riley loos,HB,13.0
caleb melton,HB,12.0
cameron bock,HB,13.4
cameron bock,HB,13.9
drake andrews,HB,12.9
riley loos,HB,13.1
garrett braunton,HB,11.65
caleb melton,HB,12.35
caleb melton,HB,11.1
khoi young,HB,13.4
khoi young,HB,13.3
isaiah drake,HB,12.95
riley loos,HB,12.3
evan davis,HB,12.55
cameron bock,HB,13.55
isaiah drake,HB,12.35
nicolas kuebler,HB,13.15
isaiah drake,HB,11.55
shane wiskus,HB,12.55
brandon nguyen,HB,13.7
chase davenport-mills,HB,12.4
landen blixt,HB,13.3
chase davenport-mills,HB,11.65
joshua karnes,HB,12.65
joshua karnes,HB,13.15
brandon nguyen,HB,13.55
taylor burkhart,HB,13.0
landen blixt,HB,13.5
taylor burkhart,HB,13.85
noah newfeld,HB,12.9
joshua karnes,HB,13.25
noah newfeld,HB,12.15
shane wiskus,HB,13.2
landen blixt,HB,12.6
zachary nunez,HB,13.15
mike fletcher,HB,12.1
mike fletcher,HB,13.3
cole partridge,HB,11.0
cole partridge,HB,11.85
jeremy bischoff,HB,11.45
joshua andrew karnes,HB,13.333
taylor troy christopulos,HB,13.833
michael artlip,HB,12.7
cole partridge,HB,9.7
michael artlip,HB,13.1
alex karadzhov,HB,12.95
taylor troy christopulos,HB,12.36
curran phillips,HB,14.133
curran phillips,HB,13.133
donnell whittenburg,HB,13.5
donnell whittenburg,HB,12.95
alex karadzhov,HB,12.45
shane wiskus,HB,13.45
ian gunther,HB,13.6
kameron nelson,HB,12.55
noah newfeld,HB,10.75
anthony koppie,HB,11.4
kameron nelson,HB,11.95
taylor burkhart,HB,12.7
kameron nelson,HB,11.65
michael artlip,HB,10.1
mike fletcher,HB,13.05
anthony koppie,HB,12.4
landen blixt,HB,12.85
noah newfeld,HB,9.85
anthony koppie,HB,12.55
landen blixt,HB,12.0
donnell whittenburg,FX,14.1
donnell whittenburg,FX,12.25
donnell whittenburg,FX,14.15
donnell whittenburg,FX,14.8
isaiah drake,FX,13.7
ian gunther,FX,13.5
javier alfonso,FX,13.2
oliver zavel,FX,13.1
oliver zavel,FX,13.3
shane wiskus,FX,14.6
spencer goodell,FX,13.45
michael artlip,FX,13.7
colt walker,FX,13.85
colt walker,FX,12.45
alex tapanes,FX,11.15
colin flores,FX,12.2
javier alfonso,FX,13.95
alex diab,FX,13.4
james friedman,FX,12.6
chase davenport-mills,FX,13.55
chase davenport-mills,FX,13.6
alex diab,FX,12.9
isaiah drake,FX,13.85
mike fletcher,FX,12.4
shane wiskus,FX,14.25
raydel gamboa,FX,13.45
mathew davis,FX,13.4
ian gunther,FX,12.9
isaiah drake,FX,13.15
colin van wicklen,FX,13.45
mike fletcher,FX,13.3
mike fletcher,FX,13.6
shane wiskus,FX,13.8
isaiah drake,FX,12.75
jack freeman,FX,13.2
khoi young,FX,13.55
isaiah drake,FX,14.0
ignacio yockers,FX,11.75
matt cormier,FX,11.05
shane wiskus,FX,12.7
fuzzy benas,FX,13.2
colt walker,FX,13.55
donnell whittenburg,FX,12.733
michael artlip,FX,12.3
vitaliy guimaraes,FX,14.25
khoi young,FX,13.8
michael artlip,FX,13.5
landen paul blixt,FX,12.333
evan davis,FX,13.35
shane wiskus,FX,13.7
michael artlip,FX,12.7
ian gunther,FX,13.6
shane wiskus,FX,14.3
mike fletcher,FX,12.6
matt cormier,FX,10.15
khoi young,FX,14.0
khoi young,FX,14.65
colin flores,FX,12.45
ian gunther,FX,13.15
chase davenport-mills,FX,11.1
michael artlip,FX,13.5
colt walker,FX,10.433
colt walker,FX,14.25
jack freeman,FX,13.25
colt walker,FX,14.2
donnell whittenburg,FX,14.133
fred richard,FX,11.85
asher hong,FX,14.266
kameron nelson,FX,13.5
nicolas kuebler,FX,12.15
riley loos,FX,13.733
riley loos,FX,13.766
kameron nelson,FX,14.05
kameron nelson,FX,13.55
ian lasic-ellis,FX,14.15
ian lasic-ellis,FX,14.15
robert neff,FX,12.95
landen blixt,FX,13.5
taylor burkhart,FX,14.2
kameron nelson,FX,13.4
kameron nelson,FX,11.8
ian lasic-ellis,FX,13.65
taylor burkhart,FX,13.8
ian lasic-ellis,FX,13.6
yul moldauer,FX,14.4
cameron bock,FX,13.35
taylor burkhart,FX,13.2
kameron nelson,FX,12.75
asher hong,FX,13.866
anthony koppie,FX,11.9
zachary nunez,FX,12.6
javier alfonso,FX,14.05
joshua karnes,FX,12.8
joshua karnes,FX,14.25
noah newfeld,FX,11.55
joshua karnes,FX,13.75
landen blixt,FX,12.6
noah newfeld,FX,12.2
taylor burkhart,FX,14.3
taylor burkhart,FX,14.05
anthony koppie,FX,11.7
anthony koppie,FX,12.1
noah newfeld,FX,13.0
noah newfeld,FX,12.35
kameron nelson,FX,14.0
landen blixt,FX,13.85
landen blixt,FX,13.85
cameron bock,FX,14.05
toby liang,FX,11.75
toby liang,FX,13.0
yul moldauer,FX,12.65
connor mccool,FX,13.45
connor mccool,FX,14.35
riley loos,FX,13.95
riley loos,FX,13.8
evan manivong,FX,13.2
evan manivong,FX,13.9
crew bold,FX,13.45
crew bold,FX,12.75
riley loos,FX,12.9
brody malone,FX,14.75
brody malone,FX,14.25
yul moldauer,FX,14.5
yul moldauer,FX,14.233
brody malone,FX,14.133
brody malone,FX,12.766
garrett braunton,FX,13.2
garrett braunton,FX,10.7
cameron bock,FX,13.4
connor mccool,FX,13.9
connor mccool,FX,14.15
cameron bock,FX,13.6
yul moldauer,FX,14.0
yul moldauer,FX,13.4
toby liang,FX,12.55
garrett braunton,FX,12.15
riley loos,FX,13.85
yul moldauer,FX,14.7
yul moldauer,FX,13.75
cameron bock,FX,13.65
riley loos,FX,12.7
riley loos,FX,13.9
caleb melton,FX,11.75
alex diab,FX,13.55
caleb melton,FX,13.35
caleb melton,FX,13.3
garrett braunton,FX,12.85
connor mccool,FX,13.75
landen blixt,FX,13.75
zachary nunez,FX,12.65
zachary nunez,FX,13.35
asher hong,FX,12.15
jackson harrison,FX,13.3
david shamah,FX,12.7
kazuki hayashi,FX,12.2
maxim bereznev,FX,13.0
maxim bereznev,FX,12.9
caden clinton,FX,12.75
caden clinton,FX,12.4
garrett schooley,FX,12.95
garrett schooley,FX,12.2
asher hong,FX,14.5
asher hong,FX,14.5
asher hong,FX,13.8
taylor christopulos,FX,13.55
ian sandoval,FX,13.5
ian sandoval,FX,12.85
asher hong,FX,13.3
asher hong,FX,13.8
tyler shimizu,FX,12.85
tyler shimizu,FX,13.3
jackson harrison,FX,13.65
maxim bereznev,FX,11.1
matt cormier,FX,14.0
matt cormier,FX,13.4
asher hong,FX,14.25
dallas hale,FX,13.55
landon simpson,FX,12.85
landon simpson,FX,13.2
dallas hale,FX,13.1
maxim bereznev,FX,13.0
daniel simmons,FX,13.85
asher cohen,FX,13.3
landon simpson,FX,11.8
landon simpson,FX,10.75
asher cohen,FX,12.3
dallas hale,FX,14.2
dallas hale,FX,13.05
daniel simmons,FX,13.4
maxim bereznev,FX,12.1
frederick richard,FX,14.2
alex karadzhov,FX,12.55
frederick richard,FX,13.95
jeremy bischoff,FX,13.95
taylor christopulos,FX,12.65
jeremy bischoff,FX,14.0
michael jaroh,FX,12.3
paul juda,FX,14.55
paul juda,FX,14.75
vahe petrosyan,FX,10.45
vahe petrosyan,FX,13.1
joshua andrew karnes,FX,13.866
cole partridge,FX,12.05
jeremy bischoff,FX,12.6
joshua andrew karnes,FX,13.5
cole partridge,FX,12.1
cole partridge,FX,12.4
taylor troy christopulos,FX,12.9
landen blixt,FX,12.8
alex karadzhov,FX,11.95
taylor christopulos,FX,13.65
rithik puri,FX,11.4
michael jaroh,FX,12.2
fred richard,FX,13.95
evan hymanson,FX,12.95
fred richard,FX,14.3
evan hymanson,FX,12.25
jeremy bischoff,FX,13.2
jeremy bischoff,FX,13.75
taylor christopulos,FX,12.75
taylor christopulos,FX,9.25
fred richard,FX,14.1
michael jaroh,FX,12.1
evan hymanson,FX,11.5
evan hymanson,FX,12.1
frederick nathaniel richard,FX,13.533
michael jaroh,FX,11.2
frederick nathaniel richard,FX,14.166
jeremy bischoff,FX,12.55
frederick richard,FX,14.05
alex diab,FX,13.05
