Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
FRA,EnBW DTB Pokal Team Challenge 2023,qual,HB,17.0,5.3,8.15,0.0,13.45,2023,lucas desanges
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,88.0,4.9,7.5,0.0,12.4,2022,thierno diallo
ESP,2022 Senior European Championships,qual,HB,46.0,4.6,8.4,0.0,13.0,2022,thierno diallo
ESP,2023 Senior European Championships,AAfinal,HB,15.0,5.2,7.833,0.0,13.033,2023,thierno diallo
ESP,2023 Senior European Championships,qual,HB,36.0,5.2,7.8,0.0,13.0,2023,thierno diallo
NZL,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,12.0,4.2,8.2,0.0,12.4,2022,ethan dick
NZL,BIRMINGHAM 2022 Commonwealth Games,qual,HB,20.0,4.2,8.4,0.0,12.6,2022,ethan dick
NZL,BIRMINGHAM 2022 Commonwealth Games,qual,HB,24.0,3.4,8.75,0.0,12.15,2022,samuel dick
JPN,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,21.0,6.3,7.5,0.0,13.8,2022,ryosuke doi
JPN,EnBW DTB Pokal Team Challenge 2023,qual,HB,2.0,6.4,8.15,0.0,14.55,2023,ryosuke doi
CAN,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,22.0,5.9,7.866,0.0,13.766,2022,felix dolci
CAN,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,1.0,5.6,8.05,0.0,13.65,2022,felix dolci
CAN,BIRMINGHAM 2022 Commonwealth Games,qual,HB,18.0,5.3,7.5,0.0,12.8,2022,felix dolci
CAN,EnBW DTB Pokal Team Challenge 2023,final,HB,3.0,5.7,8.0,0.0,13.7,2023,felix dolci
CAN,EnBW DTB Pokal Team Challenge 2023,qual,HB,4.0,6.0,8.35,0.0,14.35,2023,felix dolci
ISR,2022 Senior European Championships,qual,HB,55.0,4.7,8.133,0.0,12.833,2022,artem dolgopyat
ISR,2023 Senior European Championships,qual,HB,48.0,4.7,8.133,0.0,12.833,2023,artem dolgopyat
GBR,2022 British Gymnastics Championships,qual,HB,25.0,3.5,8.25,0.0,11.75,2022,colton dudley
GER,2023 Baku World Cup,qual,HB,34.0,4.5,7.133,0.0,11.633,2023,nils dunkel
GER,2023 Senior European Championships,qual,HB,51.0,4.9,7.9,0.0,12.8,2023,nils dunkel
CZE,2023 Baku World Cup,qual,HB,30.0,4.0,8.233,0.0,12.233,2023,miroslav durak
USA,2023 Winter Cup,AAfinal,HB,15.0,4.5,8.25,0.0,12.75,2023,chase davenport-mills
USA,2022 Winter Cup,AAfinal,HB,22.0,4.4,8.15,0.0,12.55,2022,evan davis
USA,2022 Winter Cup,AAfinal,HB,26.0,4.2,7.85,0.0,12.05,2022,mathew davis
ARM,2022 Cairo World Cup,final,HB,6.0,4.4,8.8,0.0,13.2,2022,artur davtyan
ARM,2022 Cairo World Cup,final,HB,6.0,4.4,8.8,0.0,13.2,2022,artur davtyan
ARM,2022 Cairo World Cup,qual,HB,7.0,4.4,8.633,0.0,13.033,2022,artur davtyan
ARM,2022 Cairo World Cup,qual,HB,7.0,4.4,8.633,0.0,13.033,2022,artur davtyan
none,2023 Osijek World Challenge Cup,qual,HB,25.0,4.8,5.6,0.0,10.4,2023,ivan dejanovic
TUR,2022 Baku World Cup,qual,HB,15.0,4.8,8.166,0.0,12.966,2022,sercan demir
ESP,2022 Cottbus World Cup,qual,HB,12.0,5.3,7.6,0.0,12.9,2022,thierno diallo
ESP,2023 Tel Aviv World Challenge Cup,qual,HB,5.0,5.2,7.25,0.0,12.45,2023,thierno diallo
ESP,2023 Tel Aviv World Challenge Cup,final,HB,5.0,5.2,7.95,0.0,13.15,2023,thierno diallo
USA,2022 Winter Cup,AAfinal,HB,14.0,4.6,8.35,0.0,12.95,2022,isaiah drake
USA,2023 Winter Cup,AAfinal,HB,23.0,4.9,6.65,0.0,11.55,2023,isaiah drake
BLR,2022 Cottbus World Cup,qual,HB,23.0,4.2,7.4,0.0,11.6,2022,sviataslau dranitski
BLR,2022 Doha World Cup,qual,HB,17.0,4.3,7.466,0.0,11.766,2022,sviataslau dranitski
WAL,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,14.0,4.1,8.1,0.0,12.2,2022,jacob edwards
WAL,BIRMINGHAM 2022 Commonwealth Games,qual,HB,23.0,4.1,8.1,0.0,12.2,2022,jacob edwards
EGY,2023 Baku World Cup,final,HB,7.0,5.3,7.166,0.0,12.466,2023,ahmed elmaraghy
EGY,2023 Baku World Cup,qual,HB,8.0,5.5,8.1,0.0,13.6,2023,ahmed elmaraghy
EGY,2023 Cairo World Cup,final,HB,5.0,5.7,7.466,0.0,13.166,2023,ahmed elmaraghy
EGY,2023 Cairo World Cup,qual,HB,2.0,5.7,8.366,0.0,14.066,2023,ahmed elmaraghy
EGY,2023 Cottbus World Cup,qual,HB,43.0,5.0,5.9,0.0,10.9,2023,ahmed elmaraghy
EGY,2023 Doha World Cup,final,HB,3.0,5.5,8.466,0.0,13.966,2023,ahmed elmaraghy
EGY,2023 Doha World Cup,qual,HB,8.0,5.5,8.033,0.0,13.533,2023,ahmed elmaraghy
CAN,EnBW DTB Pokal Team Challenge 2023,qual,HB,41.0,4.8,7.65,0.0,12.45,2023,william emard
UZB,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,123.0,4.6,6.866,0.0,11.466,2022,khabibullo ergashev
UZB,2023 Cairo World Cup,qual,HB,28.0,4.6,7.533,0.0,12.133,2023,khabibullo ergashev
UZB,2023 Varna World Challenge Cup,qual,HB,13.0,4.6,8.1,0.0,12.7,2023,khabibullo ergashev
MGL,2023 Baku World Cup,qual,HB,40.0,4.0,6.966,0.0,10.966,2023,usukhbayar erkhembayar
MGL,2023 Cottbus World Cup,qual,HB,29.0,4.2,7.633,0.0,11.833,2023,usukhbayar erkhembayar
CUB,2023 Central American and Caribbean Games,qual,HB,19.0,4.5,7.0,0.0,11.5,2023,jose escandon
CUB,2023 Central American and Caribbean Games,AAfinal,HB,1.0,5.6,8.15,0.0,13.75,2023,diorges escobar
CUB,2023 Central American and Caribbean Games,final,HB,1.0,5.6,8.2,0.0,13.8,2023,diorges escobar
CUB,2023 Central American and Caribbean Games,qual,HB,1.0,5.6,7.6,0.0,13.2,2023,diorges escobar
GBR,2022 British Gymnastics Championships,qual,HB,29.0,4.4,6.9,0.0,11.3,2022,benjamin eyre
UZB,2022 Doha World Cup,qual,HB,12.0,5.0,7.133,0.0,12.133,2022,khabibullo ergashev
ITA,2023 Cairo World Cup,qual,HB,13.0,4.8,8.233,0.0,13.033,2023,ares federici
GBR,2022 British Gymnastics Championships,qual,HB,12.0,5.2,7.5,0.0,12.7,2022,korben fellows
SRI,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,17.0,3.0,6.7,0.0,9.7,2022,ruchira fernando
SRI,BIRMINGHAM 2022 Commonwealth Games,qual,HB,32.0,3.0,7.7,0.0,10.7,2022,ruchira fernando
BRA,EnBW DTB Pokal Team Challenge 2023,qual,HB,16.0,5.0,8.45,0.0,13.45,2023,tomas florencio
IRL,2022 Senior European Championships,qual,HB,92.0,3.5,8.466,0.0,11.966,2022,daniel fox
GBR,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,21.0,5.0,7.1,0.0,12.1,2022,joe fraser
GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,12.0,6.1,8.166,0.0,14.266,2022,joe fraser
GBR,2022 British Gymnastics Championships,final,HB,1.0,5.7,8.7,0.0,14.4,2022,joe fraser
GBR,2022 British Gymnastics Championships,qual,HB,1.0,5.7,8.65,0.0,14.35,2022,joe fraser
GBR,2022 Senior European Championships,qual,HB,15.0,5.5,8.2,0.0,13.7,2022,joe fraser
GBR,2022 Senior European Championships,TeamFinal,HB,4.0,6.0,7.9,0.0,13.9,2022,joe fraser
ENG,BIRMINGHAM 2022 Commonwealth Games,final,HB,7.0,5.7,6.566,0.0,12.266,2022,joe fraser
ENG,BIRMINGHAM 2022 Commonwealth Games,qual,HB,1.0,5.8,8.7,0.0,14.5,2022,joe fraser
SUI,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,130.0,4.5,6.366,0.0,10.866,2022,andrin frey
SUI,2022 Senior European Championships,qual,HB,40.0,4.9,8.333,0.0,13.233,2022,andrin frey
AUS,2023 FISU World University Games,qual,HB,54.0,4.3,7.9,0.0,12.2,2023,aiden michael frick
USA,2022 Winter Cup,AAfinal,HB,23.0,4.4,8.0,0.0,12.4,2022,mike fletcher
USA,2023 Winter Cup,AAfinal,HB,20.0,4.6,7.5,0.0,12.1,2023,mike fletcher
GBR,2022 Baku World Cup,final,HB,1.0,5.7,8.3,0.0,14.0,2022,joe fraser
GBR,2022 Baku World Cup,qual,HB,4.0,5.7,8.4,0.0,14.1,2022,joe fraser
USA,2022 Winter Cup,AAfinal,HB,5.0,5.5,7.85,0.0,13.35,2022,jack freeman
USA,2023 Winter Cup,AAfinal,HB,28.0,5.0,5.95,0.0,10.95,2023,jack freeman
USA,2022 Winter Cup,AAfinal,HB,18.0,4.1,8.7,0.0,12.8,2022,james friedman
CZE,2023 Senior European Championships,qual,HB,73.0,4.4,7.966,0.0,12.366,2023,jack gagamov
AZE,2022 Senior European Championships,qual,HB,96.0,4.5,7.066,0.0,11.566,2022,aghamurad gahramanov
MEX,2023 Central American and Caribbean Games,AAfinal,HB,9.0,4.7,7.55,0.0,12.25,2023,maximiliano galicia
MEX,2023 Central American and Caribbean Games,qual,HB,13.0,4.7,7.35,0.0,12.05,2023,maximiliano galicia
PER,2023 Baku World Cup,qual,HB,43.0,3.7,6.433,0.0,10.133,2023,nicolas garfias
PER,2023 Doha World Cup,qual,HB,32.0,3.2,6.966,0.0,10.166,2023,nicolas garfias
PER,2023 FISU World University Games,qual,HB,27.0,4.8,8.533,0.0,13.333,2023,nicolas andres garfias chan
POL,2023 Senior European Championships,qual,HB,43.0,4.8,8.066,0.0,12.866,2023,kacper garnczarek
POL,2022 Senior European Championships,qual,HB,99.0,4.8,6.366,0.0,11.166,2022,sebastian gawronski
POL,2023 Baku World Cup,qual,HB,37.0,4.4,7.033,0.0,11.433,2023,sebastian gawronski
POL,2023 Cairo World Cup,qual,HB,23.0,4.7,7.666,0.0,12.366,2023,sebastian gawronski
POL,2023 Cottbus World Cup,qual,HB,44.0,4.4,6.333,0.0,10.733,2023,sebastian gawronski
POL,2023 Senior European Championships,qual,HB,76.0,4.7,7.666,0.0,12.366,2023,sebastian gawronski
POL,2023 FISU World University Games,qual,HB,55.0,4.7,7.5,0.0,12.2,2023,sebastian norbert gawronski
BEL,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,131.0,4.7,6.066,0.0,10.766,2022,maxime gentges
BEL,2023 Cairo World Cup,final,HB,2.0,5.5,8.266,0.0,13.766,2023,maxime gentges
BEL,2023 Cairo World Cup,qual,HB,3.0,5.5,8.5,0.0,14.0,2023,maxime gentges
BEL,2023 Cottbus World Cup,final,HB,8.0,4.9,7.366,0.0,12.266,2023,maxime gentges
BEL,2023 Cottbus World Cup,qual,HB,7.0,5.5,7.966,0.0,13.466,2023,maxime gentges
BEL,2023 Senior European Championships,qual,HB,9.0,5.5,8.0,0.0,13.5,2023,maxime gentges
CYP,2022 51st FIG Artistic Gymnastics World Championships,final,HB,6.0,5.9,8.4,0.0,14.3,2022,ilias georgiou
CYP,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,4.0,5.9,8.566,0.0,14.466,2022,ilias georgiou
CYP,2023 Cottbus World Cup,qual,HB,35.0,5.2,6.2,0.0,11.4,2023,ilias georgiou
CYP,2023 Senior European Championships,qual,HB,49.0,5.3,7.533,0.0,12.833,2023,ilias georgiou
CYP,BIRMINGHAM 2022 Commonwealth Games,final,HB,1.0,5.9,8.566,0.0,14.466,2022,ilias georgiou
CYP,BIRMINGHAM 2022 Commonwealth Games,qual,HB,3.0,5.3,8.85,0.0,14.15,2022,ilias georgiou
CYP,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,14.0,6.0,8.1,0.0,14.1,2022,marios georgiou
CYP,2022 Senior European Championships,final,HB,1.0,6.0,8.4,0.0,14.4,2022,marios georgiou
CYP,2022 Senior European Championships,qual,HB,1.0,5.8,8.433,0.0,14.233,2022,marios georgiou
CYP,2023 Cairo World Cup,qual,HB,9.0,5.3,8.0,0.0,13.3,2023,marios georgiou
CYP,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,3.0,5.5,8.05,0.0,13.55,2022,marios georgiou
CYP,BIRMINGHAM 2022 Commonwealth Games,final,HB,3.0,5.8,8.333,0.0,14.133,2022,marios georgiou
CYP,BIRMINGHAM 2022 Commonwealth Games,qual,HB,5.0,5.5,8.4,0.0,13.9,2022,marios georgiou
GBR,2023 British Gymnastics Championships,final,HB,7.0,3.7,7.8,0.0,11.5,2023,samuel ghinn
GBR,2023 British Gymnastics Championships,qual,HB,9.0,4.1,8.5,0.0,12.6,2023,samuel ghinn
ITA,2023 FISU World University Games,qual,HB,19.0,4.9,8.6,0.0,13.5,2023,lay giannini
ITA,2023 FISU World University Games,AAfinal,HB,7.0,4.9,8.7,0.0,13.6,2023,lay giannini
ITA,EnBW DTB Pokal Team Challenge 2023,qual,HB,23.0,5.0,8.1,0.0,13.1,2023,lay giannini
GRE,2022 Senior European Championships,qual,HB,68.0,4.0,8.5,0.0,12.5,2022,stavros gkinis
MEX,2023 Central American and Caribbean Games,qual,HB,10.0,3.9,8.15,0.0,12.05,2023,rodrigo gomez
PER,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,127.0,4.6,6.433,0.0,11.033,2022,edward gonzales
GRE,2023 FISU World University Games,qual,HB,66.0,4.5,7.133,0.0,11.633,2023,alkinoos nikolaos graikos
GRE,2023 Senior European Championships,qual,HB,100.0,4.4,7.466,0.0,11.866,2023,alkinoos nikolaos graikos
NED,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,100.0,5.0,7.133,0.0,12.133,2022,jermain gruenberg
NED,2022 Senior European Championships,qual,HB,23.0,4.6,8.866,0.0,13.466,2022,jermain gruenberg
NED,2023 Senior European Championships,qual,HB,34.0,5.0,8.0,0.0,13.0,2023,jermain gruenberg
NED,2023 Varna World Challenge Cup,final,HB,7.0,5.4,7.366,0.0,12.766,2023,jermain gruenberg
NED,2023 Varna World Challenge Cup,qual,HB,4.0,5.0,8.4,0.0,13.4,2023,jermain gruenberg
ISL,2022 Senior European Championships,qual,HB,63.0,4.3,8.3,0.0,12.6,2022,martin gudmundsson
ISL,2023 Senior European Championships,qual,HB,87.0,4.2,8.0,0.0,12.2,2023,martin gudmundsson
BRA,EnBW DTB Pokal Team Challenge 2023,qual,HB,20.0,5.0,8.25,0.0,13.25,2023,yuri guimarães
USA,2022 Winter Cup,AAfinal,HB,3.0,5.0,8.45,0.0,13.45,2022,raydel gamboa
POL,2022 Baku World Cup,qual,HB,26.0,4.6,6.333,0.0,10.933,2022,kacper garnczarek
POL,2022 Cairo World Cup,qual,HB,21.0,4.9,6.3,0.0,11.2,2022,kacper garnczarek
POL,2022 Cottbus World Cup,qual,HB,21.0,4.6,7.366,0.0,11.966,2022,kacper garnczarek
POL,2022 Cairo World Cup,qual,HB,16.0,4.8,7.166,0.0,11.966,2022,sebastian gawronski
BEL,2022 Doha World Cup,final,HB,7.0,5.0,7.5,0.0,12.5,2022,maxime gentges
BEL,2022 Doha World Cup,qual,HB,5.0,5.0,8.3,0.0,13.3,2022,maxime gentges
CYP,2022 Cairo World Cup,qual,HB,1.0,5.3,8.8,0.0,14.1,2022,ilias georgiou
CYP,2022 Cairo World Cup,final,HB,7.0,5.5,6.866,0.0,12.366,2022,ilias georgiou
CYP,2022 Baku World Cup,final,HB,8.0,5.6,7.4,0.0,13.0,2022,marios georgiou
CYP,2022 Baku World Cup,qual,HB,7.0,5.3,8.5,0.0,13.8,2022,marios georgiou
CYP,2022 Cairo World Cup,qual,HB,9.0,5.3,7.566,0.0,12.866,2022,marios georgiou
USA,2023 Winter Cup,AAfinal,HB,30.0,0.0,0.0,0.0,0.0,2023,spencer goodell
none,2023 Osijek World Challenge Cup,qual,HB,14.0,5.0,7.45,0.0,12.45,2023,jermain grünberg
none,2023 Osijek World Challenge Cup,qual,HB,27.0,3.9,6.25,0.0,10.15,2023,martin gudmundsson
USA,2022 Winter Cup,AAfinal,HB,4.0,4.5,8.9,0.0,13.4,2022,vitaliy guimaraes
USA,2022 Winter Cup,AAfinal,HB,8.0,4.8,8.45,0.0,13.25,2022,ian gunther
USA,2023 Winter Cup,AAfinal,HB,4.0,4.8,8.8,0.0,13.6,2023,ian gunther
NED,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,75.0,5.0,7.7,0.0,12.7,2022,jordi hagenaar
NED,2022 Senior European Championships,qual,HB,19.0,5.2,8.366,0.0,13.566,2022,jordi hagenaar
GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,120.0,5.5,6.133,0.0,11.633,2022,james hall
GBR,2022 British Gymnastics Championships,qual,HB,2.0,5.7,8.1,0.0,13.8,2022,james hall
GBR,2022 Senior European Championships,final,HB,4.0,5.5,8.433,0.0,13.933,2022,james hall
GBR,2022 Senior European Championships,qual,HB,7.0,5.5,8.4,0.0,13.9,2022,james hall
GBR,2022 Senior European Championships,TeamFinal,HB,1.0,5.5,8.566,0.0,14.066,2022,james hall
ENG,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,2.0,5.3,8.3,0.0,13.6,2022,james hall
ENG,BIRMINGHAM 2022 Commonwealth Games,final,HB,5.0,5.6,8.3,0.0,13.9,2022,james hall
ENG,BIRMINGHAM 2022 Commonwealth Games,qual,HB,4.0,5.5,8.5,0.0,14.0,2022,james hall
IRI,2023 Baku World Cup,qual,HB,14.0,5.1,8.2,0.0,13.3,2023,mohammadreza hamidi
AUS,EnBW DTB Pokal Team Challenge 2023,qual,HB,52.0,4.4,7.0,0.0,11.4,2023,james hardy
JPN,EnBW DTB Pokal Team Challenge 2023,qual,HB,8.0,5.8,8.05,0.0,13.85,2023,tsuyoshi hasegawa
JPN,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,2.0,6.0,8.433,0.0,14.433,2022,daiki hashimoto
JPN,2022 51st FIG Artistic Gymnastics World Championships,final,HB,2.0,6.4,8.3,0.0,14.7,2022,daiki hashimoto
JPN,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,1.0,6.7,8.4,0.0,15.1,2022,daiki hashimoto
JPN,2023 FISU World University Games,qual,HB,1.0,6.7,8.566,0.0,15.266,2023,daiki hashimoto
JPN,EnBW DTB Pokal Team Challenge 2023,final,HB,1.0,6.0,8.5,0.0,14.5,2023,daiki hashimoto
JPN,EnBW DTB Pokal Team Challenge 2023,qual,HB,1.0,6.2,8.5,0.0,14.7,2023,daiki hashimoto
NOR,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,15.0,4.8,8.133,0.0,12.933,2022,sofus heggemsnes
NOR,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,51.0,4.8,8.3,0.0,13.1,2022,sofus heggemsnes
NOR,2022 Senior European Championships,qual,HB,16.0,5.2,8.466,0.0,13.666,2022,sofus heggemsnes
NOR,2023 Senior European Championships,AAfinal,HB,22.0,5.0,6.366,0.0,11.366,2023,sofus heggemsnes
NOR,2023 Senior European Championships,final,HB,7.0,5.5,7.433,0.0,12.933,2023,sofus heggemsnes
NOR,2023 Senior European Championships,qual,HB,8.0,5.3,8.2,0.0,13.5,2023,sofus heggemsnes
NOR,2023 Varna World Challenge Cup,final,HB,1.0,5.3,8.533,0.0,13.833,2023,sofus heggemsnes
NOR,2023 Varna World Challenge Cup,qual,HB,3.0,5.3,8.25,0.0,13.55,2023,sofus heggemsnes
AUT,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,89.0,4.6,7.766,0.0,12.366,2022,vinzenz hoeck
AUT,2022 Senior European Championships,qual,HB,35.0,4.5,8.8,0.0,13.3,2022,vinzenz hoeck
GER,2023 Cairo World Cup,final,HB,4.0,5.3,8.233,0.0,13.533,2023,carlo hoerr
GER,2023 Cairo World Cup,qual,HB,7.0,5.3,8.1,0.0,13.4,2023,carlo hoerr
USA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,23.0,5.1,6.4,0.0,11.5,2022,asher hong
USA,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,43.0,5.1,8.1,0.0,13.2,2022,asher hong
USA,EnBW DTB Pokal Team Challenge 2023,qual,HB,54.0,4.9,5.4,0.0,10.3,2023,asher hong
GBR,2022 British Gymnastics Championships,qual,HB,19.0,3.7,8.55,0.0,12.25,2022,george honnor
IRL,2023 Senior European Championships,qual,HB,107.0,3.8,7.733,0.0,11.533,2023,niall hooton
GER,2023 FISU World University Games,qual,HB,33.0,5.1,8.1,0.0,13.2,2023,carlo horr
GE2,EnBW DTB Pokal Team Challenge 2023,qual,HB,35.0,4.9,7.7,0.0,12.6,2023,milan hosseini
SLO,2023 Baku World Cup,qual,HB,29.0,4.2,8.1,0.0,12.3,2023,anze hribar
SLO,2023 Cairo World Cup,qual,HB,27.0,4.2,7.933,0.0,12.133,2023,anze hribar
SLO,2023 Cottbus World Cup,qual,HB,42.0,4.2,6.733,0.0,10.933,2023,anze hribar
SLO,2023 Doha World Cup,qual,HB,20.0,4.2,8.0,0.0,12.2,2023,anze hribar
SLO,2023 Senior European Championships,qual,HB,95.0,4.2,7.766,0.0,11.966,2023,anze hribar
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,133.0,4.2,6.3,0.0,10.5,2022,david huddleston
BUL,2022 Senior European Championships,qual,HB,54.0,4.4,8.433,0.0,12.833,2022,david huddleston
NED,2023 Senior European Championships,qual,HB,60.0,4.6,8.0,0.0,12.6,2023,luuk huernink
TPE,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,34.0,4.9,8.533,0.0,13.433,2022,yuan hsi hung
NED,2022 Baku World Cup,qual,HB,19.0,5.0,7.066,0.0,12.066,2022,jordi hagenaar
NED,2022 Cottbus World Cup,qual,HB,10.0,5.2,7.866,0.0,13.066,2022,jordi hagenaar
USA,2022 Winter Cup,AAfinal,HB,34.0,4.8,6.45,0.0,11.25,2022,kazuki hayashi
USA,2022 Winter Cup,AAfinal,HB,35.0,5.0,5.45,0.0,10.45,2022,asher hong
USA,2023 Winter Cup,AAfinal,HB,3.0,5.5,8.15,0.0,13.65,2023,asher hong
BLR,2022 Cottbus World Cup,qual,HB,20.0,4.2,7.8,0.0,12.0,2022,dzmitry hurynovich
BLR,2022 Doha World Cup,qual,HB,13.0,4.2,7.833,0.0,12.033,2022,dzmitry hurynovich
USA,2022 Winter Cup,AAfinal,HB,19.0,5.1,7.65,0.0,12.75,2022,evan hymanson
USA,2023 Winter Cup,AAfinal,HB,18.0,4.9,7.6,0.0,12.5,2023,evan hymanson
GE2,EnBW DTB Pokal Team Challenge 2023,qual,HB,43.0,5.3,7.0,0.0,12.3,2023,carlo hörr
SWE,2022 Senior European Championships,qual,HB,49.0,4.8,8.166,0.0,12.966,2022,karl idesjoe
SWE,2023 Cottbus World Cup,qual,HB,45.0,4.2,6.066,0.0,10.266,2023,karl idesjoe
SWE,2023 Doha World Cup,qual,HB,12.0,4.6,7.966,0.0,12.566,2023,karl idesjoe
SWE,2023 Senior European Championships,qual,HB,62.0,4.9,7.7,0.0,12.6,2023,karl idesjoe
SWE,2023 Senior European Championships,qual,HB,99.0,3.6,8.266,0.0,11.866,2023,luis il sung melander
GRE,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,70.0,5.0,7.733,0.0,12.733,2022,nikolaos iliopoulos
GRE,2023 Baku World Cup,qual,HB,18.0,5.2,8.0,0.0,13.2,2023,nikolaos iliopoulos
GRE,2023 Cottbus World Cup,qual,HB,17.0,4.7,7.966,0.0,12.666,2023,nikolaos iliopoulos
GRE,2023 Senior European Championships,qual,HB,41.0,5.2,7.7,0.0,12.9,2023,nikolaos iliopoulos
ISR,EnBW DTB Pokal Team Challenge 2023,qual,HB,39.0,4.5,8.0,0.0,12.5,2023,eliran ioscovich
CYP,2023 FISU World University Games,qual,HB,68.0,4.6,6.933,0.0,11.533,2023,michalis isaias
GRE,2022 Baku World Cup,qual,HB,8.0,5.2,8.566,0.0,13.766,2022,nikolaos iliopoulos
GRE,2022 Baku World Cup,final,HB,5.0,5.2,8.4,0.0,13.6,2022,nikolaos iliopoulos
GRE,2022 Cairo World Cup,qual,HB,13.0,4.8,7.733,0.0,12.533,2022,nikolaos iliopoulos
GRE,2022 Cottbus World Cup,final,HB,7.0,4.8,7.966,0.0,12.766,2022,nikolaos iliopoulos
GRE,2022 Cottbus World Cup,qual,HB,6.0,5.2,8.4,0.0,13.6,2022,nikolaos iliopoulos
FIN,2023 FISU World University Games,qual,HB,62.0,4.0,7.866,0.0,11.866,2023,anton jaaskelainen
DEN,2022 Senior European Championships,qual,HB,98.0,4.1,7.066,0.0,11.166,2022,aron jacobsen
CAN,BIRMINGHAM 2022 Commonwealth Games,qual,HB,22.0,4.6,7.85,0.0,12.45,2022,mathys jalbert
GBR,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,12.0,4.8,8.333,0.0,13.133,2022,jake jarman
GBR,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,51.0,4.8,8.3,0.0,13.1,2022,jake jarman
GBR,2022 British Gymnastics Championships,final,HB,6.0,3.8,8.73,0.0,12.533,2022,jake jarman
GBR,2022 British Gymnastics Championships,qual,HB,9.0,3.8,9.25,0.0,13.05,2022,jake jarman
GBR,2022 Senior European Championships,qual,HB,41.0,4.6,8.6,0.0,13.2,2022,jake jarman
GBR,2022 Senior European Championships,TeamFinal,HB,17.0,4.5,8.466,0.0,12.966,2022,jake jarman
GBR,2023 British Gymnastics Championships,final,HB,2.0,4.8,8.7,0.0,13.5,2023,jake jarman
GBR,2023 British Gymnastics Championships,qual,HB,2.0,4.8,8.95,0.0,13.75,2023,jake jarman
GBR,2023 Senior European Championships,AAfinal,HB,11.0,4.8,8.466,0.0,13.266,2023,jake jarman
GBR,2023 Senior European Championships,qual,HB,17.0,4.8,8.433,0.0,13.233,2023,jake jarman
ENG,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,4.0,4.6,8.8,0.0,13.4,2022,jake jarman
ENG,BIRMINGHAM 2022 Commonwealth Games,qual,HB,9.0,4.6,8.8,0.0,13.4,2022,jake jarman
ARG,2023 FISU World University Games,qual,HB,69.0,4.5,6.7,0.0,11.2,2023,julian ezequiel jato
COL,2023 Central American and Caribbean Games,AAfinal,HB,5.0,4.8,8.0,0.0,12.8,2023,dilan jimenez
COL,2023 Central American and Caribbean Games,qual,HB,22.0,4.5,6.85,0.0,11.35,2023,dilan jimenez
ESP,2023 Baku World Cup,qual,HB,46.0,4.0,6.9,3.3,7.6,2023,pau jimenez
ESP,2023 FISU World University Games,qual,HB,49.0,4.4,8.1,0.0,12.5,2023,pau jimenez i fernandez
GEO,2022 Senior European Championships,qual,HB,109.0,3.8,6.3,3.0,7.1,2022,ioane jimsheleishvili
GEO,2023 Baku World Cup,qual,HB,17.0,5.0,8.2,0.0,13.2,2023,ioane jimsheleishvili
GEO,2023 Cottbus World Cup,qual,HB,33.0,4.7,7.066,0.3,11.466,2023,ioane jimsheleishvili
GEO,2023 Doha World Cup,qual,HB,33.0,4.1,5.7,0.0,9.8,2023,ioane jimsheleishvili
GEO,2023 Senior European Championships,qual,HB,116.0,4.0,7.166,0.0,11.166,2023,ioane jimsheleishvili
GBR,2023 British Gymnastics Championships,qual,HB,12.0,3.8,8.75,0.0,12.55,2023,jake johnson
