Name,Country,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Fien ENGHELS,BEL,2022 Senior European Championships,qual,"Munich, Germany",BB,19.0,4.7,8.0,0.0,12.7
Fien ENGHELS,BEL,2022 Senior European Championships,qual,"Munich, Germany",UB,36.0,5.4,7.2,0.0,12.6
Fien ENGHELS,BEL,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,22.0,5.5,7.133,0.0,12.633
Fien ENGHELS,BEL,2023 Senior European Championships,final,"Antalya, Turkey",BB,8.0,5.0,6.733,0.3,11.433
Fien ENGHELS,BEL,2023 Senior European Championships,qual,"Antalya, Turkey",BB,7.0,5.2,7.633,0.0,12.833
Fien ENGHELS,BEL,2023 Senior European Championships,qual,"Antalya, Turkey",UB,10.0,5.8,8.133,0.0,13.933
Fien ENGHELS,BEL,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",BB,27.0,5.1,7.0,0.1,12.0
Fien ENGHELS,BEL,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",UB,3.0,5.5,8.166,0.0,13.666
Fien ENGHELS,BEL,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",UB,4.0,5.4,8.45,0.0,13.85
Antea ERCEGOVIC,CRO,2023 Senior European Championships,qual,"Antalya, Turkey",FX,115.0,3.2,7.366,0.6,9.966
Julie ERICHSEN,NOR,2023 Senior European Championships,qual,"Antalya, Turkey",UB,40.0,5.0,7.566,0.0,12.566
Julie ERICHSEN,NOR,2023 Senior European Championships,qual,"Antalya, Turkey",VT,104.0,3.6,8.266,0.0,11.866
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,16.0,5.0,6.766,0.0,11.766
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",UB,6.0,5.0,7.566,0.0,12.566
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",UB,8.0,5.0,7.7,0.0,12.7
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT,13.0,4.2,8.766,0.0,12.966
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,11.0,4.2,8.633,0.0,12.833
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",VT,13.0,3.4,8.7,0.0,12.1
Julie ERICHSEN,NOR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,11.0,3.4,8.666,0.0,12.066
Alva ERIKSSON,SWE,2022 Senior European Championships,qual,"Munich, Germany",BB,72.0,4.1,7.166,0.0,11.266
Alva ERIKSSON,SWE,2022 Senior European Championships,qual,"Munich, Germany",FX,51.0,4.4,7.7,0.1,12.0
Alva ERIKSSON,SWE,2022 Senior European Championships,qual,"Munich, Germany",UB,52.0,4.4,7.533,0.0,11.933
Alva ERIKSSON,SWE,2022 Senior European Championships,qual,"Munich, Germany",VT,104.0,3.2,8.366,0.0,11.566
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",BB,1.0,5.3,7.7,0.0,13.0
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",BB,8.0,5.3,6.45,0.1,11.65
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",FX,2.0,5.2,7.75,0.1,12.85
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",FX,2.0,5.2,8.2,0.0,13.4
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,2.0,5.2,8.15,0.1,13.25
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",UB,15.0,5.0,6.0,0.0,11.0
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",UB,5.0,5.8,6.3,0.0,12.1
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",UB,1.0,5.8,7.75,0.0,13.55
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",VT,11.0,4.6,8.25,0.3,12.55
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,4.0,4.6,9.05,0.0,13.65
Natalia ESCALERA,MEX,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,4.0,4.4,8.8,0.0,13.2
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",BB,17.0,4.2,6.45,0.0,10.65
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",BB,6.0,4.1,7.1,0.0,11.2
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",BB,10.0,4.5,7.05,0.0,11.55
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",FX,8.0,4.6,7.35,0.0,11.95
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",FX,7.0,4.9,7.1,0.0,12.0
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,6.0,4.9,7.55,0.0,12.45
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",UB,9.0,4.4,7.4,0.0,11.8
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",UB,8.0,4.4,5.35,0.0,9.75
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",UB,8.0,4.3,8.05,0.0,12.35
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",VT,7.0,4.2,8.55,0.0,12.75
Ginna ESCOBAR,COL,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,12.0,4.2,8.6,0.0,12.8
Ginna ESCOBAR,COL,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",VT,14.0,4.2,8.566,0.0,12.766
Ginna ESCOBAR,COL,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",VT,14.0,4.0,7.433,0.1,11.333
Ginna ESCOBAR BETANCUR,COL,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",BB,43.0,4.4,5.933,0.1,10.233
Ginna ESCOBAR BETANCUR,COL,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",UB,20.0,4.4,7.066,0.0,11.466
Manila ESPOSITO,ITA,2023 Senior European Championships,AAfinal,"Antalya, Turkey",BB,5.0,5.7,7.333,0.0,13.033
Manila ESPOSITO,ITA,2023 Senior European Championships,final,"Antalya, Turkey",BB,2.0,5.7,8.0,0.0,13.7
Manila ESPOSITO,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",BB,8.0,5.6,7.233,0.0,12.833
Manila ESPOSITO,ITA,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,22.0,5.4,6.7,0.3,11.8
Manila ESPOSITO,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",FX,26.0,5.4,7.266,0.1,12.566
Manila ESPOSITO,ITA,2023 Senior European Championships,AAfinal,"Antalya, Turkey",UB,17.0,5.5,7.0,0.0,12.5
Manila ESPOSITO,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",UB,52.0,5.6,6.666,0.0,12.266
Manila ESPOSITO,ITA,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,6.0,4.6,9.0,0.0,13.6
Manila ESPOSITO,ITA,2023 Senior European Championships,qual,"Antalya, Turkey",VT,14.0,4.6,8.966,0.0,13.566
Manila ESPOSITO,ITA,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",FX,2.0,5.5,8.166,0.1,13.566
Manila ESPOSITO,ITA,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,4.0,5.5,8.133,0.3,13.333
Manila ESPOSITO,ITA,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,1.0,4.6,8.9,0.0,13.5
Manila ESPOSITO,ITA,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,1.0,4.6,9.033,0.0,13.633
Manila ESPOSITO,ITA,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,1.0,4.2,8.866,0.1,12.966
Manila ESPOSITO,ITA,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,1.0,4.2,8.933,0.0,13.133
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",BB,6.0,4.8,8.233,0.0,13.033
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",BB,8.0,4.7,8.133,0.0,12.833
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",FX,3.0,5.4,8.066,0.0,13.466
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,2.0,5.4,8.1,0.0,13.5
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",UB,12.0,4.6,7.7,0.0,12.3
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,2.0,5.0,9.0,0.0,14.0
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,2.0,5.0,8.9,0.0,13.9
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,2.0,3.8,8.666,0.1,12.366
Ruby EVAN,GBR,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,2.0,3.8,8.7,0.0,12.5
Mia EVANS,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,20.0,4.5,6.9,0.0,11.4
Mia EVANS,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",FX,8.0,4.7,8.05,0.0,12.75
Mia EVANS,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,8.0,4.8,7.9,0.1,12.6
Mia EVANS,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,38.0,4.3,6.25,0.0,10.55
Mia EVANS,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,14.0,4.2,8.8,0.0,13.0
Ruby EVANS,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,11.0,4.8,7.25,0.0,12.05
Ruby EVANS,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",FX,5.0,5.4,7.9,0.3,13.0
Ruby EVANS,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,7.0,5.4,7.45,0.4,12.45
Ruby EVANS,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,10.0,4.6,7.65,0.0,12.25
Amika EVERY,ARU,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",BB,31.0,4.0,5.6,0.0,9.6
Amika EVERY,ARU,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",FX,20.0,1.4,8.3,6.5,3.2
Amika EVERY,ARU,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",FX,32.0,4.4,5.85,0.0,10.25
Amika EVERY,ARU,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",UB,26.0,2.1,7.7,0.0,9.8
Amika EVERY,ARU,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,31.0,3.4,8.4,0.1,11.7
Amika EVERY,ARU,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",VT,9.0,4.2,8.7,0.0,12.9
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",BB,3.0,5.5,7.85,0.0,13.35
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,4.0,5.5,7.1,0.0,12.6
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",FX,6.0,4.5,8.45,0.1,12.85
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,6.0,4.6,8.05,0.0,12.65
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",UB,2.0,5.3,8.15,0.0,13.45
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,3.0,5.3,8.2,0.0,13.5
Georgia Mae FENTON,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,18.0,4.2,8.7,0.0,12.9
Georgia Mae FENTON,GBR,2022 Senior European Championships,final,"Munich, Germany",UB,6.0,5.6,8.033,0.0,13.633
Georgia Mae FENTON,GBR,2022 Senior European Championships,qual,"Munich, Germany",UB,7.0,5.8,8.1,0.0,13.9
Georgia Mae FENTON,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,9.0,5.7,8.0,0.0,13.7
Georgia Mae FENTON,GBR,2022 Senior European Championships,qual,"Munich, Germany",VT,15.0,4.6,8.866,0.0,13.466
Georgia Mae FENTON,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,21.0,5.4,6.15,0.0,11.55
Georgia Mae FENTON,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",FX,3.0,5.1,8.4,0.0,13.5
Georgia Mae FENTON,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,2.0,5.1,8.35,0.0,13.45
Georgia Mae FENTON,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",UB,2.0,6.0,8.3,0.0,14.3
Georgia Mae FENTON,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,6.0,5.8,7.15,0.0,12.95
Georgia Mae FENTON,GBR,2023 Senior European Championships,AAfinal,"Antalya, Turkey",BB,4.0,5.3,7.8,0.0,13.1
Georgia Mae FENTON,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",BB,19.0,5.4,6.933,0.0,12.333
Georgia Mae FENTON,GBR,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,9.0,4.9,7.733,0.0,12.633
Georgia Mae FENTON,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",FX,12.0,5.1,7.8,0.0,12.9
Georgia Mae FENTON,GBR,2023 Senior European Championships,AAfinal,"Antalya, Turkey",UB,3.0,5.8,8.0,0.0,13.8
Georgia Mae FENTON,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",UB,10.0,5.8,8.133,0.0,13.933
Georgia Mae FENTON,GBR,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,24.0,4.6,7.766,0.3,12.066
Georgia Mae FENTON,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",VT,10.0,4.6,9.133,0.0,13.733
Emma FERNANDEZ,ESP,2022 Senior European Championships,qual,"Munich, Germany",BB,50.0,4.8,7.066,0.0,11.866
Emma FERNANDEZ,ESP,2022 Senior European Championships,qual,"Munich, Germany",FX,23.0,4.9,7.8,0.0,12.7
Emma FERNANDEZ,ESP,2022 Senior European Championships,TeamFinal,"Munich, Germany",FX,23.0,4.7,6.766,0.0,11.466
Emma FERNANDEZ,ESP,2022 Senior European Championships,qual,"Munich, Germany",UB,54.0,5.0,6.833,0.0,11.833
Emma FERNANDEZ,ESP,2022 Senior European Championships,qual,"Munich, Germany",VT,46.0,4.2,8.6,0.0,12.8
Evie FLAGE DONOVAN,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,9.0,4.8,7.5,0.0,12.3
Laia FONT,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",BB,43.0,4.8,6.733,0.0,11.533
Laia FONT,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",FX,50.0,5.0,7.333,0.3,12.033
Laia FONT,ESP,2023 Senior European Championships,qual,"Antalya, Turkey",VT,24.0,4.2,9.0,0.0,13.2
Laia FONT,ESP,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",UB,7.0,5.2,5.9,0.0,11.1
Laia FONT,ESP,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",UB,8.0,5.2,7.166,0.0,12.366
Laia FONT,ESP,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",VT,5.0,4.4,8.666,0.0,13.066
Laia FONT,ESP,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT,6.0,4.4,8.6,0.0,13.0
Laia FONT,ESP,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",VT,5.0,3.6,8.933,0.0,12.533
Laia FONT,ESP,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",VT,6.0,3.2,8.6,0.0,11.8
Laia FONT,ESP,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",FX,9.0,5.1,7.7,0.0,12.8
Laia FONT,ESP,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,4.0,4.4,8.733,0.0,13.133
Laia FONT,ESP,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,6.0,4.4,8.566,0.0,12.966
Laia FONT,ESP,FIG Apparatus World Cup 2023,final,"Cottbus, Germany",VT,4.0,3.6,8.9,0.0,12.5
Laia FONT,ESP,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",VT,6.0,3.6,8.866,0.0,12.466
Carla FONT ESTRUCH,ESP,2023 FISU World University Games,qual,"Chengdu, China",BB,35.0,3.9,6.366,0.0,10.266
Carla FONT ESTRUCH,ESP,2023 FISU World University Games,qual,"Chengdu, China",FX,27.0,4.2,7.233,0.0,11.433
Carla FONT ESTRUCH,ESP,2023 FISU World University Games,qual,"Chengdu, China",UB,19.0,4.7,7.166,0.0,11.866
Carla FONT ESTRUCH,ESP,2023 FISU World University Games,qual,"Chengdu, China",VT,26.0,3.6,8.633,0.0,12.23
Kirsty FOWLER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,49.0,4.6,5.3,0.0,9.9
Kirsty FOWLER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,48.0,4.2,6.8,0.3,10.7
Kirsty FOWLER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,51.0,4.1,5.9,0.3,9.7
Kirsty FOWLER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,10.0,4.2,8.9,0.0,13.1
Kirsty FOWLER,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,10.0,3.4,8.55,0.0,11.95
Léa FRANCERIES,FRA,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",BB,3.0,5.4,7.333,0.0,12.733
Léa FRANCERIES,FRA,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",BB,5.0,5.4,7.8,0.0,13.2
Léa FRANCERIES,FRA,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",FX,3.0,5.2,7.8,0.0,13.0
Léa FRANCERIES,FRA,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT,18.0,4.2,8.8,0.0,13.0
Alice FRANCOY,BEL,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",FX,25.0,4.5,6.9,0.3,11.1
Alice FRANCOY,BEL,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,24.0,4.6,6.566,0.0,11.166
Aline FRIESS,FRA,2022 Senior European Championships,qual,"Munich, Germany",BB,38.0,5.1,7.066,0.0,12.166
Aline FRIESS,FRA,2022 Senior European Championships,qual,"Munich, Germany",FX,17.0,4.9,7.9,0.0,12.8
Aline FRIESS,FRA,2022 Senior European Championships,qual,"Munich, Germany",UB,38.0,5.4,7.1,0.0,12.5
Aline FRIESS,FRA,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,13.0,5.5,7.766,0.0,13.266
Aline FRIESS,FRA,2022 Senior European Championships,qual,"Munich, Germany",VT,1.0,5.4,8.933,0.0,14.333
Aline FRIESS,FRA,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT,3.0,5.4,8.833,0.0,14.233
Aline FRIESS,FRA,2022 Senior European Championships,final,"Munich, Germany",VT,3.0,4.4,8.833,0.0,13.233
Aline FRIESS,FRA,2022 Senior European Championships,qual,"Munich, Germany",VT,4.0,4.4,8.5,0.0,12.9
Aline FRIESS,FRA,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",UB,10.0,5.5,6.633,0.0,12.133
Bianca FRYSAK,AUT,2023 FISH World University Games,AAfinal,"Chengdu, China",BB,6.0,4.6,7.8,0.0,12.4
Bianca FRYSAK,AUT,2023 FISH World University Games,AAfinal,"Chengdu, China",FX,13.0,4.5,7.566,0.3,11.766
Bianca FRYSAK,AUT,2023 FISH World University Games,AAfinal,"Chengdu, China",UB,14.0,4.9,6.5,0.0,11.4
Bianca FRYSAK,AUT,2023 FISH World University Games,AAfinal,"Chengdu, China",VT,15.0,4.2,8.433,0.0,12.633
Bianca FRYSAK,AUT,2023 FISU World University Games,final,"Chengdu, China",BB,5.0,4.4,8.0,0.0,12.4
Bianca FRYSAK,AUT,2023 FISU World University Games,qual,"Chengdu, China",BB,10.0,4.4,8.133,0.1,12.433
Bianca FRYSAK,AUT,2023 FISU World University Games,final,"Chengdu, China",FX,5.0,4.4,7.966,0.0,12.36
Bianca FRYSAK,AUT,2023 FISU World University Games,qual,"Chengdu, China",FX,12.0,4.4,7.866,0.0,12.266
Bianca FRYSAK,AUT,2023 FISU World University Games,final,"Chengdu, China",UB,7.0,4.8,7.633,0.0,12.433
Bianca FRYSAK,AUT,2023 FISU World University Games,qual,"Chengdu, China",UB,11.0,5.0,7.466,0.0,12.466
Bianca FRYSAK,AUT,2023 FISU World University Games,qual,"Chengdu, China",VT,22.0,4.2,8.5,0.0,12.7
Bianca FRYSAK,AUT,2023 Senior European Championships,AAfinal,"Antalya, Turkey",BB,22.0,4.6,6.0,0.0,10.6
Bianca FRYSAK,AUT,2023 Senior European Championships,qual,"Antalya, Turkey",BB,33.0,4.6,7.2,0.0,11.8
Bianca FRYSAK,AUT,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,21.0,4.3,7.566,0.0,11.866
Bianca FRYSAK,AUT,2023 Senior European Championships,qual,"Antalya, Turkey",FX,61.0,4.3,7.566,0.0,11.866
Bianca FRYSAK,AUT,2023 Senior European Championships,AAfinal,"Antalya, Turkey",UB,20.0,4.8,7.233,0.0,12.033
Bianca FRYSAK,AUT,2023 Senior European Championships,qual,"Antalya, Turkey",UB,36.0,4.8,7.833,0.0,12.633
Bianca FRYSAK,AUT,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,23.0,4.2,8.433,0.0,12.633
Bianca FRYSAK,AUT,2023 Senior European Championships,qual,"Antalya, Turkey",VT,63.0,4.2,8.566,0.0,12.766
Kokoro FUKASAWA,JPN,2023 FISU World University Games,qual,"Chengdu, China",BB,6.0,5.2,7.7,0.0,12.9
Kokoro FUKASAWA,JPN,2023 FISU World University Games,qual,"Chengdu, China",UB,13.0,5.3,7.066,0.0,12.366
Kokoro FUKASAWA,JPN,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",BB,26.0,5.1,6.366,0.0,11.466
Kokoro FUKASAWA,JPN,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",UB,12.0,5.8,5.7,0.0,11.5
Petra FURAC,CRO,2022 Senior European Championships,qual,"Munich, Germany",BB,85.0,4.3,6.766,0.1,10.966
Petra FURAC,CRO,2022 Senior European Championships,qual,"Munich, Germany",FX,104.0,3.4,7.033,0.0,10.433
Petra FURAC,CRO,2022 Senior European Championships,qual,"Munich, Germany",UB,85.0,4.0,6.666,0.0,10.666
Petra FURAC,CRO,2022 Senior European Championships,qual,"Munich, Germany",VT,82.0,3.6,8.566,0.0,12.166
Lea Franceries,FRA,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",BB,3.0,5.3,7.533,0.0,12.833
Lea Franceries,FRA,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",BB,5.0,5.3,7.7,0.0,13.0
Lea Franceries,FRA,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",VT,7.0,4.2,8.667,0.0,12.867
Lea Franceries,FRA,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",VT,6.0,4.2,9.033,0.0,13.233
Lea Franceries,FRA,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",VT,7.0,3.4,8.467,0.0,11.867
Lea Franceries,FRA,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",VT,6.0,3.4,8.567,0.0,11.967
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",BB,1.0,5.9,7.85,0.0,13.75
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,8.0,5.4,6.9,0.1,12.2
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",FX,2.0,5.3,8.65,0.0,13.95
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,2.0,5.3,8.4,0.0,13.7
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",UB,3.0,5.2,7.9,0.0,13.1
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,5.0,5.2,8.0,0.0,13.2
Jennifer GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,6.0,4.2,9.05,0.0,13.25
Jennifer GADIROVA,GBR,2022 Senior European Championships,qual,"Munich, Germany",BB,16.0,5.5,7.4,0.0,12.9
Jennifer GADIROVA,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",BB,15.0,5.5,7.0,0.0,12.5
Jennifer GADIROVA,GBR,2022 Senior European Championships,final,"Munich, Germany",FX,5.0,5.3,8.166,0.0,13.466
Jennifer GADIROVA,GBR,2022 Senior European Championships,qual,"Munich, Germany",FX,6.0,5.3,8.233,0.0,13.533
Jennifer GADIROVA,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",FX,8.0,5.3,7.933,0.1,13.133
Jennifer GADIROVA,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,12.0,4.5,7.55,0.1,11.95
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",BB,2.0,5.8,7.75,0.0,13.55
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,2.0,6.0,7.3,0.0,13.3
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",FX,1.0,5.8,8.8,0.0,14.6
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,1.0,5.7,8.35,0.0,14.05
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",UB,4.0,5.3,7.6,0.0,12.9
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,4.0,5.3,7.95,0.0,13.25
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",VT,1.0,5.0,9.1,0.0,14.1
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,2.0,5.0,9.05,0.0,14.05
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",VT,1.0,4.8,8.9,0.0,13.7
Jessica GADIROVA,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,2.0,4.8,8.7,0.1,13.6
Jessica GADIROVA,GBR,2022 Senior European Championships,qual,"Munich, Germany",BB,37.0,5.3,6.933,0.0,12.233
Jessica GADIROVA,GBR,2022 Senior European Championships,final,"Munich, Germany",FX,1.0,5.7,8.3,0.0,14.0
