Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
17.0,Annabelle Burrows,AUS,4.6,6.833,0.0,11.433,2023,qual
17.0,Dorina Böczögö,HUN,4.6,5.6,0.1,10.1,2022,qual
32.0,Irene CALLE GIL,ESP,4.1,6.433,0.1,10.433,2023,qual
96.0,Paulina CAMPOS,MEX,4.6,6.466,0.0,11.066,2022,qual
1.0,Paulina CAMPOS,MEX,5.0,7.75,0.1,12.65,2023,final
1.0,Paulina CAMPOS,MEX,5.0,7.4,0.1,12.3,2023,qual
35.0,Sabrina CARDERO,CUB,4.1,3.3,0.0,7.4,2023,qual
11.0,Jade CAREY,USA,5.2,7.433,0.0,12.633,2022,AAfinal
11.0,Jade CAREY,USA,5.4,7.733,0.0,13.133,2022,qual
46.0,Brisa CARRARO,ARG,4.8,7.3,0.0,12.1,2022,qual
24.0,Laura CASABUENA,ESP,5.0,2.6,0.1,7.5,2022,AAfinal
15.0,Laura CASABUENA,ESP,5.7,7.266,0.0,12.966,2022,qual
56.0,Laura CASABUENA,ESP,5.2,6.533,0.0,11.733,2022,qual
20.0,Laura CASABUENA,ESP,5.1,6.833,0.0,11.933,2022,TeamFinal
14.0,Laura CASABUENA,ESP,5.1,7.533,0.1,12.533,2023,qual
15.0,Laura CASABUENA,ESP,5.5,6.8,0.0,12.3,2023,AAfinal
36.0,Laura CASABUENA,ESP,5.5,6.3,0.0,11.8,2023,qual
42.0,Charlotte CASSIDY,GBR,4.5,6.3,0.6,10.2,2022,qual
44.0,Caterina CEREGHETTI,SUI,5.1,6.366,0.0,11.466,2023,qual
11.0,Olivia CHAM,GBR,4.6,7.2,0.0,11.8,2022,qual
132.0,Cheuk Lam CHAN,HKG,4.5,5.533,0.0,10.033,2022,qual
20.0,Cheuk Lam CHAN,HKG,4.6,7.033,0.0,11.633,2023,qual
39.0,Cheuk Lam CHAN,HKG,4.0,6.4,0.0,10.4,2023,qual
12.0,Cheuk Lam CHAN,HKG,4.6,7.766,0.0,12.366,2023,qual
9.0,Cheuk Lam CHAN,HKG,4.6,7.633,0.0,12.233,2023,qual
121.0,Georgia CHARALAMPOUS,CYP,4.4,3.2,0.0,7.6,2023,qual
33.0,Carmina CHAVEZ,ESA,4.2,4.65,0.0,8.85,2023,qual
83.0,Jordan CHILES,USA,5.2,6.166,0.0,11.366,2022,qual
19.0,Dasol CHOI,KOR,4.2,7.466,0.0,11.666,2023,qual
25.0,Oksana CHUSOVITINA,UZB,4.3,7.033,0.0,11.333,2023,qual
133.0,Reece COBB,NZL,5.1,4.933,0.1,9.933,2022,qual
34.0,Lisa CONRADIE,RSA,4.2,6.133,0.0,10.333,2023,qual
59.0,Mafalda COSTA,POR,4.5,7.066,0.0,11.566,2022,qual
28.0,Mafalda COSTA,POR,5.0,6.3,0.0,11.3,2023,qual
66.0,Mafalda COSTA,POR,4.9,6.033,0.0,10.933,2023,qual
17.0,Karen CUBILLOS,COL,4.0,7.05,0.0,11.05,2023,qual
73.0,Bettina Lili CZIFRA,HUN,5.3,5.433,0.1,10.633,2023,qual
1.0,Bettina Lili CZIFRA,HUN,5.4,8.066,0.0,13.46,2023,final
2.0,Bettina Lili CZIFRA,HUN,5.4,7.4,0.0,12.8,2023,qual
13.0,Dulcy Caylor,USA,5.6,6.35,0.0,11.95,2023,AAfinal
16.0,Cheuk Lam Chan,HKG,3.8,6.867,0.0,10.667,2023,qual
12.0,Chan Cheuk Lam Charlie,HKG,3.9,7.433,0.0,11.333,2022,qual
5.0,Lorette Charpy,FRA,5.4,7.6,0.0,13.0,2022,qual
2.0,Lorette Charpy,FRA,5.3,7.666,0.0,12.966,2022,final
30.0,Chloe Cho,USA,4.8,4.6,0.0,9.4,2023,AAfinal
27.0,Norah Christian,USA,5.1,5.3,0.0,10.4,2023,AAfinal
12.0,Reece Cobb,NZL,4.9,6.733,0.1,11.533,2022,qual
12.0,Alice D AMATO,ITA,5.3,7.233,0.0,12.533,2022,AAfinal
45.0,Alice D AMATO,ITA,5.3,6.833,0.0,12.133,2022,qual
6.0,Alice D AMATO,ITA,5.4,7.6,0.0,13.0,2023,AAfinal
5.0,Alice D AMATO,ITA,5.5,7.8,0.0,13.3,2023,final
6.0,Alice D AMATO,ITA,5.3,7.733,0.0,13.033,2023,qual
3.0,Asia D AMATO,ITA,5.4,8.1,0.0,13.5,2022,qual
1.0,Asia D AMATO,ITA,5.6,8.2,0.0,13.8,2022,TeamFinal
1.0,Asia D AMATO,ITA,5.5,7.933,0.0,13.433,2023,qual
16.0,Asia D AMATO,ITA,5.6,6.9,0.0,12.5,2023,qual
20.0,Margaux DANDOIS,BEL,4.6,6.433,0.0,11.033,2023,qual
114.0,Naveen DARIES,RSA,4.8,5.766,0.0,10.566,2022,qual
11.0,Naveen DARIES,RSA,4.7,6.7,0.0,11.4,2022,AAfinal
27.0,Naveen DARIES,RSA,4.8,6.0,0.0,10.8,2022,qual
5.0,Grace DAVIES,GBR,5.1,7.55,0.0,12.65,2023,final
6.0,Grace DAVIES,GBR,5.1,7.55,0.0,12.65,2023,qual
24.0,Mabelle DAWSON,GBR,4.7,6.7,0.0,11.4,2023,qual
26.0,Jessica DAYKIN,GBR,5.3,5.9,0.0,11.2,2022,qual
100.0,Joana DE FREITAS,MON,4.3,5.8,0.1,10.0,2022,qual
44.0,Joana DE FREITAS,MON,3.8,6.2,0.0,10.0,2023,qual
36.0,Joana DE FREITAS,MON,4.4,6.533,0.0,10.933,2023,qual
106.0,Joana DE FREITAS,MON,3.9,5.4,0.0,9.3,2023,qual
13.0,Natalia DELGADO,PUR,4.5,6.9,0.0,11.4,2023,qual
21.0,Lara Albertina DEMARSICO,ARG,4.1,7.533,0.0,11.633,2023,qual
14.0,Laurie DENOMMEE,CAN,5.0,5.9,0.0,10.9,2022,AAfinal
18.0,Laurie DENOMMEE,CAN,5.2,6.5,0.0,11.7,2022,qual
20.0,Ana DEREK,CRO,5.4,7.266,0.0,12.666,2022,qual
29.0,Nina DERWAEL,BEL,5.4,7.166,0.0,12.566,2022,qual
6.0,Coline DEVILLARD,FRA,4.8,7.8,0.0,12.6,2023,final
8.0,Coline DEVILLARD,FRA,5.0,7.9,0.0,12.9,2023,qual
18.0,Coline DEVILLARD,FRA,5.1,7.233,0.0,12.333,2023,qual
14.0,Karelys DIAZ,PUR,4.4,6.5,0.0,10.9,2023,AAfinal
21.0,Karelys DIAZ,PUR,4.5,6.1,0.0,10.6,2023,qual
131.0,Nicole DIAZ,PUR,4.9,5.266,0.1,10.066,2022,qual
18.0,Stella DIAZ,PUR,4.4,6.1,0.0,10.5,2023,AAfinal
4.0,Stella DIAZ,PUR,4.4,7.0,0.0,11.4,2023,final
6.0,Stella DIAZ,PUR,4.4,7.45,0.0,11.85,2023,qual
115.0,Evangelina DIMITRIOU,CYP,4.6,4.166,0.0,8.766,2023,qual
12.0,Tara DONNELLY,GBR,4.5,7.25,0.0,11.75,2022,qual
8.0,Tara DONNELLY,IOM,4.5,7.35,0.0,11.85,2022,AAfinal
31.0,Tara DONNELLY,IOM,4.5,5.6,0.0,10.1,2022,qual
92.0,Geffen DOR,ISR,4.4,6.033,0.0,10.433,2022,qual
21.0,Geffen DOR,ISR,4.6,6.266,0.0,10.866,2023,qual
22.0,Jessica DOWLING,CAN,4.5,6.433,0.1,10.833,2023,qual
14.0,Jessica DOWLING,CAN,4.5,7.566,0.0,12.066,2023,qual
9.0,Rebecca DOWNIE,GBR,5.0,6.95,0.0,11.95,2022,qual
3.0,Rebecca DOWNIE,GBR,5.1,7.85,0.0,12.95,2023,qual
22.0,Eliska DRNCOVA,CZE,5.0,7.066,0.0,12.066,2023,qual
83.0,Eliska DRNCOVA,CZE,4.9,5.4,0.1,10.2,2023,qual
19.0,Lauren DUCAS,CUB,4.5,5.75,0.0,10.25,2023,AAfinal
20.0,Lauren DUCAS,CUB,4.5,6.4,0.0,10.9,2023,qual
34.0,Jamilia DUFFUS,JAM,3.9,3.55,0.0,7.45,2023,qual
33.0,Courtney DUNBAR,GBR,3.9,6.4,0.0,10.3,2023,qual
80.0,Antonia DUTA,ROU,4.5,6.666,0.1,11.066,2022,qual
9.0,Margaux Dandois,BEL,5.4,6.567,0.0,11.967,2023,qual
5.0,Naveen Daries,RSA,4.5,7.0,0.0,11.5,2022,final
8.0,Naveen Daries,,4.5,7.2,0.0,11.7,2022,qual
11.0,Laurie Denommée,CAN,4.9,6.566,0.0,11.466,2022,qual
22.0,Amelia Disidore,USA,4.7,6.45,0.0,11.15,2022,AAfinal
16.0,Amelia Disidore,USA,5.7,6.2,0.1,11.8,2023,AAfinal
9.0,Sara van Disseldorp,NED,4.7,7.866,0.0,12.566,2022,qual
10.0,Geffen Dor,ISR,4.4,7.433,0.0,11.833,2023,qual
18.0,Skylar Draser,USA,5.3,6.85,0.0,12.15,2022,AAfinal
29.0,Amari Drayton,USA,5.2,4.45,0.0,9.65,2023,AAfinal
34.0,Antonia Duta,ROU,5.0,4.1,0.0,9.1,2022,qual
24.0,Amanda EDWARDS,AUS,4.4,7.133,0.0,11.533,2023,qual
7.0,Amanda EDWARDS,AUS,4.5,7.8,0.0,12.3,2023,AAfinal
97.0,Martina EISENEGGER,SUI,4.6,5.2,0.1,9.7,2023,qual
113.0,Darja ELBE,LAT,3.7,5.3,0.0,9.0,2022,qual
17.0,None ELPITIYA BADALG D,SRI,4.7,5.85,0.0,10.55,2022,AAfinal
33.0,Milka Gehani ELPITIYA BADALGE DONA,SRI,5.0,4.75,0.0,9.75,2022,qual
19.0,Fien ENGHELS,BEL,4.7,8.0,0.0,12.7,2022,qual
8.0,Fien ENGHELS,BEL,5.0,6.733,0.3,11.433,2023,final
7.0,Fien ENGHELS,BEL,5.2,7.633,0.0,12.833,2023,qual
27.0,Fien ENGHELS,BEL,5.1,7.0,0.1,12.0,2023,qual
119.0,Dohyun EOM,KOR,5.4,5.1,0.0,10.5,2022,qual
124.0,Alva ERIKSSON,SWE,4.6,5.7,0.0,10.3,2022,qual
72.0,Alva ERIKSSON,SWE,4.1,7.166,0.0,11.266,2022,qual
71.0,Natalia ESCALERA,MEX,5.2,6.4,0.0,11.6,2022,qual
1.0,Natalia ESCALERA,MEX,5.3,7.7,0.0,13.0,2023,AAfinal
8.0,Natalia ESCALERA,MEX,5.3,6.45,0.1,11.65,2023,qual
17.0,Ginna ESCOBAR,COL,4.2,6.45,0.0,10.65,2023,AAfinal
6.0,Ginna ESCOBAR,COL,4.1,7.1,0.0,11.2,2023,final
10.0,Ginna ESCOBAR,COL,4.5,7.05,0.0,11.55,2023,qual
43.0,Ginna ESCOBAR BETANCUR,COL,4.4,5.933,0.1,10.233,2023,qual
107.0,Manila ESPOSITO,ITA,4.7,6.1,0.0,10.8,2022,qual
5.0,Manila ESPOSITO,ITA,5.7,7.333,0.0,13.033,2023,AAfinal
2.0,Manila ESPOSITO,ITA,5.7,8.0,0.0,13.7,2023,final
8.0,Manila ESPOSITO,ITA,5.6,7.233,0.0,12.833,2023,qual
6.0,Ruby EVAN,GBR,4.8,8.233,0.0,13.033,2023,final
8.0,Ruby EVAN,GBR,4.7,8.133,0.0,12.833,2023,qual
20.0,Mia EVANS,GBR,4.5,6.9,0.0,11.4,2022,qual
28.0,Mia EVANS,WAL,4.7,5.95,0.1,10.55,2022,qual
11.0,Ruby EVANS,GBR,4.8,7.25,0.0,12.05,2023,qual
31.0,Amika EVERY,ARU,4.0,5.6,0.0,9.6,2023,qual
5.0,Jordis Eichman,USA,5.4,7.55,0.0,12.95,2023,AAfinal
47.0,Georgia Mae FENTON,GBR,5.2,6.9,0.0,12.1,2022,qual
3.0,Georgia Mae FENTON,GBR,5.5,7.85,0.0,13.35,2022,final
4.0,Georgia Mae FENTON,GBR,5.5,7.1,0.0,12.6,2022,qual
21.0,Georgia Mae FENTON,GBR,5.4,6.15,0.0,11.55,2023,qual
4.0,Georgia Mae FENTON,GBR,5.3,7.8,0.0,13.1,2023,AAfinal
19.0,Georgia Mae FENTON,GBR,5.4,6.933,0.0,12.333,2023,qual
5.0,Georgia Mae FENTON,ENG,5.3,7.433,0.0,12.733,2022,final
3.0,Georgia Mae FENTON,ENG,5.3,8.0,0.0,13.3,2022,qual
99.0,Emma FERNANDEZ,ESP,5.1,6.033,0.1,11.033,2022,qual
50.0,Emma FERNANDEZ,ESP,4.8,7.066,0.0,11.866,2022,qual
43.0,Laia FONT,ESP,4.8,6.733,0.0,11.533,2023,qual
35.0,Carla FONT ESTRUCH,ESP,3.9,6.366,0.0,10.266,2023,qual
49.0,Kirsty FOWLER,GBR,4.6,5.3,0.0,9.9,2022,qual
19.0,Claudia FRAGAPANE,ENG,4.6,7.05,0.0,11.65,2022,qual
3.0,Léa FRANCERIES,FRA,5.4,7.333,0.0,12.733,2023,final
5.0,Léa FRANCERIES,FRA,5.4,7.8,0.0,13.2,2023,qual
21.0,Aline FRIESS,FRA,5.1,6.366,0.0,11.466,2022,AAfinal
43.0,Aline FRIESS,FRA,5.1,7.166,0.0,12.266,2022,qual
38.0,Aline FRIESS,FRA,5.1,7.066,0.0,12.166,2022,qual
5.0,Bianca FRYSAK,AUT,4.4,8.0,0.0,12.4,2023,final
10.0,Bianca FRYSAK,AUT,4.4,8.133,0.1,12.433,2023,qual
6.0,Bianca FRYSAK,AUT,4.6,7.8,0.0,12.4,2023,AAfinal
22.0,Bianca FRYSAK,AUT,4.6,6.0,0.0,10.6,2023,AAfinal
33.0,Bianca FRYSAK,AUT,4.6,7.2,0.0,11.8,2023,qual
26.0,Kokoro FUKASAWA,JPN,5.1,6.366,0.0,11.466,2023,qual
6.0,Kokoro FUKASAWA,JPN,5.2,7.7,0.0,12.9,2023,qual
129.0,Petra FURAC,CRO,3.8,6.4,0.1,10.1,2022,qual
85.0,Petra FURAC,CRO,4.3,6.766,0.1,10.966,2022,qual
13.0,Addison Fatta,USA,4.9,7.65,0.0,12.55,2022,AAfinal
24.0,Addison Fatta,USA,4.9,6.0,0.1,10.8,2023,AAfinal
3.0,Lea Franceries,FRA,5.3,7.533,0.0,12.833,2023,final
5.0,Lea Franceries,FRA,5.3,7.7,0.0,13.0,2023,qual
2.0,eMjae Frazier,USA,5.5,8.2,0.0,13.7,2022,AAfinal
1.0,Jennifer GADIROVA,GBR,5.9,7.85,0.0,13.75,2022,final
8.0,Jennifer GADIROVA,GBR,5.4,6.9,0.1,12.2,2022,qual
16.0,Jennifer GADIROVA,GBR,5.5,7.4,0.0,12.9,2022,qual
15.0,Jennifer GADIROVA,GBR,5.5,7.0,0.0,12.5,2022,TeamFinal
12.0,Jennifer GADIROVA,GBR,4.5,7.55,0.1,11.95,2023,qual
2.0,Jessica GADIROVA,GBR,5.7,8.033,0.0,13.733,2022,AAfinal
18.0,Jessica GADIROVA,GBR,5.4,7.533,0.0,12.933,2022,qual
2.0,Jessica GADIROVA,GBR,5.8,7.75,0.0,13.55,2022,final
2.0,Jessica GADIROVA,GBR,6.0,7.3,0.0,13.3,2022,qual
37.0,Jessica GADIROVA,GBR,5.3,6.933,0.0,12.233,2022,qual
2.0,Jessica GADIROVA,GBR,5.0,8.65,0.0,13.65,2023,final
4.0,Jessica GADIROVA,GBR,5.0,7.8,0.0,12.8,2023,qual
2.0,Jessica GADIROVA,GBR,5.7,7.833,0.0,13.533,2023,AAfinal
7.0,Jessica GADIROVA,GBR,5.4,6.766,0.0,12.166,2023,final
1.0,Jessica GADIROVA,GBR,5.8,7.8,0.0,13.6,2023,qual
135.0,Samira GAHRAMANOVA,AZE,4.2,5.6,0.0,9.8,2022,qual
111.0,Samira GAHRAMANOVA,AZE,4.4,4.7,0.0,9.1,2022,qual
32.0,Samira GAHRAMANOVA,AZE,4.4,6.7,0.0,11.1,2023,qual
26.0,Samira GAHRAMANOVA,AZE,4.5,5.833,0.0,10.333,2023,qual
32.0,Samira GAHRAMANOVA,AZE,4.7,6.466,0.0,11.166,2023,qual
32.0,Samira GAHRAMANOVA,AZE,4.3,6.6,0.0,10.9,2023,qual
112.0,Samira GAHRAMANOVA,AZE,4.4,4.633,0.0,9.033,2023,qual
22.0,Samira GAHRAMANOVA,AZE,4.5,6.2,0.0,10.7,2023,qual
38.0,Kaushini GAMAGE,SRI,2.7,5.3,0.0,8.0,2022,qual
44.0,Ellie GARGETT,GBR,3.3,6.85,0.0,10.15,2022,qual
89.0,Anna GEMZA,POL,4.1,5.9,0.0,10.0,2023,qual
83.0,Valentina GEORGIEVA,BUL,5.1,5.933,0.0,11.033,2022,qual
37.0,Elisabeth GEURTS,NED,4.7,6.55,0.0,11.25,2023,qual
10.0,Amalia GHIGOARTA,ROU,5.4,7.5,0.0,12.9,2023,AAfinal
6.0,Amalia GHIGOARTA,ROU,5.0,7.9,0.0,12.9,2023,final
5.0,Amalia GHIGOARTA,ROU,5.3,7.833,0.0,13.133,2023,qual
71.0,Chiara GIUBELLINI,SUI,5.2,6.1,0.0,11.3,2022,qual
25.0,Chiara GIUBELLINI,SUI,4.8,5.566,0.1,10.266,2023,qual
99.0,Ani GOBADZE,GEO,4.3,5.833,0.1,10.033,2022,qual
37.0,Ani GOBADZE,GEO,4.2,6.466,0.1,10.566,2023,qual
116.0,Ani GOBADZE,GEO,4.8,4.0,0.1,8.7,2023,qual
14.0,Georgia GODWIN,AUS,5.4,7.0,0.0,12.4,2022,AAfinal
14.0,Georgia GODWIN,AUS,5.6,7.4,0.0,13.0,2022,qual
1.0,Georgia GODWIN,AUS,6.1,7.65,0.0,13.75,2022,AAfinal
2.0,Georgia GODWIN,AUS,5.8,7.633,0.0,13.433,2022,final
1.0,Georgia GODWIN,AUS,5.8,7.8,0.0,13.6,2022,qual
39.0,Eilidh GORRELL,GBR,4.3,6.1,0.0,10.4,2022,qual
28.0,Eilidh GORRELL,GBR,4.4,6.8,0.0,11.2,2023,qual
23.0,Eilidh GORRELL,SCO,4.2,7.15,0.0,11.35,2022,qual
5.0,Alexa GRANDE,ESA,4.4,7.35,0.0,11.75,2023,AAfinal
5.0,Alexa GRANDE,ESA,4.4,6.85,0.0,11.25,2023,final
3.0,Alexa GRANDE,ESA,4.4,7.6,0.0,12.0,2023,qual
15.0,Shanna Kae GRANT,GBR,4.0,7.55,0.0,11.55,2022,qual
20.0,Shanna Kae GRANT,GBR,4.6,7.0,0.0,11.6,2023,qual
13.0,Elina GRAVIN,SWE,4.7,7.733,0.1,12.333,2023,qual
102.0,Magdalena GRYGIEL,POL,4.1,5.3,0.0,9.4,2023,qual
113.0,Hildur GUDMUNDSDOTTIR,ISL,4.4,4.6,0.1,8.9,2023,qual
128.0,Hildur Maja GUDMUNDSDOTTIR,ISL,4.1,6.033,0.0,10.133,2022,qual
75.0,Hildur Maja GUDMUNDSDOTTIR,ISL,4.1,7.166,0.1,11.166,2022,qual
32.0,Samira Gahramanova,AZE,4.6,5.5,0.0,10.1,2022,qual
21.0,Samira Gahramanova,AZE,4.7,5.0,0.0,9.7,2022,qual
17.0,Samira Gahramanova,AZE,4.6,6.5,0.0,11.1,2022,qual
19.0,Samira Gahramanova,AZE,4.4,5.833,0.0,10.233,2023,qual
25.0,Bidisha Gayen,IND,3.8,4.6,0.1,8.3,2022,qual
28.0,Valentina Georgieva,BUL,5.1,5.466,0.0,10.566,2022,qual
12.0,Karis German,USA,5.2,7.45,0.0,12.65,2022,AAfinal
31.0,Ani Gobadze,GEO,4.2,5.933,0.0,10.133,2022,qual
1.0,Georgia Godwin,AUS,5.9,8.0,0.0,13.9,2023,final
6.0,Georgia Godwin,AUS,5.9,6.7,0.0,12.6,2023,qual
4.0,Georgia Godwin,AUS,5.8,6.833,0.0,12.633,2023,final
2.0,Georgia Godwin,AUS,6.0,7.733,0.0,13.733,2023,qual
116.0,Lilli Leanne HABISREUTINGER,SUI,4.7,3.966,0.0,8.666,2022,qual
17.0,Maddison HAJJAR,CAN,4.5,7.166,0.0,11.666,2023,qual
15.0,Maddison HAJJAR,CAN,4.8,7.75,0.0,12.55,2023,qual
13.0,Sabina HALOVA,CZE,4.0,7.566,0.0,11.566,2023,qual
35.0,Sihem HAMIDI,ALG,3.7,5.833,0.0,9.533,2023,qual
67.0,Gudrun HARDARDOTTIR,ISL,4.4,6.933,0.0,11.333,2022,qual
38.0,Ameera HARIADI,INA,4.4,5.966,0.0,10.366,2023,qual
19.0,Ameera HARIADI,INA,4.3,6.733,0.0,11.033,2023,qual
9.0,Daria Angelina HARTMANN,SUI,4.6,7.633,0.0,12.233,2023,qual
37.0,Charlotte HASLER,GBR,4.2,5.95,0.0,10.15,2023,qual
5.0,Chiaki HATAKEDA,JPN,5.3,7.633,0.0,12.933,2023,final
4.0,Chiaki HATAKEDA,JPN,5.3,7.666,0.0,12.966,2023,qual
13.0,Chiaki HATAKEDA,JPN,5.2,7.1,0.0,12.3,2023,qual
74.0,Ada HAUTALA,FIN,5.0,6.566,0.0,11.566,2022,qual
102.0,Ada HAUTALA,FIN,4.8,4.9,0.0,9.7,2022,qual
33.0,Ada HAUTALA,FIN,4.9,6.2,0.0,11.1,2023,qual
87.0,Ada HAUTALA,FIN,4.9,5.233,0.0,10.133,2023,qual
17.0,Carolann HEDUIT,FRA,5.3,6.633,0.0,11.933,2022,AAfinal
51.0,Carolann HEDUIT,FRA,5.6,6.433,0.0,12.033,2022,qual
3.0,Carolann HEDUIT,FRA,5.6,7.8,0.0,13.4,2022,final
5.0,Carolann HEDUIT,FRA,5.5,7.9,0.0,13.4,2022,qual
24.0,Carolann HEDUIT,FRA,5.1,6.3,0.1,11.3,2022,TeamFinal
93.0,Jane HEFFERNAN,IRL,4.4,5.433,0.0,9.833,2023,qual
7.0,Tommera HENDRICKS,GBR,4.4,7.4,0.0,11.8,2022,final
6.0,Tommera HENDRICKS,GBR,4.4,8.05,0.0,12.45,2022,qual
32.0,Tommera HENDRICKS,GBR,4.6,6.0,0.0,10.6,2023,qual
17.0,Hillary HERON,PAN,5.0,6.133,0.0,11.133,2023,qual
9.0,Hillary HERON SOTO,PAN,4.5,6.85,0.0,11.35,2023,AAfinal
23.0,Hillary HERON SOTO,PAN,4.5,6.0,0.0,10.5,2023,qual
37.0,Lana HERRERA,PAN,4.0,4.7,0.0,8.7,2023,qual
27.0,Lana HERRERA RODRIGUEZ,PAN,4.6,5.5,0.0,10.1,2023,qual
79.0,Blathnaid HIGGINS,IRL,4.7,6.4,0.0,11.1,2022,qual
39.0,Halle HILTON,IRL,5.2,7.166,0.0,12.366,2022,qual
29.0,Halle HILTON,GBR,4.9,6.0,0.0,10.9,2022,qual
42.0,Halle HILTON,IRL,4.8,7.233,0.0,12.033,2022,qual
15.0,Halle HILTON,IRL,4.9,7.3,0.0,12.2,2023,qual
9.0,Halle HILTON,IRL,4.9,7.833,0.0,12.733,2023,qual
55.0,Halle HILTON,IRL,4.9,6.3,0.0,11.2,2023,qual
95.0,Aneta HOLASOVA,CZE,5.3,5.8,0.0,11.1,2022,qual
87.0,Aneta HOLASOVA,CZE,5.1,5.833,0.1,10.833,2022,qual
61.0,Lucija HRIBAR,SLO,4.7,7.066,0.0,11.766,2022,qual
29.0,Lucija HRIBAR,SLO,4.7,7.666,0.0,12.366,2022,qual
24.0,Lucija HRIBAR,SLO,4.7,6.8,0.0,11.5,2023,qual
14.0,Lucija HRIBAR,SLO,4.7,6.866,0.0,11.566,2023,qual
19.0,Lucija HRIBAR,SLO,4.7,7.533,0.0,12.233,2023,qual
32.0,Lucija HRIBAR,SLO,4.4,7.4,0.0,11.8,2023,qual
76.0,Yi Qin HUANG,TPE,4.4,7.133,0.0,11.533,2022,qual
58.0,Yelyzaveta HUBAREVA,UKR,4.9,6.733,0.0,11.633,2022,qual
6.0,Yelyzaveta HUBAREVA,UKR,5.1,7.5,0.0,12.6,2023,final
6.0,Yelyzaveta HUBAREVA,UKR,5.1,7.733,0.0,12.833,2023,qual
15.0,Yelyzaveta HUBAREVA,UKR,5.1,6.3,0.0,11.4,2023,qual
29.0,Yelyzaveta HUBAREVA,UKR,4.9,6.4,0.0,11.3,2023,qual
19.0,Yelyzaveta HUBAREVA,UKR,4.9,7.033,0.0,11.933,2023,qual
74.0,Yelyzaveta HUBAREVA,UKR,4.9,5.633,0.0,10.533,2023,qual
27.0,Selma Halvorsen,,4.2,5.8,0.1,9.9,2023,qual
4.0,Carolann Heduit,FRA,5.5,6.933,0.1,12.333,2022,final
3.0,Carolann Heduit,FRA,5.5,7.833,0.0,13.333,2022,qual
20.0,Lucija Hribar,SLO,4.7,6.866,0.0,11.566,2022,qual
3.0,Lucija Hribar,SLO,4.7,7.7,0.0,12.4,2022,qual
8.0,Lucija Hribar,SLO,4.7,6.333,0.0,11.033,2022,final
11.0,Lucija Hribar,SLO,4.4,7.233,0.0,11.633,2022,qual
6.0,Lucija Hribar,SLO,4.7,7.1,0.0,11.8,2022,final
5.0,Lucija Hribar,SLO,4.2,7.333,0.0,11.533,2022,qual
6.0,Elisa Hämmerle,AUT,4.7,7.933,0.0,12.633,2023,final
8.0,Elisa Hämmerle,AUT,4.7,7.766,0.1,12.366,2023,qual
134.0,Rifda IRFANALUTHFI,INA,4.4,5.433,0.0,9.833,2022,qual
16.0,Rifda IRFANALUTHFI,INA,4.7,7.433,0.0,12.133,2023,qual
12.0,Rifda IRFANALUTHFI,INA,4.8,6.9,0.0,11.7,2023,qual
4.0,Zeina Ibrahim,EGY,5.0,7.3,0.0,12.3,2022,qual
7.0,Zeina Ibrahim,EGY,5.0,6.266,0.0,11.266,2022,final
107.0,Sara JACOBSEN,DEN,3.6,5.666,0.0,9.266,2023,qual
84.0,Natalie JENSEN,DEN,4.8,5.366,0.0,10.166,2023,qual
33.0,Melanie JESUS SANTOS,FRA,5.5,7.033,0.0,12.533,2022,qual
5.0,Shilese JONES,USA,5.2,7.9,0.0,13.1,2022,AAfinal
10.0,Shilese JONES,USA,5.2,8.0,0.0,13.2,2022,qual
37.0,Gulnaz JUMABEKOVA,UZB,4.9,5.2,0.0,10.1,2023,qual
28.0,Gulnaz JUMABEKOVA,UZB,4.8,4.366,0.0,9.166,2023,qual
45.0,Katrina JUREVICA,LAT,4.6,5.233,0.0,9.833,2023,qual
31.0,Katrina JUREVICA,LAT,4.6,6.566,0.0,11.166,2023,qual
80.0,Katrina JUREVICA,LAT,4.6,5.666,0.0,10.266,2023,qual
7.0,Katelyn Jong,USA,5.2,7.85,0.0,13.05,2022,AAfinal
26.0,Katelyn Jong,USA,5.4,5.1,0.0,10.5,2023,AAfinal
14.0,Gulnaz Jumabekova,UZB,4.5,5.366,0.1,9.766,2022,qual
10.0,Levi Jung-Ruivivar,USA,5.1,7.6,0.0,12.7,2022,AAfinal
23.0,Levi Jung-Ruivivar,USA,4.7,6.25,0.1,10.85,2023,AAfinal
54.0,Julia KACZMAREK,GBR,4.3,5.4,0.0,9.7,2022,qual
81.0,Radoslava KALAMAROVA,SVK,4.5,6.566,0.0,11.066,2022,qual
37.0,Amaya KALUKOTTAGE,SRI,2.3,6.25,0.0,8.55,2022,qual
42.0,Amaya Sithumini KALUKOTTAGE,SRI,2.8,7.1,0.0,9.9,2023,qual
40.0,Annais Ornella KAMANGA,GBR,4.4,5.4,0.0,9.8,2023,qual
48.0,Mari KANTER,NOR,4.6,7.466,0.0,12.066,2022,qual
18.0,Mari KANTER,NOR,4.7,7.366,0.0,12.066,2023,qual
94.0,Mari KANTER,NOR,4.7,5.133,0.0,9.833,2023,qual
60.0,Yuliia KASIANENKO,UKR,5.5,6.333,0.0,11.833,2022,qual
31.0,Yuliia KASIANENKO,UKR,5.5,6.866,0.0,12.366,2022,qual
40.0,Elvira KATSALI,GRE,4.7,7.633,0.0,12.333,2022,qual
93.0,Elvira KATSALI,GRE,4.7,5.7,0.0,10.4,2022,qual
