Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round
12.0,Cheuk Lam CHAN,HKG,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
115.0,Georgia CHARALAMPOUS,CYP,3.8,7.6,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2023,qual
27.0,Carmina CHAVEZ,ESA,3.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2023,qual
3.0,Jordan CHILES,USA,5.0,9.466,0.0,0.0,0.0,0.0,0.0,0.0,14.466,2022,qual
2.0,Jordan CHILES,USA,4.8,9.4,0.0,0.0,0.0,0.0,0.0,0.0,14.2,2022,final
2.0,Jordan CHILES,USA,4.8,9.366,0.0,0.0,0.0,0.0,0.0,0.0,14.166,2022,qual
32.0,Dasol CHOI,KOR,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
8.0,Oksana CHUSOVITINA,UZB,3.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2023,final
5.0,Oksana CHUSOVITINA,UZB,4.0,8.833,0.0,0.0,0.0,0.0,0.0,0.0,12.833,2023,qual
8.0,Oksana CHUSOVITINA,UZB,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2023,final
5.0,Oksana CHUSOVITINA,UZB,4.4,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2023,qual
3.0,Oksana CHUSOVITINA,UZB,4.4,8.566,0.1,0.0,0.0,0.0,0.0,0.0,12.866,2023,final
3.0,Oksana CHUSOVITINA,UZB,4.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,qual
3.0,Oksana CHUSOVITINA,UZB,4.4,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2023,final
3.0,Oksana CHUSOVITINA,UZB,4.4,8.633,0.0,0.0,0.0,0.0,0.0,0.0,13.033,2023,qual
2.0,Oksana CHUSOVITINA,UZB,5.0,8.733,0.1,0.0,0.0,0.0,0.0,0.0,13.633,2023,final
2.0,Oksana CHUSOVITINA,UZB,4.0,8.833,0.0,0.0,0.0,0.0,0.0,0.0,12.833,2023,qual
2.0,Oksana CHUSOVITINA,UZB,4.4,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.233,2023,final
2.0,Oksana CHUSOVITINA,UZB,4.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2023,qual
3.0,Oksana CHUSOVITINA,UZB,4.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,final
4.0,Oksana CHUSOVITINA,UZB,4.0,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2023,qual
3.0,Oksana CHUSOVITINA,UZB,4.4,8.733,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2023,final
4.0,Oksana CHUSOVITINA,UZB,4.4,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2023,qual
10.0,Lou Anne CITHERLET,SUI,3.8,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.433,2023,qual
10.0,Lou Anne CITHERLET,SUI,3.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2023,qual
53.0,Jerusha CLARKE,GBR,3.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2022,qual
124.0,Reece COBB,NZL,3.6,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.066,2022,qual
39.0,Lisa CONRADIE,RSA,3.4,8.366,0.0,0.0,0.0,0.0,0.0,0.0,11.76,2023,qual
30.0,Lilia COSMAN,ROU,4.6,8.666,0.1,0.0,0.0,0.0,0.0,0.0,13.166,2023,qual
110.0,Mafalda COSTA,POR,3.2,8.366,0.1,0.0,0.0,0.0,0.0,0.0,11.466,2022,qual
17.0,Mafalda COSTA,POR,3.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,11.733,2023,qual
17.0,Mafalda COSTA,POR,3.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.7,2023,qual
79.0,Mafalda COSTA,POR,3.6,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.333,2023,qual
78.0,Bettina Lili CZIFRA,HUN,4.2,8.533,0.3,0.0,0.0,0.0,0.0,0.0,12.433,2023,qual
13.0,Cheuk Lam Chan,HKG,3.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
13.0,Cheuk Lam Chan,HKG,3.4,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.133,2023,qual
12.0,Chan Cheuk Lam Charlie,HKG,3.6,8.333,0.0,0.0,0.0,0.0,0.0,0.0,11.933,2022,qual
12.0,Chan Cheuk Lam Charlie,HKG,3.4,8.433,0.0,0.0,0.0,0.0,0.0,0.0,11.833,2022,qual
1.0,Oksana Chusovitina,UZB,5.0,8.333,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2022,final
3.0,Oksana Chusovitina,UZB,5.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,2022,qual
1.0,Oksana Chusovitina,UZB,4.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,final
3.0,Oksana Chusovitina,UZB,4.4,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2022,qual
2.0,Oksana Chusovitina,UZB,4.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2022,final
1.0,Oksana Chusovitina,UZB,4.0,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.666,2022,qual
1.0,Oksana Chusovitina,UZB,4.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
2.0,Oksana Chusovitina,UZB,4.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,final
3.0,Oksana Chusovitina,UZB,4.0,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.666,2022,qual
1.0,Oksana Chusovitina,UZB,5.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2022,final
3.0,Oksana Chusovitina,UZB,4.4,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.233,2022,qual
1.0,Oksana Chusovitina,UZB,4.4,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.266,2022,final
11.0,Tara Vella Clark,MLT,3.0,7.366,0.1,0.0,0.0,0.0,0.0,0.0,10.266,2022,qual
6.0,Alice D AMATO,ITA,5.0,9.166,0.0,0.0,0.0,0.0,0.0,0.0,14.166,2022,AAfinal
10.0,Alice D AMATO,ITA,5.0,9.233,0.0,0.0,0.0,0.0,0.0,0.0,14.233,2022,qual
11.0,Alice D AMATO,ITA,5.0,8.666,0.0,0.0,0.0,0.0,0.0,0.0,13.666,2022,qual
5.0,Alice D AMATO,ITA,5.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2022,TeamFinal
4.0,Alice D AMATO,ITA,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2023,AAfinal
5.0,Alice D AMATO,ITA,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2023,qual
8.0,Asia D AMATO,ITA,5.0,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.766,2022,qual
8.0,Asia D AMATO,ITA,5.0,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.833,2022,TeamFinal
2.0,Asia D AMATO,ITA,4.8,8.533,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2022,final
3.0,Asia D AMATO,ITA,4.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2022,qual
2.0,Asia D AMATO,ITA,5.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2023,final
1.0,Asia D AMATO,ITA,5.0,9.133,0.0,0.0,0.0,0.0,0.0,0.0,14.133,2023,qual
2.0,Asia D AMATO,ITA,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2023,final
1.0,Asia D AMATO,ITA,4.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2023,qual
7.0,Asia D AMATO,ITA,5.0,8.933,0.0,0.0,0.0,0.0,0.0,0.0,13.933,2023,qual
2.0,Asia D AMATO,ITA,4.8,8.7,0.3,0.0,0.0,0.0,0.0,0.0,13.2,2023,final
3.0,Asia D AMATO,ITA,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2023,qual
20.0,Farida DABOUR,EGY,3.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2023,qual
20.0,Farida DABOUR,EGY,3.4,8.533,0.0,0.0,0.0,0.0,0.0,0.0,11.933,2023,qual
90.0,Naveen DARIES,RSA,4.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.666,2022,qual
7.0,Naveen DARIES,RSA,4.2,8.75,0.0,0.0,0.0,0.0,0.0,0.0,12.95,2022,AAfinal
7.0,Naveen DARIES,RSA,3.8,8.6,0.1,0.0,0.0,0.0,0.0,0.0,12.3,2022,final
7.0,Naveen DARIES,RSA,3.8,8.95,0.0,0.0,0.0,0.0,0.0,0.0,12.75,2022,qual
23.0,Jessica DAYKIN,GBR,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,qual
103.0,Joana DE FREITAS,MON,3.2,8.466,0.1,0.0,0.0,0.0,0.0,0.0,11.566,2022,qual
22.0,Joana DE FREITAS,MON,0.0,8.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,qual
22.0,Joana DE FREITAS,MON,3.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2023,qual
71.0,Joana DE FREITAS,MON,4.2,8.566,0.1,0.0,0.0,0.0,0.0,0.0,12.666,2023,qual
35.0,Natalia DELGADO,PUR,3.2,8.3,1.0,0.0,0.0,0.0,0.0,0.0,10.5,2023,qual
41.0,Lara Albertina DEMARSICO,ARG,3.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.66,2023,qual
36.0,Laurie DENOMMEE,CAN,4.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2022,qual
6.0,Laurie DENOMMEE,CAN,4.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2022,AAfinal
2.0,Laurie DENOMMEE,CAN,4.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,final
2.0,Laurie DENOMMEE,CAN,4.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
5.0,Coline DEVILLARD,FRA,5.4,9.033,0.0,0.0,0.0,0.0,0.0,0.0,14.433,2022,qual
3.0,Coline DEVILLARD,FRA,5.0,8.933,0.1,0.0,0.0,0.0,0.0,0.0,13.833,2022,final
3.0,Coline DEVILLARD,FRA,5.0,9.166,0.0,0.0,0.0,0.0,0.0,0.0,14.166,2022,qual
1.0,Coline DEVILLARD,FRA,5.4,8.933,0.0,0.0,0.0,0.0,0.0,0.0,14.333,2023,final
7.0,Coline DEVILLARD,FRA,5.4,7.533,0.3,0.0,0.0,0.0,0.0,0.0,12.633,2023,qual
1.0,Coline DEVILLARD,FRA,4.2,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.033,2023,final
7.0,Coline DEVILLARD,FRA,4.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2023,qual
1.0,Coline DEVILLARD,FRA,5.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,2023,final
1.0,Coline DEVILLARD,FRA,5.4,8.533,0.1,0.0,0.0,0.0,0.0,0.0,13.833,2023,qual
1.0,Coline DEVILLARD,FRA,4.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2023,final
1.0,Coline DEVILLARD,FRA,4.2,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2023,qual
1.0,Coline DEVILLARD,FRA,5.4,8.966,0.0,0.0,0.0,0.0,0.0,0.0,14.366,2023,qual
1.0,Coline DEVILLARD,FRA,4.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2023,final
1.0,Coline DEVILLARD,FRA,4.2,9.166,0.0,0.0,0.0,0.0,0.0,0.0,13.366,2023,qual
15.0,Karelys DIAZ,PUR,3.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2023,AAfinal
8.0,Karelys DIAZ,PUR,4.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.85,2023,qual
107.0,Nicole DIAZ,PUR,4.2,8.3,0.1,0.0,0.0,0.0,0.0,0.0,12.4,2022,qual
16.0,Stella DIAZ,PUR,4.2,7.65,0.0,0.0,0.0,0.0,0.0,0.0,11.85,2023,AAfinal
19.0,Stella DIAZ,PUR,4.2,8.35,0.0,0.0,0.0,0.0,0.0,0.0,12.55,2023,qual
102.0,Evangelina DIMITRIOU,CYP,3.4,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2023,qual
7.0,Tara DONNELLY,GBR,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,final
18.0,Tara DONNELLY,GBR,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
7.0,Tara DONNELLY,GBR,3.6,8.75,0.0,0.0,0.0,0.0,0.0,0.0,12.35,2022,final
18.0,Tara DONNELLY,GBR,3.6,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.25,2022,qual
12.0,Tara DONNELLY,IOM,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,AAfinal
13.0,Tara DONNELLY,IOM,3.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2022,qual
21.0,Jessica DOWLING,CAN,4.2,8.5,0.1,0.0,0.0,0.0,0.0,0.0,12.6,2023,qual
21.0,Jessica DOWLING,CAN,3.4,7.7,0.1,0.0,0.0,0.0,0.0,0.0,11.0,2023,qual
23.0,Rebecca DOWNIE,GBR,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,qual
88.0,Eliska DRNCOVA,CZE,3.6,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2023,qual
8.0,Siyu DU,CHN,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2023,qual
19.0,Lauren DUCAS,CUB,3.4,7.7,0.0,0.0,0.0,0.0,0.0,0.0,11.1,2023,AAfinal
29.0,Lauren DUCAS,CUB,3.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2023,qual
25.0,Jamilia DUFFUS,JAM,4.2,8.3,0.3,0.0,0.0,0.0,0.0,0.0,12.2,2023,qual
65.0,Antonia DUTA,ROU,4.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2022,qual
3.0,Laurie Denommée,CAN,4.0,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2022,final
3.0,Laurie Denommée,CAN,4.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2022,qual
3.0,Laurie Denommée,CAN,4.2,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.933,2022,qual
3.0,Laurie Denommée,CAN,4.2,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2022,final
14.0,Antonia Duta,ROU,4.2,8.5,0.3,0.0,0.0,0.0,0.0,0.0,12.4,2022,qual
14.0,Antonia Duta,ROU,3.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2022,qual
16.0,Amanda EDWARDS,AUS,3.6,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.333,2023,AAfinal
38.0,Amanda EDWARDS,AUS,3.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,11.76,2023,qual
19.0,Alexandra EMEINIDOU,GRE,3.6,7.666,0.1,0.0,0.0,0.0,0.0,0.0,11.166,2023,qual
19.0,Alexandra EMEINIDOU,GRE,3.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2023,qual
95.0,Dohyun EOM,KOR,4.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2022,qual
13.0,Julie ERICHSEN,NOR,4.2,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2023,qual
13.0,Julie ERICHSEN,NOR,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2023,qual
11.0,Julie ERICHSEN,NOR,4.2,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.833,2023,qual
11.0,Julie ERICHSEN,NOR,3.4,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.066,2023,qual
104.0,Julie ERICHSEN,NOR,3.6,8.266,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2023,qual
133.0,Alva ERIKSSON,SWE,3.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2022,qual
104.0,Alva ERIKSSON,SWE,3.2,8.366,0.0,0.0,0.0,0.0,0.0,0.0,11.566,2022,qual
66.0,Natalia ESCALERA,MEX,4.6,8.466,0.1,0.0,0.0,0.0,0.0,0.0,12.966,2022,qual
21.0,Natalia ESCALERA,MEX,4.4,8.666,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2022,qual
11.0,Natalia ESCALERA,MEX,4.6,8.25,0.3,0.0,0.0,0.0,0.0,0.0,12.55,2023,AAfinal
4.0,Natalia ESCALERA,MEX,4.6,9.05,0.0,0.0,0.0,0.0,0.0,0.0,13.65,2023,qual
4.0,Natalia ESCALERA,MEX,4.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2023,qual
7.0,Ginna ESCOBAR,COL,4.2,8.55,0.0,0.0,0.0,0.0,0.0,0.0,12.75,2023,AAfinal
12.0,Ginna ESCOBAR,COL,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2023,qual
14.0,Ginna ESCOBAR,COL,4.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.766,2023,qual
14.0,Ginna ESCOBAR,COL,4.0,7.433,0.1,0.0,0.0,0.0,0.0,0.0,11.333,2023,qual
33.0,Manila ESPOSITO,ITA,4.2,9.366,0.0,0.0,0.0,0.0,0.0,0.0,13.566,2022,qual
1.0,Manila ESPOSITO,ITA,4.6,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.5,2023,final
1.0,Manila ESPOSITO,ITA,4.6,9.033,0.0,0.0,0.0,0.0,0.0,0.0,13.633,2023,qual
1.0,Manila ESPOSITO,ITA,4.2,8.866,0.1,0.0,0.0,0.0,0.0,0.0,12.966,2023,final
1.0,Manila ESPOSITO,ITA,4.2,8.933,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2023,qual
6.0,Manila ESPOSITO,ITA,4.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2023,AAfinal
14.0,Manila ESPOSITO,ITA,4.6,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.566,2023,qual
2.0,Ruby EVAN,GBR,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2023,final
2.0,Ruby EVAN,GBR,5.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2023,qual
2.0,Ruby EVAN,GBR,3.8,8.666,0.1,0.0,0.0,0.0,0.0,0.0,12.366,2023,final
2.0,Ruby EVAN,GBR,3.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2023,qual
14.0,Mia EVANS,GBR,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
31.0,Amika EVERY,ARU,3.4,8.4,0.1,0.0,0.0,0.0,0.0,0.0,11.7,2023,qual
9.0,Amika EVERY,ARU,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2023,qual
16.0,Georgia Mae FENTON,GBR,4.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,13.9,2022,qual
18.0,Georgia Mae FENTON,GBR,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
15.0,Georgia Mae FENTON,GBR,4.6,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.466,2022,qual
24.0,Georgia Mae FENTON,GBR,4.6,7.766,0.3,0.0,0.0,0.0,0.0,0.0,12.066,2023,AAfinal
10.0,Georgia Mae FENTON,GBR,4.6,9.133,0.0,0.0,0.0,0.0,0.0,0.0,13.733,2023,qual
105.0,Emma FERNANDEZ,ESP,4.2,8.233,0.0,0.0,0.0,0.0,0.0,0.0,12.433,2022,qual
46.0,Emma FERNANDEZ,ESP,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,qual
4.0,Laia FONT,ESP,4.4,8.733,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2023,final
6.0,Laia FONT,ESP,4.4,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2023,qual
4.0,Laia FONT,ESP,3.6,8.9,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2023,final
6.0,Laia FONT,ESP,3.6,8.866,0.0,0.0,0.0,0.0,0.0,0.0,12.466,2023,qual
24.0,Laia FONT,ESP,4.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,2023,qual
5.0,Laia FONT,ESP,4.4,8.666,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2023,final
6.0,Laia FONT,ESP,4.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
5.0,Laia FONT,ESP,3.6,8.933,0.0,0.0,0.0,0.0,0.0,0.0,12.533,2023,final
6.0,Laia FONT,ESP,3.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2023,qual
26.0,Carla FONT ESTRUCH,ESP,3.6,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.23,2023,qual
10.0,Kirsty FOWLER,GBR,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
10.0,Kirsty FOWLER,GBR,3.4,8.55,0.0,0.0,0.0,0.0,0.0,0.0,11.95,2022,qual
18.0,Léa FRANCERIES,FRA,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
18.0,Léa FRANCERIES,FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,qual
23.0,Aline FRIESS,FRA,4.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,AAfinal
29.0,Aline FRIESS,FRA,5.4,8.366,0.1,0.0,0.0,0.0,0.0,0.0,13.666,2022,qual
11.0,Aline FRIESS,FRA,4.4,8.8,0.3,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
1.0,Aline FRIESS,FRA,5.4,8.933,0.0,0.0,0.0,0.0,0.0,0.0,14.333,2022,qual
3.0,Aline FRIESS,FRA,5.4,8.833,0.0,0.0,0.0,0.0,0.0,0.0,14.233,2022,TeamFinal
3.0,Aline FRIESS,FRA,4.4,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.233,2022,final
4.0,Aline FRIESS,FRA,4.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
15.0,Bianca FRYSAK,AUT,4.2,8.433,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2023,AAfinal
22.0,Bianca FRYSAK,AUT,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,qual
23.0,Bianca FRYSAK,AUT,4.2,8.433,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2023,AAfinal
63.0,Bianca FRYSAK,AUT,4.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.766,2023,qual
39.0,Kokoro FUKASAWA,JPN,4.6,8.733,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2022,qual
112.0,Petra FURAC,CRO,3.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2022,qual
82.0,Petra FURAC,CRO,3.6,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2022,qual
7.0,Lea Franceries,FRA,4.2,8.667,0.0,0.0,0.0,0.0,0.0,0.0,12.867,2023,final
6.0,Lea Franceries,FRA,4.2,9.033,0.0,0.0,0.0,0.0,0.0,0.0,13.233,2023,qual
7.0,Lea Franceries,FRA,3.4,8.467,0.0,0.0,0.0,0.0,0.0,0.0,11.867,2023,final
6.0,Lea Franceries,FRA,3.4,8.567,0.0,0.0,0.0,0.0,0.0,0.0,11.967,2023,qual
6.0,Jennifer GADIROVA,GBR,4.2,9.05,0.0,0.0,0.0,0.0,0.0,0.0,13.25,2022,qual
10.0,Jessica GADIROVA,GBR,5.0,8.933,0.1,0.0,0.0,0.0,0.0,0.0,13.833,2022,AAfinal
6.0,Jessica GADIROVA,GBR,5.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,14.4,2022,qual
5.0,Jessica GADIROVA,GBR,4.8,9.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2022,qual
1.0,Jessica GADIROVA,GBR,5.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2022,final
2.0,Jessica GADIROVA,GBR,5.0,9.05,0.0,0.0,0.0,0.0,0.0,0.0,14.05,2022,qual
1.0,Jessica GADIROVA,GBR,4.8,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.7,2022,final
2.0,Jessica GADIROVA,GBR,4.8,8.7,0.1,0.0,0.0,0.0,0.0,0.0,13.6,2022,qual
5.0,Jessica GADIROVA,GBR,5.0,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.866,2022,qual
6.0,Jessica GADIROVA,GBR,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2022,TeamFinal
5.0,Jessica GADIROVA,GBR,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,final
2.0,Jessica GADIROVA,GBR,4.8,8.733,0.0,0.0,0.0,0.0,0.0,0.0,13.533,2022,qual
2.0,Jessica GADIROVA,GBR,5.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2023,AAfinal
2.0,Jessica GADIROVA,GBR,5.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,14.2,2023,qual
142.0,Samira GAHRAMANOVA,AZE,3.6,7.933,0.0,0.0,0.0,0.0,0.0,0.0,11.533,2022,qual
30.0,Samira GAHRAMANOVA,AZE,3.4,8.166,0.0,0.0,0.0,0.0,0.0,0.0,11.566,2022,qual
97.0,Samira GAHRAMANOVA,AZE,3.4,8.333,0.0,0.0,0.0,0.0,0.0,0.0,11.733,2022,qual
109.0,Samira GAHRAMANOVA,AZE,3.4,8.366,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2023,qual
49.0,Ellie GARGETT,GBR,3.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,11.85,2022,qual
7.0,Valentina GEORGIEVA,BUL,5.0,8.866,0.1,0.0,0.0,0.0,0.0,0.0,13.766,2022,qual
6.0,Valentina GEORGIEVA,BUL,4.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
3.0,Elisabeth GEURTS,NED,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2023,qual
3.0,Elisabeth GEURTS,NED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,qual
19.0,Amalia GHIGOARTA,ROU,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023,AAfinal
32.0,Amalia GHIGOARTA,ROU,4.2,8.933,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2023,qual
46.0,Chiara GIUBELLINI,SUI,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,qual
20.0,Chiara GIUBELLINI,SUI,4.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2022,qual
112.0,Ani GOBADZE,GEO,3.6,8.066,0.3,0.0,0.0,0.0,0.0,0.0,11.366,2022,qual
88.0,Ani GOBADZE,GEO,3.6,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2023,qual
