Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
23,lauren little,none,12.85,13.45,12.4,0,38.7,final,2022
24,camryn richardson,none,14.25,0,0,11.65,25.9,final,2022
25,adriana consoli,none,12.65,10.75,0,0,23.4,final,2022
26,kaylen morgan,none,0,0,12.7,0,12.7,final,2022
1,tang xijing,CHN,12.9,14.4,14,13.7,55,final,2022
2,ou yushan,CHN,13.05,14.3,13.85,13.05,54.25,final,2022
3,he licheng,CHN,13.5,14.25,13.75,11.95,53.45,final,2022
4,xiang lulu,CHN,12.75,14.05,13.75,13,53.55,final,2022
5,wei xiaoyuan,CHN,12.95,14.9,13.3,12.55,53.7,final,2022
6,zhang xinyi,CHN,13,13.75,14.05,12.8,53.6,final,2022
7,qiu qiyuan,CHN,12.9,12.6,12.3,13.1,50.9,final,2022
8,zhang jin,CHN,13.7,12.25,13.85,12.7,52.5,final,2022
9,zhang qingying,CHN,13.1,11.75,13.5,12.9,51.25,final,2022
10,yue yue,CHN,12.95,13.9,12.4,12.4,51.65,final,2022
11,zuo tong,CHN,12.9,13.8,12.55,11.4,50.65,final,2022
12,zhao jiayi,CHN,12.65,12.2,12.8,13.15,50.8,final,2022
13,zhang wanning,CHN,12.35,12.75,12.45,12.75,50.3,final,2022
14,chen shutong,CHN,12.85,12,11.75,12.4,49,final,2022
15,jia ruoyi,CHN,12.9,13.15,10.35,12.15,48.55,final,2022
16,wu sihan,CHN,12.8,11.4,12,12.6,48.8,final,2022
17,zhou yuying,CHN,12.8,11.5,11.7,12.75,48.75,final,2022
18,liu sibei,CHN,12.2,12.6,11.55,11.85,48.2,final,2022
19,zhang shiyi,CHN,12.6,12.35,12.05,12.2,49.2,final,2022
20,tian zhuofan,CHN,11.7,11.95,12.3,12.4,48.35,final,2022
21,lin haibin,CHN,10.8,12.25,12.75,12.05,47.85,final,2022
22,wang hao,CHN,11.75,12.8,12.15,10.55,47.25,final,2022
23,bi qingqing,CHN,12.95,0,13.25,13.1,39.3,final,2022
1,asia d’amato,ITA,13.766,13.9,13.5,13.566,54.732,final,2022
2,alice kinsella,none,13.6,13.966,13.033,13.533,54.132,final,2022
3,martina maggio,ITA,13.666,13.066,13.4,13.833,53.965,final,2022
4,carolann heduit,FRA,13.8,13.733,13.4,12.766,53.699,final,2022
5,lisa vaelen,BEL,14.2,13.5,12.933,13.066,53.699,final,2022
6,naomi visser,NED,13.133,14.266,12.233,13.633,53.265,final,2022
7,ana barbosu,ROU,12.733,13.5,13.533,13.266,53.032,final,2022
8,kim bui,none,13.1,14.2,12.833,12.866,52.999,final,2022
9,zsofia kovacs,HUN,14.066,13.366,11.9,13.433,52.765,final,2022
10,jessica gadirova,none,13.866,12.833,12.233,13.766,52.698,final,2022
11,maisa kuusikko,FIN,13.333,13.466,12.533,12.866,52.198,final,2022
12,alba petisco,ESP,13.266,12.833,13.1,12.933,52.132,final,2022
12,ondine achampong,none,13.933,12.233,13.266,12.666,52.098,final,2022
13,emma malewski,none,12.966,13.1,13.5,12.466,52.032,final,2022
14,aline friess,FRA,14.333,12.5,12.166,12.8,51.799,final,2022
15,vera van pol,NED,13.566,12.8,12.5,12.633,51.499,final,2022
15,sarah voss,none,13.433,13.1,12.266,12.1,50.899,final,2022
15,tisha volleman,NED,12.833,13.2,11.3,13,50.333,final,2022
16,lihie raz,ISR,13.5,12.333,11.733,12.6,50.166,final,2022
17,nathalie westlund,SWE,12.3,13.033,12.5,12.3,50.133,final,2022
18,greta mayer,HUN,12.933,11.6,12.833,12.7,50.066,final,2022
19,andreea preda,ROU,12.6,12.1,12.466,12.733,49.899,final,2022
20,camille rasmussen,DEN,13.733,11.966,11.533,12.533,49.765,final,2022
21,sani mäkelä,FIN,13.266,12.866,11.3,12.233,49.665,final,2022
21,morgane osyssek,FRA,13.3,10.433,12.466,13.2,49.399,final,2022
22,laura casabuena,ESP,11.8,13,11.733,12.733,49.266,final,2022
23,selina kickinger,AUT,12.733,12.6,12.233,11.666,49.232,final,2022
23,emma fernandez,ESP,12.8,11.833,11.866,12.7,49.199,final,2022
24,maria tronrud,NOR,12.866,12,12.9,11.366,49.132,final,2022
25,valeriia osipova,UKR,12.833,12.533,11.4,12.366,49.132,final,2022
26,tonya paulsson,SWE,12.733,12.866,12.366,11.133,49.098,final,2022
27,yuliia kasianenko,UKR,12.7,11.766,12.366,12.033,48.865,final,2022
27,kaia tanskanen,FIN,13.1,12.033,11.033,12.533,48.699,final,2022
28,jasmin mader,AUT,12.333,12.066,11.866,12.433,48.698,final,2022
29,lucija hribar,SLO,12.9,11.466,12.366,11.933,48.665,final,2022
29,mirtill makovits,HUN,12.1,13.066,11.4,12.033,48.599,final,2022
29,yelizaveta hubareva,UKR,12.566,12.666,11.633,11.566,48.431,final,2022
30,halle hilton,IRL,12.766,11.166,12.033,12.433,48.398,final,2022
30,carina kröll,AUT,12.566,11.8,12.033,11.7,48.099,final,2022
31,aneta holasova,CZE,12.8,11.5,10.833,12.566,47.699,final,2022
32,zala trtnik,SLO,12.733,11.266,12.066,11.633,47.698,final,2022
33,thelma adalsteinsdottir,ISL,12.333,11.733,12.233,11.133,47.432,final,2022
34,klara peterkova,CZE,12.2,11.333,11.766,12.1,47.399,final,2022
34,dominika ponizilova,CZE,12.933,10.4,11.966,12.066,47.365,final,2022
34,antonia duta,ROU,12.5,12.4,11.066,11.333,47.299,final,2022
35,juliane tøssebro,NOR,12.3,11.2,11.8,11.966,47.266,final,2022
35,ada hautala,FIN,12.733,12.633,9.7,12.1,47.166,final,2022
36,emma slevin,IRL,12.933,10.133,12.3,11.766,47.132,final,2022
36,alva eriksson,SWE,11.566,11.933,11.266,12,46.765,final,2022
37,mariana parente,POR,12.3,11.533,11.2,11.7,46.733,final,2022
37,silviana sfiringu,ROU,12.866,11.133,12.533,10.066,46.598,final,2022
37,julie madsø,NOR,12.933,10.8,11.566,11.133,46.432,final,2022
38,valentina georgieva,BUL,13.766,10.266,11.033,11.033,46.098,final,2022
39,sevgi kayisoglu,TUR,12.066,11.466,10.766,11.8,46.098,final,2022
40,emilia kulczynska,POL,11.366,11.833,11.3,11.566,46.065,final,2022
41,ofir netzer,ISR,13.166,12.433,9.233,11.166,45.998,final,2022
42,anina wildi,SUI,12.3,12.133,9.1,12.333,45.866,final,2022
43,freja petersen,DEN,11.566,10.833,11.5,11.733,45.632,final,2022
44,bengisu yildiz,TUR,12.666,11.233,10.466,11.233,45.598,final,2022
45,elvira katsali,GRE,11.766,11.4,10.4,12,45.566,final,2022
46,tatiana bachurina,CYP,11.666,11,11.766,11.1,45.532,final,2022
47,tara vella clark,MLT,12.266,9.766,12.033,11.3,45.365,final,2022
48,hildur gudmundsdottir,ISL,11.766,9.666,11.166,11.8,44.398,final,2022
49,petra furac,CRO,12.166,10.666,10.966,10.433,44.231,final,2022
50,brygida urbanska,POL,12.466,11.033,10.566,9.9,43.965,final,2022
51,celeste mordenti,LUX,12.333,10.7,10.133,10.766,43.932,final,2022
52,nika kukuljan frleta,CRO,11.666,10.166,11.166,10.833,43.831,final,2022
53,lilli habisreutinger,SUI,13,10.066,8.666,11.866,43.598,final,2022
53,sara sulekic,CRO,11.833,10.4,9.8,11.433,43.466,final,2022
54,sara surmanova,SVK,12.533,9.933,9.433,11.466,43.365,final,2022
54,bilge tarhan,TUR,12.866,11.1,9.6,9.733,43.299,final,2022
55,lia sobral,POR,12.066,10.633,8.733,11.7,43.132,final,2022
55,mafalda costa,POR,11.466,8.2,11.566,11.8,43.032,final,2022
56,ula bikinaite,LTU,12.4,9.1,11.633,9.566,42.699,final,2022
57,areti pagoni,GRE,11.566,10.533,9.666,10.7,42.465,final,2022
58,ella borg,MLT,11.9,9.4,9.5,11.266,42.066,final,2022
59,radoslava kalamarova,SVK,11.533,8.133,11.066,11.066,41.798,final,2022
59,alice d’amato,ITA,13.666,14.566,0,13.5,41.732,final,2022
59,agnes suto,ISL,11.566,10.5,7.933,11.666,41.665,final,2022
60,milana minakovskaya,AZE,11.5,9.966,9.5,10.366,41.332,final,2022
61,arina olenova,LAT,12.166,8.166,9.466,11.433,41.231,final,2022
62,ani gobadze,GEO,11.366,9.433,10.033,10.166,40.998,final,2022
63,joana de freitas,MON,11.566,8.966,10,10.433,40.965,final,2022
64,anastasija ananjeva,LAT,12.066,8.633,8.233,10.8,39.732,final,2022
64,angela andreoli,ITA,13.133,0,12.666,13.633,39.432,final,2022
64,noémie louon,BEL,12.7,12.933,12.933,0,38.566,final,2022
64,marine boyer,FRA,13.2,0,13,12.366,38.566,final,2022
65,samira gahramanova,AZE,11.733,7.366,9.1,10.266,38.465,final,2022
66,jutta verkest,BEL,12.733,0,13,12.566,38.299,final,2022
67,maellyse brassart,BEL,12.966,13.133,0,11.7,37.799,final,2022
68,göksu üctas sanli,TUR,12.5,0,11.866,12.6,36.966,final,2022
69,lorena medina,ESP,12.933,0,12,12,36.933,final,2022
70,chiara giubellini,SUI,12.8,0,11.3,12.533,36.633,final,2022
71,anna locmele,LAT,11.833,6,9,9.466,36.299,final,2022
72,christina kiosi,GRE,12.3,0,11.866,11.8,35.966,final,2022
73,charlize mörz,AUT,12.833,0,11.9,11.066,35.799,final,2022
74,lucie trnkova,CZE,11.3,0,12.366,12.1,35.766,final,2022
75,blathnaid higgins,IRL,12.3,0,11.1,11.866,35.266,final,2022
76,mali neurauter,NOR,11.9,11.2,11.733,0,34.833,final,2022
77,elena usakova,SVK,11.933,0,11.5,11,34.433,final,2022
78,emelie westlund,SWE,11.466,11.7,11.266,0,34.432,final,2022
79,maria mendes,POR,11.633,0,11,11.7,34.333,final,2022
80,noga shalit,ISR,12.266,0,10.466,11.5,34.232,final,2022
81,josephine sørensen,DEN,11.733,0,10.2,11.3,33.233,final,2022
82,konstantina maragkou,GRE,0,10.433,11.1,11.3,32.833,final,2022
83,stefanie siegenthaler,SUI,0,12.833,7.633,12.333,32.799,final,2022
84,sara king,SLO,0,10.8,10.2,11.366,32.366,final,2022
85,kate molloy,IRL,11.6,10.133,9.466,0,31.199,final,2022
86,geffen dor,ISR,0,8.966,10.433,11.433,30.832,final,2022
87,camille normann,DEN,0,10.266,10.166,9.133,29.565,final,2022
88,giorgia villa,ITA,0,14.2,13.466,0,27.666,final,2022
89,georgia-mae fenton,none,13.466,13.9,0,0,27.366,final,2022
90,elisabeth seitz,none,13.1,14.2,0,0,27.3,final,2022
91,jennifer gadirova,none,0,0,12.9,13.533,26.433,final,2022
92,sanna veerman,NED,13.2,12.8,0,0,26,final,2022
93,pauline schäfer,none,0,0,13.166,12.766,25.932,final,2022
94,ana derek,CRO,0,0,12.666,12.766,25.432,final,2022
95,fien enghels,BEL,0,12.6,12.7,0,25.3,final,2022
96,barbora mokosova,SVK,0,13.233,11.533,0,24.766,final,2022
97,csenge bacskay,HUN,13.3,0,11.133,0,24.433,final,2022
98,anny wu,SUI,12.233,12.2,0,0,24.433,final,2022
99,shadé van oorschot,NED,0,0,10.966,12.566,23.532,final,2022
100,andy turiski,ISR,12.5,10.933,0,0,23.433,final,2022
101,michelle lauritsen,DEN,11.633,11.633,0,0,23.266,final,2022
102,margret kristinsdottir,ISL,11.333,0,0,11.933,23.266,final,2022
103,marharyta kozlovska,UKR,11.333,11.433,0,0,22.766,final,2022
104,diana savelieva,UKR,0,0,10.3,11.666,21.966,final,2022
105,gudrun hardardottir,ISL,0,10.1,11.333,0,21.433,final,2022
106,elena melke,LAT,11.2,0,0,9.633,20.833,final,2022
107,emily moorhead,IRL,0,8.266,0,10.9,19.166,final,2022
108,christina vasilopoulou,GRE,9.966,9.133,0,0,19.099,final,2022
109,darja elbe,LAT,0,8.2,9,0,17.2,final,2022
110,lorette charpy,FRA,0,13.833,0,0,13.833,final,2022
111,tjasa kysselef,SLO,13.133,0,0,0,13.133,final,2022
112,tijana korent,CRO,12.733,0,0,0,12.733,final,2022
113,paula raya,ESP,0,12.7,0,0,12.7,final,2022
114,zoja szekely,HUN,0,12.466,0,0,12.466,final,2022
115,alissa mörz,AUT,0,12.1,0,0,12.1,final,2022
116,filipa martins,POR,0,11.633,0,0,11.633,final,2022
117,madelen leitner,NOR,0,0,0,11.3,11.3,final,2022
118,teja belak,SLO,11.3,0,0,0,11.3,final,2022
119,lucie marikova,CZE,0,11.133,0,0,11.133,final,2022
120,adela balcova,SVK,0,11.1,0,0,11.1,final,2022
121,nazli savranbasi,TUR,0,10.333,0,0,10.333,final,2022
1,luisa maia,BRA,12.9,11.6,12.7,12.25,49.45,final,2022
2,beatriz lima,BRA,12.75,11.75,11.95,12.65,49.1,final,2022
2,thais fidelis,BRA,12.15,12.3,11.95,12.15,48.55,final,2022
3,ana karina mendez,PER,12.65,11.2,12.6,11.9,48.35,final,2022
4,abigail magistrati,ARG,12.867,10.4,12.25,12.8,48.317,final,2022
5,sira macias,ARG,12.6,12.05,11.2,12.25,48.1,final,2022
5,milagros curti,ARG,12.85,10.85,11.3,12.45,47.45,final,2022
5,luiza domingues,BRA,13.1,11.2,10.7,12.45,47.45,final,2022
5,felicitas palmou,ARG,12.25,12,11.2,11.95,47.4,final,2022
6,antonia marihuan,CHI,13.05,10.7,11.05,12,46.8,final,2022
7,maria zuñiga,PER,12,10.9,10.9,10.55,44.35,final,2022
8,sofia casella,CHI,12.3,9.45,9.4,12.1,43.25,final,2022
8,paula carvajal,CHI,12.8,9.9,10.1,10.15,42.95,final,2022
9,diana vasquez,BOL,12.9,9.15,10.95,9.9,42.9,final,2022
10,kiara delgado,URU,10.4,10.05,11.05,10.4,41.9,final,2022
11,amika every,ARU,11.3,9.5,8.5,12.1,41.4,final,2022
11,tamara ampuero,CHI,11.7,8.5,10.3,10.15,40.65,final,2022
12,ariana aranibar,BOL,10.65,8.85,8.9,9.3,37.7,final,2022
13,rafaela oliva,BRA,12.1,0,10.8,12.55,35.45,final,2022
14,fabiana cuneo,PER,11.9,0,10.45,11.1,33.45,final,2022
15,ximena rengifo,PER,12.15,11.15,9.9,0,33.2,final,2022
16,annia teran,PER,11.8,9.3,0,10.8,31.9,final,2022
17,barbara achondo,CHI,0,8,10.2,12.45,30.65,final,2022
18,chris centeno,PER,0,10.05,10,10.3,30.35,final,2022
19,lucila estarli,ARG,12.4,0,0,11.6,24,final,2022
20,leila martinez,ARG,0,9.7,11.5,0,21.2,final,2022
21,camille fonseca,BRA,0,11.8,0,0,11.8,final,2022
1,simone biles,USA,15.266,14.4,14.566,14.633,58.865,qual,2023
2,shilese jones,USA,14.266,14.833,14.033,13.8,56.932,qual,2023
3,jessica gadirova,none,14.6,13.766,14,14.4,56.766,qual,2023
4,rebeca andrade,BRA,14.9,13.866,13.8,14.033,56.599,qual,2023
5,ellie black,CAN,13.966,14.133,13.566,13.4,55.065,qual,2023
6,flavia saraiva,BRA,13.866,13.6,13.4,13.833,54.699,qual,2023
7,manila esposito,ITA,13.766,13.666,13.666,13.6,54.698,qual,2023
8,qiu qiyuan,CHN,13.133,14.9,13.8,12.833,54.666,qual,2023
9,ou yushan,CHN,13.1,14.1,14.066,13.366,54.632,qual,2023
10,mélanie de jesus dos santos,FRA,14.366,14.066,12.733,13.3,54.465,qual,2023
11,leanne wong,USA,14.166,13.666,13.366,13.2,54.398,qual,2023
12,naomi visser,NED,13.233,14.166,13.2,13.733,54.332,qual,2023
13,kaylia nemour,ALG,13,14.733,13.266,12.7,53.699,qual,2023
14,ondine achampong,none,14.3,12.733,13.433,12.866,53.332,qual,2023
15,alice kinsella,none,14,13.533,12.133,13.633,53.299,qual,2023
16,georgia godwin,AUS,13.633,13.666,13.133,12.766,53.198,qual,2023
17,alice d’amato,ITA,14,13.033,12.533,13.4,52.966,qual,2023
18,elisa iorio,ITA,13.233,13.4,13.4,12.933,52.966,qual,2023
19,ana barbosu,ROU,13.5,13.366,12.866,13.2,52.932,qual,2023
20,pauline schäfer,none,12.966,12.966,14.066,12.733,52.731,qual,2023
21,lee yunseo,SKR,13.3,13.633,12.766,13,52.699,qual,2023
22,alexa moreno,MEX,14.566,12.466,12.266,13.033,52.331,qual,2023
23,sarah voss,none,13.433,12.733,12.866,13.2,52.232,qual,2023
24,eythora thorsdottir,NED,13.9,13.266,12.133,12.9,52.199,qual,2023
25,kishi rina,JPN,14,12.166,12.7,13.333,52.199,qual,2023
26,hatakeda chiaki,JPN,13.5,12.933,13.166,12.6,52.199,qual,2023
27,filipa martins,POR,13.166,13.333,12.633,12.833,51.965,qual,2023
28,morgane osyssek,FRA,13.333,12.033,13.033,13.433,51.832,qual,2023
29,jade barbosa,BRA,13.833,12.766,12.4,12.833,51.832,qual,2023
30,miyata shoko,JPN,14.1,13.366,11.9,12.366,51.732,qual,2023
31,marine boyer,FRA,13.366,12.7,13.4,12,51.466,qual,2023
32,aleah finnegan,PHI,13.4,12.433,12.7,12.833,51.366,qual,2023
33,lili czifra,HUN,13.633,12.733,12.866,12.133,51.365,qual,2023
34,zoja szekely,HUN,13.033,13.866,12.166,12.2,51.265,qual,2023
35,ruby pass,AUS,11.9,13.833,12.6,12.733,51.066,qual,2023
36,alba petisco,ESP,13.633,12.666,11.566,13.1,50.965,qual,2023
37,aurélie tran,CAN,13.233,13.133,11.933,12.6,50.899,qual,2023
38,anna lashchevska,UKR,12.833,13.133,12.9,11.8,50.666,qual,2023
39,lena bickel,SUI,13.166,12.266,12.7,12.5,50.632,qual,2023
40,shin solyi,SKR,13.5,12.8,11.8,12.5,50.6,qual,2023
41,hillary heron,PAN,14.1,11.733,11.8,12.966,50.599,qual,2023
42,vera van pol,NED,13.6,13.066,10.866,13.066,50.598,qual,2023
43,karla navas,PAN,13.7,12.766,11.866,11.966,50.298,qual,2023
44,karina schönmaier,none,13.133,12.933,11.966,12.266,50.298,qual,2023
45,laura casabuena,ESP,13.066,12.9,11.233,13.066,50.265,qual,2023
46,caitlin rooskrantz,RSA,13.066,12.9,11.7,12.433,50.099,qual,2023
47,sona artamonova,none,13.133,11.533,12.633,12.733,50.032,qual,2023
48,lihie raz,ISR,13.033,12.4,12.033,12.533,49.999,qual,2023
49,lucija hribar,SLO,13.233,12.566,12.2,11.966,49.965,qual,2023
50,andreea preda,ROU,12.966,12.733,11.966,12.3,49.965,qual,2023
51,greta mayer,HUN,13.3,11.766,12.466,12.4,49.932,qual,2023
52,rifda irfanaluthfi,INA,13.166,12.033,12.3,12.433,49.932,qual,2023
53,erika pinxten,BEL,12.966,11.833,12.7,12.333,49.832,qual,2023
54,jennifer williams,SWE,13.166,12,12.1,12.566,49.832,qual,2023
55,tonya paulsson,SWE,13.4,12.866,10.933,12.6,49.799,qual,2023
56,selina kickinger,AUT,13.166,12.6,11.566,12.466,49.798,qual,2023
57,kaia tanskanen,FIN,13.333,12.6,11.333,12.466,49.732,qual,2023
58,natalia escalera,MEX,13.5,12.866,10.966,12.333,49.665,qual,2023
59,halle hilton,IRL,12.9,12.033,12.466,12.266,49.665,qual,2023
60,emelie westlund,SWE,12.933,12.633,11.7,12.333,49.599,qual,2023
61,margaux dandois,BEL,11.8,12.866,12.066,12.733,49.465,qual,2023
62,laia font,ESP,12.766,12.566,11.866,12.266,49.464,qual,2023
63,kylee kvamme,PHI,13.4,12.266,12.3,11.466,49.432,qual,2023
64,celeste mordenti,LUX,12.833,11.833,12.2,12.466,49.332,qual,2023
65,caleigh anders,RSA,13,12.5,11.2,12.5,49.2,qual,2023
66,thelma adalsteinsdottir,ISL,12.3,12.166,12.133,12.5,49.099,qual,2023
67,liao yi-chun,none,12.666,11.5,12.7,12.033,48.899,qual,2023
68,anny wu,SUI,12.966,12,11.5,12.333,48.799,qual,2023
69,bianca frysak,AUT,12.7,12.2,11.733,12.1,48.733,qual,2023
70,milagros curti,ARG,13.1,11.666,12.633,11.333,48.732,qual,2023
71,lai pin-ju,none,12.933,11.133,12.8,11.833,48.699,qual,2023
72,bengisu yildiz,none,13.1,12.166,11,12.4,48.666,qual,2023
73,dildora aripova,UZB,11.533,12.6,11.866,12.6,48.599,qual,2023
74,alice vlkova,none,13.2,11.666,11.633,12.033,48.532,qual,2023
75,olivia kelly,BAR,13.2,11.666,11.933,11.7,48.499,qual,2023
76,leni bohle,AUT,13.1,11.666,11.166,12.4,48.332,qual,2023
77,maria tronrud,NOR,12.466,11.766,12.266,11.766,48.264,qual,2023
78,emma slevin,IRL,12.1,11.9,12.066,12.1,48.166,qual,2023
79,naveen daries,RSA,13.133,12.166,11.1,11.733,48.132,qual,2023
80,barbora mokosova,SVK,11.733,11.933,12.1,12.266,48.032,qual,2023
81,zala trtnik,SLO,13,10.9,12.233,11.733,47.866,qual,2023
82,lynnzee brown,HAI,13.5,11.1,11.166,12,47.766,qual,2023
83,dominika ponizilova,none,13.1,10.433,12.3,11.866,47.699,qual,2023
84,ting hua-tien,none,12.666,11.533,12,11.433,47.632,qual,2023
85,nicole iribarne,ARG,12.9,11.666,11.3,11.733,47.599,qual,2023
86,sevgi kayisoglu,none,12.7,11.666,11.233,11.8,47.399,qual,2023
87,camille rasmussen,DEN,13.366,11.833,11.2,10.966,47.365,qual,2023
88,athanasia mesiri,GRE,13.133,10.066,11.9,12.1,47.199,qual,2023
89,lana herrera,PAN,12.833,11.6,11.033,11.6,47.066,qual,2023
90,sandra elsadek,EGY,12.9,10.733,11.833,11.566,47.032,qual,2023
91,mari kanter,NOR,12.333,11.6,11.8,11.166,46.899,qual,2023
92,emma yap,SIN,12,10.733,12.133,11.833,46.699,qual,2023
93,madeleine marshall,NZL,12.7,10.833,11.466,11.533,46.532,qual,2023
94,anya pilgrim,BAR,13.1,10.7,11.3,11.4,46.5,qual,2023
95,yiseth valenzuela,COL,12.9,10.733,11.066,11.733,46.432,qual,2023
96,alais perea,ECU,12.7,11.766,10.3,11.633,46.399,qual,2023
97,olivia vättö,FIN,12.966,10.433,10.666,12.133,46.198,qual,2023
98,ginna escobar,COL,12.966,11.533,10.8,10.733,46.032,qual,2023
99,margret kristinsdottir,ISL,12.166,11.1,10.866,11.833,45.965,qual,2023
100,nadine joy nathan,SIN,12.966,11.466,10.3,11,45.732,qual,2023
101,lucila estarli,ARG,13,9.933,11,11.766,45.699,qual,2023
102,reece cobb,NZL,11.433,10.8,12.366,11.066,45.665,qual,2023
103,kaja skalska,POL,12.166,10.866,10.9,11.6,45.532,qual,2023
104,valerija ratobilska,LAT,12.033,10.033,11.4,11.8,45.266,qual,2023
105,ada hautala,FIN,13,8,12.266,11.966,45.232,qual,2023
106,mafalda costa,POR,11.8,9.666,11.833,11.933,45.232,qual,2023
107,ana karina mendez,PER,12.2,11.5,10.933,10.533,45.166,qual,2023
108,aida bauyrzhanova,KAZ,12.533,10.5,11.733,10.1,44.866,qual,2023
109,milka gehani,SRI,12.933,9.133,10.966,11.766,44.798,qual,2023
110,ilona krupa,UKR,12.766,11.433,9.266,11,44.465,qual,2023
111,makarena pinto,CHI,12.866,9.366,10.933,11.2,44.365,qual,2023
112,jana abdelsalam,EGY,12.4,8.233,10.666,11.4,42.699,qual,2023
113,lahna salem,ALG,12.266,10.266,10.166,9.833,42.531,qual,2023
114,lin yi-chen,none,11.733,9.1,10.933,10.2,41.966,qual,2023
115,anastasija ananjeva,LAT,12.433,9.466,9.466,10.566,41.931,qual,2023
116,zhou yaqin,CHN,12.933,0,14.5,13.766,41.199,qual,2023
117,yeo seojeong,SKR,14.733,0,13.066,12.7,40.499,qual,2023
118,sanna veerman,NED,13.3,14.2,0,12.333,39.833,qual,2023
119,lilia cosman,ROU,13.633,13.033,0,12.733,39.399,qual,2023
120,breanna scott,AUS,13.1,0,13.6,12.633,39.333,qual,2023
121,julia soares,BRA,12.866,0,13.2,13.2,39.266,qual,2023
122,ahtziri sandoval,MEX,13.933,13.366,0,11.866,39.165,qual,2023
123,ava stewart,CAN,13.466,12.8,0,12.733,38.999,qual,2023
124,lee dayeong,SKR,13.266,13.133,0,12.533,38.932,qual,2023
125,zhang qingying,CHN,13.266,11.066,14.1,0,38.432,qual,2023
126,cassandra loustalot,MEX,13.066,0,12.3,12.866,38.232,qual,2023
127,ana perez,ESP,0,12.933,12.966,12.333,38.232,qual,2023
128,fukasawa kokoro,JPN,13.466,12.033,0,12.633,38.132,qual,2023
129,emily whitehead,AUS,12.166,12.8,0,12.766,37.732,qual,2023
130,jutta verkest,BEL,13.033,0,11.766,12.5,37.299,qual,2023
131,garcelle napier,RSA,13.1,11.466,0,12.166,36.732,qual,2023
132,elina grawin,SWE,12.3,0,11.933,12.3,36.533,qual,2023
133,fien enghels,BEL,0,13.033,10.533,12.6,36.166,qual,2023
134,cassie lee,CAN,13.1,0,9.7,12.666,35.466,qual,2023
135,nazanin teymurova,AZE,12.9,0,11.133,11.233,35.266,qual,2023
136,adeliina siikala,FIN,12.766,0,11.3,10.5,34.566,qual,2023
137,joscelyn roberson,USA,14.466,0,0,13.633,28.099,qual,2023
138,sabrina voinea,ROU,0,0,13.666,13.666,27.332,qual,2023
139,georgia-mae fenton,none,0,14.033,13.266,0,27.299,qual,2023
140,arianna belardelli,ITA,13.833,0,0,13.266,27.099,qual,2023
141,lorette charpy,FRA,0,14.133,12.4,0,26.533,qual,2023
142,meolie jauch,none,13.066,13.466,0,0,26.532,qual,2023
143,coline devillard,FRA,14.4,0,0,11.9,26.3,qual,2023
144,ruby evans,none,13.066,0,0,13.166,26.232,qual,2023
145,skye blakely,USA,0,14.133,11.866,0,25.999,qual,2023
146,kate mcdonald,AUS,0,13.9,12.066,0,25.966,qual,2023
147,angela andreoli,ITA,0,12.666,13.2,0,25.866,qual,2023
148,charlize mörz,AUT,12.7,0,0,12.766,25.466,qual,2023
149,maellyse brassart,BEL,13.133,12.266,0,0,25.399,qual,2023
150,lea marie quaas,none,0,0,12.566,12.7,25.266,qual,2023
151,csenge bacskay,HUN,13.8,11.3,0,0,25.1,qual,2023
152,amalia ghigoarta,ROU,0,12.6,12.433,0,25.033,qual,2023
153,darya yassinskaya,KAZ,12.766,0,0,12.166,24.932,qual,2023
154,eom dohyun,SKR,0,13.133,11.733,0,24.866,qual,2023
155,yelizaveta hubareva,UKR,0,12.9,11.966,0,24.866,qual,2023
156,nikolett szilagyi,HUN,0,0,12.4,12.066,24.466,qual,2023
157,rose woo,CAN,0,12.166,12.2,0,24.366,qual,2023
158,brisa carraro,ARG,0,12.5,0,11.433,23.933,qual,2023
159,leila martinez,ARG,12.4,0,11.5,0,23.9,qual,2023
160,klara peterkova,none,12.5,11.233,0,0,23.733,qual,2023
161,franchesca santi,CHI,12.4,11.1,0,0,23.5,qual,2023
162,julie erichsen,NOR,11.333,12.166,0,0,23.499,qual,2023
163,carina kröll,AUT,0,11.733,11.4,0,23.133,qual,2023
164,lucie trnkova,none,0,0,11.2,11.6,22.8,qual,2023
165,paulina campos,MEX,0,11.633,11.133,0,22.766,qual,2023
166,mariana parente,POR,0,0,10.666,11.766,22.432,qual,2023
167,marie rønbeck,NOR,0,0,10.533,10.933,21.466,qual,2023
168,huang zhuofan,CHN,0,14.533,0,0,14.533,qual,2023
169,ashikawa urara,JPN,0,0,14,0,14,qual,2023
170,sanne wevers,NED,0,0,13.733,0,13.733,qual,2023
171,sara pinilla,ESP,12.8,0,0,0,12.8,qual,2023
172,bilge tarhan,none,12.666,0,0,0,12.666,qual,2023
173,katrina jurevica,LAT,12.666,0,0,0,12.666,qual,2023
174,gulnaz jumabekova,UZB,12.6,0,0,0,12.6,qual,2023
175,magdalini tsiori,GRE,0,12.6,0,0,12.6,qual,2023
176,amina khalimarden,KAZ,12.4,0,0,0,12.4,qual,2023
177,tina zelcic,CRO,0,0,12.4,0,12.4,qual,2023
178,lorrane oliveira,BRA,0,12.033,0,0,12.033,qual,2023
179,alva eriksson,SWE,0,12.033,0,0,12.033,qual,2023
180,marta pihan-kulesza,POL,0,0,11.966,0,11.966,qual,2023
