Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual
36.0,4.6,7.9,0.0,12.5,2015,0,258,51,False,False,True
37.0,5.2,7.266,0.0,12.466,2015,0,70,49,False,False,True
38.0,4.9,7.466,0.0,12.366,2015,0,232,18,False,False,True
39.0,4.4,7.933,0.0,12.333,2015,0,43,53,False,False,True
40.0,4.9,7.633,0.0,12.333,2015,0,150,24,False,False,True
41.0,5.0,7.5,-0.3,12.2,2015,0,190,5,False,False,True
42.0,4.8,7.5,-0.1,12.2,2015,0,199,22,False,False,True
43.0,4.8,7.4,0.0,12.2,2015,0,194,40,False,False,True
44.0,4.9,7.533,-0.3,12.133,2015,0,51,52,False,False,True
45.0,4.6,7.533,0.0,12.133,2015,0,200,18,False,False,True
46.0,4.8,7.333,0.0,12.133,2015,0,223,17,False,False,True
47.0,4.4,7.7,0.0,12.1,2015,0,186,23,False,False,True
48.0,4.6,7.466,0.0,12.066,2015,0,101,24,False,False,True
49.0,4.2,7.833,0.0,12.033,2015,0,9,7,False,False,True
50.0,4.6,7.433,0.0,12.033,2015,0,168,15,False,False,True
51.0,5.2,7.133,-0.3,12.033,2015,0,173,19,False,False,True
52.0,5.0,7.366,-0.4,11.966,2015,0,6,9,False,False,True
53.0,4.5,7.4,0.0,11.9,2015,0,111,34,False,False,True
54.0,5.6,6.366,-0.1,11.866,2015,0,212,39,False,False,True
55.0,4.3,7.6,-0.1,11.8,2015,0,81,27,False,False,True
56.0,4.4,7.333,0.0,11.733,2015,0,78,40,False,False,True
57.0,4.9,6.833,0.0,11.733,2015,0,214,27,False,False,True
58.0,4.8,6.9,0.0,11.7,2015,0,255,27,False,False,True
59.0,5.0,6.8,-0.1,11.7,2015,0,213,17,False,False,True
60.0,4.9,7.066,-0.3,11.666,2015,0,197,15,False,False,True
61.0,5.2,6.433,0.0,11.633,2015,0,125,52,False,False,True
62.0,4.1,7.5,0.0,11.6,2015,0,230,9,False,False,True
63.0,4.2,7.4,0.0,11.6,2015,0,139,15,False,False,True
64.0,4.9,6.866,-0.3,11.466,2015,0,207,21,False,False,True
65.0,4.4,7.033,0.0,11.433,2015,0,24,27,False,False,True
66.0,5.2,6.266,-0.1,11.366,2015,0,260,56,False,False,True
67.0,4.2,7.1,0.0,11.3,2015,0,10,33,False,False,True
68.0,4.9,6.366,0.0,11.266,2015,0,71,56,False,False,True
69.0,3.8,7.433,0.0,11.233,2015,0,250,38,False,False,True
70.0,4.4,6.833,0.0,11.233,2015,0,247,40,False,False,True
71.0,4.4,6.9,-0.1,11.2,2015,0,264,34,False,False,True
72.0,3.6,7.5,0.0,11.1,2015,0,21,33,False,False,True
73.0,4.9,6.6,-0.4,11.1,2015,0,36,14,False,False,True
74.0,5.1,6.333,-0.4,11.033,2015,0,86,56,False,False,True
75.0,4.0,6.933,0.0,10.933,2015,0,23,7,False,False,True
76.0,4.6,6.433,-0.1,10.933,2015,0,198,40,False,False,True
77.0,4.0,7.2,-0.4,10.8,2015,0,189,5,False,False,True
78.0,3.6,7.2,0.0,10.8,2015,0,62,38,False,False,True
79.0,4.4,6.033,0.0,10.433,2015,0,149,38,False,False,True
