"","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10"
"606",0,3,1,11,1,6,3,1,8,2
"607",1,2,1,3,0,4,4,16,3,0
"608",2,1,2,5,6,0,0,0,0,0
"609",0,0,0,0,7,3,1,1,8,0
"610",1,4,1,0,1,4,1,0,1,6
"611",0,0,2,0,3,5,0,4,2,2
"612",3,16,0,4,4,0,5,4,4,0
"613",0,0,0,2,5,2,3,8,1,7
"614",7,3,2,5,1,3,2,0,4,1
"615",1,2,1,14,3,4,4,3,0,1
"616",4,3,1,1,4,5,1,0,2,1
"617",0,1,5,2,1,1,2,3,0,3
"618",1,2,4,0,2,0,2,2,3,0
"619",1,1,6,2,4,10,0,6,2,7
"620",0,9,5,0,0,0,1,2,2,5
"621",1,0,2,1,1,9,0,2,0,0
"622",1,0,3,1,2,8,1,0,0,0
"623",6,0,6,0,0,3,8,2,0,9
"624",2,1,4,0,5,1,2,3,5,2
"625",0,1,1,3,7,1,2,4,0,0
"626",1,0,3,7,0,0,3,2,8,4
"627",1,5,11,1,0,6,2,1,0,9
"628",5,7,0,1,2,0,1,9,16,1
"629",5,10,3,3,0,1,6,0,0,9
"630",3,1,4,1,0,0,0,10,3,2
"631",1,1,3,2,1,4,11,9,0,0
"632",5,3,1,6,0,1,1,1,1,8
"633",1,1,1,4,0,3,16,1,2,2
"634",4,0,2,0,2,1,1,1,0,8
"635",3,2,0,1,0,3,0,1,0,2
"636",5,10,0,0,1,0,6,2,3,9
"637",1,0,6,4,1,0,0,0,0,1
"638",8,2,10,4,2,1,1,0,1,2
"639",1,1,8,6,0,6,2,7,0,1
"640",1,0,2,7,0,1,0,5,0,5
"641",0,0,0,0,8,1,7,1,0,1
"642",1,0,0,6,2,0,0,7,2,4
"643",7,4,2,1,1,1,5,0,1,1
"644",1,1,0,0,1,2,2,1,1,3
"645",4,4,0,3,4,0,2,9,0,0
"646",2,13,2,0,1,4,2,15,2,2
"647",1,1,2,1,4,1,1,1,6,1
"648",0,4,6,8,1,2,0,8,1,0
"649",1,2,7,1,2,4,5,0,0,2
"650",3,5,1,5,1,2,0,2,4,1
"651",0,2,2,2,2,3,0,1,3,14
"652",1,0,0,11,0,3,3,1,5,0
"653",1,3,2,0,0,1,0,1,0,2
"654",13,0,1,3,5,1,2,0,1,2
"655",2,0,4,0,1,5,0,1,6,1
"656",3,0,2,1,0,1,0,1,12,5
"657",0,5,3,3,4,0,0,0,2,2
"658",0,3,3,0,5,1,2,0,4,3
"659",2,2,0,1,1,3,1,1,0,0
"660",2,2,2,0,2,2,5,7,6,0
"661",1,7,0,2,4,0,0,0,3,8
"662",3,1,8,4,3,0,2,1,2,4
"663",0,4,0,7,9,3,0,0,1,7
"664",1,0,7,0,0,0,0,0,0,1
"665",2,4,0,2,0,1,0,1,2,8
"666",1,1,6,3,3,0,2,0,4,3
"667",12,2,2,1,4,2,1,1,1,4
"668",4,3,1,5,4,0,0,5,2,13
"669",0,5,4,7,0,2,1,3,2,5
"670",3,1,5,1,5,1,1,2,0,1
"671",0,1,0,3,0,1,5,1,0,2
"672",2,1,3,0,3,4,0,0,1,5
"673",5,5,0,2,0,3,4,0,0,4
"674",1,0,3,1,2,0,0,1,0,5
"675",1,2,0,1,4,10,2,4,3,0
"676",1,0,0,7,1,2,0,5,1,9
"677",1,5,10,3,2,0,1,0,1,3
"678",2,4,1,1,0,10,13,0,15,6
"679",0,5,2,11,11,0,2,1,0,1
"680",0,8,2,8,1,3,0,1,6,2
"681",2,3,2,6,7,0,0,0,1,1
"682",4,3,18,0,4,0,0,0,1,2
"683",4,4,1,5,3,1,1,2,7,2
"684",11,1,1,3,1,0,0,0,3,3
"685",0,2,0,4,3,0,12,0,4,2
"686",6,1,4,1,2,2,1,2,3,4
"687",3,0,6,0,1,2,3,0,0,3
"688",0,0,6,2,0,5,0,0,7,3
"689",0,8,2,0,1,2,0,0,5,1
"690",0,0,4,2,1,4,0,0,3,1
"691",0,1,0,10,1,1,5,1,1,0
"692",1,0,0,0,1,3,5,0,4,5
"693",2,1,6,4,4,0,0,0,1,3
"694",4,3,5,2,10,0,7,2,8,1
"695",2,1,0,2,2,0,17,1,5,1
"696",3,1,2,4,2,1,6,0,2,0
"697",8,0,6,5,5,1,1,0,1,0
"698",4,0,1,0,1,0,0,3,0,1
"699",0,3,0,1,3,1,1,0,2,8
"700",3,0,2,4,0,6,2,11,1,0
"701",4,2,2,0,1,2,3,1,1,1
"702",2,3,2,0,8,5,3,1,3,3
"703",0,2,1,14,2,0,3,4,0,3
"704",0,0,1,1,2,4,0,0,0,0
"705",3,5,2,3,3,5,4,0,3,4
"706",3,4,0,5,0,0,3,1,1,5
"707",3,7,0,2,1,0,0,2,0,4
"708",0,5,0,2,6,0,0,0,1,3
"709",1,2,0,1,1,1,0,2,0,0
"710",1,0,2,0,4,4,4,0,0,7
"711",3,0,3,2,6,1,0,1,5,2
"712",1,6,4,3,2,4,0,3,0,2
"713",1,1,0,0,0,0,2,2,4,1
"714",11,1,8,4,2,4,1,4,7,1
"715",1,3,2,1,5,1,0,4,2,2
"716",0,1,2,1,1,1,0,3,7,0
"717",1,0,0,0,1,0,3,6,0,0
"718",4,3,3,0,0,5,2,6,5,4
"719",2,0,3,0,1,4,0,13,0,0
"720",7,8,0,0,0,4,2,2,1,0
"721",3,1,1,5,3,3,3,1,0,7
"722",2,0,0,7,5,1,0,0,1,2
"723",0,1,2,1,1,0,0,0,1,0
"724",8,3,2,6,3,1,0,7,0,0
"725",0,5,2,0,1,2,6,1,2,2
"726",1,3,1,3,1,3,3,6,4,9
"727",0,3,2,3,6,0,0,1,5,4
"728",3,2,3,3,0,8,1,3,0,0
"729",1,5,2,1,0,5,0,0,0,2
"730",0,2,0,0,1,3,0,1,1,1
"731",2,0,2,0,0,5,1,0,3,6
"732",1,1,0,4,0,1,0,8,5,3
"733",5,5,8,1,0,2,4,4,2,0
"734",1,0,4,1,0,3,0,1,5,5
"735",0,4,1,0,1,1,1,6,1,2
"736",1,0,2,3,4,6,3,4,0,3
"737",1,1,4,8,0,2,0,1,1,0
"738",1,1,0,3,5,1,2,5,5,6
"739",7,1,7,5,1,1,1,5,3,1
"740",0,1,3,3,1,1,2,1,0,1
"741",2,0,0,2,1,3,0,0,0,6
"742",1,0,4,2,0,2,8,6,1,1
"743",2,5,0,0,1,0,0,4,3,2
"744",0,0,2,1,0,3,3,3,3,10
"745",12,0,0,0,0,2,5,0,3,1
"746",4,1,5,3,2,0,0,8,3,2
"747",4,0,1,4,6,6,0,0,6,1
"748",1,0,3,1,4,0,2,1,0,6
"749",2,1,3,3,3,4,3,1,0,0
"750",1,11,1,14,0,0,4,8,2,1
"751",3,1,2,4,2,0,0,1,3,5
"752",15,3,3,0,2,0,0,0,2,2
"753",1,0,1,2,4,2,0,0,0,3
"754",2,0,1,0,2,1,0,2,0,2
"755",0,2,0,1,1,9,2,2,2,1
"756",0,3,8,6,5,0,0,5,0,7
"757",0,1,1,2,0,7,3,0,2,0
"758",3,0,0,2,3,3,0,12,0,3
"759",0,2,1,1,9,1,0,0,1,18
"760",1,0,3,8,7,0,2,0,8,1
"761",0,1,1,0,1,2,2,6,1,8
"762",0,0,16,1,0,0,0,2,1,2
"763",3,1,5,2,8,11,2,6,0,6
"764",7,15,3,5,0,1,3,2,0,0
"765",7,0,1,4,9,3,3,0,0,4
"766",5,3,0,0,4,2,1,2,0,0
"767",0,3,3,2,0,5,1,4,6,2
"768",2,1,1,1,1,0,1,4,11,3
"769",0,0,3,0,4,2,3,2,3,7
"770",2,3,0,1,4,3,1,9,0,3
"771",1,6,3,0,0,4,3,6,0,0
"772",2,2,0,2,0,5,0,0,4,0
"773",2,5,3,0,3,0,4,0,1,3
"774",1,13,0,2,1,2,0,0,1,0
"775",1,0,0,1,10,0,4,0,2,0
"776",0,2,0,0,2,1,8,6,1,3
"777",0,6,10,1,3,2,3,0,3,6
"778",0,0,1,0,1,4,1,0,0,0
"779",2,1,0,2,0,0,1,4,9,7
"780",2,6,1,2,1,1,4,1,0,1
"781",5,6,0,0,0,1,3,0,3,1
"782",10,6,8,1,1,0,5,1,7,16
"783",4,2,1,2,0,2,0,3,7,1
"784",3,1,1,2,1,1,13,2,2,1
"785",0,2,0,2,2,5,3,0,0,0
"786",0,1,3,0,3,2,1,2,0,12
"787",16,1,0,0,1,1,1,14,1,0
"788",0,0,2,4,2,0,0,1,16,1
"789",0,5,1,0,9,13,4,6,1,2
"790",1,6,0,3,0,1,0,0,0,0
"791",2,2,0,0,0,0,6,4,1,4
"792",0,0,0,2,5,3,0,0,7,0
"793",6,7,1,3,2,3,0,2,4,2
"794",3,1,0,6,0,3,0,0,0,2
"795",5,0,0,5,2,2,11,1,4,0
"796",2,0,1,2,0,0,7,0,6,1
"797",0,5,1,2,1,0,0,0,9,0
"798",19,1,2,3,1,1,32,0,2,0
"799",1,11,1,0,4,0,0,0,4,0
"800",5,2,5,1,2,9,2,4,1,1
"801",1,0,1,0,0,0,1,3,2,4
"802",1,2,1,1,2,3,2,0,2,0
"803",6,0,2,3,1,12,1,1,0,0
"804",3,0,0,2,4,0,4,0,1,0
"805",1,4,0,7,1,6,3,4,0,0
"806",4,0,4,4,1,1,8,5,2,0
"807",1,1,6,0,0,1,14,3,1,3
"808",0,3,0,1,2,2,6,4,0,0
"809",1,6,0,9,2,10,2,2,6,1
"810",1,1,0,9,3,1,0,7,9,8
"811",3,3,6,3,3,8,7,0,0,7
"812",1,0,0,1,3,1,1,6,6,5
"813",12,0,0,0,10,2,1,0,2,3
"814",0,4,0,1,0,0,5,1,1,5
"815",0,0,1,5,8,0,4,1,3,3
"816",2,5,3,0,0,1,3,1,0,0
"817",3,5,1,1,3,10,0,0,0,10
"818",1,0,4,4,3,3,2,0,0,1
"819",0,3,3,0,9,1,1,0,0,2
"820",6,3,2,2,0,7,5,0,0,6
"821",1,1,0,2,0,7,0,5,0,1
"822",6,3,2,3,0,1,0,1,1,4
"823",0,4,0,2,0,4,23,0,3,1
"824",2,0,4,0,1,4,6,1,1,2
"825",0,1,2,1,1,0,0,1,4,2
"826",0,1,1,5,1,2,2,6,0,1
"827",3,0,3,11,16,3,2,0,0,8
"828",0,0,0,7,0,1,9,4,0,0
"829",1,2,1,0,0,9,2,0,2,4
"830",0,2,1,5,1,0,0,1,9,7
"831",3,2,0,2,1,0,0,1,1,0
"832",1,0,6,3,5,0,7,0,1,1
"833",7,2,0,0,3,1,3,1,2,4
"834",0,5,0,6,10,0,7,1,0,0
"835",5,1,0,0,0,5,0,2,8,4
"836",2,2,2,1,1,2,1,8,1,1
"837",2,0,8,0,0,0,3,3,0,1
"838",7,6,0,3,5,2,3,0,1,0
"839",2,2,2,1,0,0,5,0,0,4
"840",2,2,0,5,1,10,1,0,2,0
"841",0,4,10,0,1,0,7,6,0,6
"842",5,0,0,2,1,4,3,0,1,1
"843",1,11,1,3,4,6,4,4,7,2
"844",3,0,0,11,2,3,2,5,3,3
"845",17,3,1,0,1,0,0,1,0,2
"846",0,0,0,2,2,9,2,0,0,0
"847",8,4,4,3,7,0,1,2,0,2
"848",3,1,4,0,1,2,0,0,6,0
"849",0,0,0,2,6,0,1,5,12,0
"850",1,0,0,3,1,0,2,6,9,0
"851",0,0,6,3,0,2,10,3,0,1
"852",3,0,6,0,3,2,1,0,4,0
"853",9,10,0,2,3,2,0,4,2,0
"854",1,1,1,2,1,3,7,0,0,1
"855",3,0,1,12,0,3,8,1,1,2
"856",1,5,2,8,4,0,0,11,2,1
"857",5,1,0,11,1,1,2,8,2,3
"858",7,8,0,1,1,10,0,1,4,2
"859",3,2,0,2,0,2,3,3,0,1
"860",0,3,3,6,6,2,1,1,5,3
"861",5,2,1,0,3,2,3,1,1,2
"862",1,0,0,0,0,0,5,3,0,2
"863",2,1,1,1,0,1,6,3,0,3
"864",1,9,2,0,3,2,7,0,1,1
"865",8,0,0,0,6,5,3,1,0,2
"866",1,0,0,3,2,8,0,1,6,0
"867",4,0,1,3,0,3,3,1,1,1
"868",1,6,0,0,0,0,1,2,0,0
"869",2,0,3,0,0,2,11,2,1,3
"870",13,1,0,2,0,0,8,10,1,4
"871",6,0,0,0,1,0,0,7,4,0
"872",0,0,5,3,0,1,0,7,0,11
"873",2,2,0,6,0,0,0,1,0,8
"874",0,0,1,1,2,0,7,3,2,7
"875",7,1,1,0,6,5,2,0,0,8
"876",8,0,9,0,0,0,2,3,0,0
"877",2,14,2,1,1,0,4,0,1,3
"878",7,5,1,3,5,2,10,8,6,5
"879",0,3,1,0,5,1,2,2,0,4
"880",0,0,4,8,0,0,6,1,0,6
"881",5,3,0,1,7,1,2,0,0,1
"882",8,1,7,0,3,3,4,0,0,5
"883",3,1,10,0,1,1,8,1,0,0
"884",1,0,3,0,6,3,2,7,1,5
"885",4,0,5,1,1,3,4,16,1,0
"886",11,3,0,0,0,0,0,2,0,0
"887",4,3,0,1,2,1,7,0,3,0
"888",2,3,1,1,3,3,0,1,0,2
"889",2,8,0,1,0,3,8,5,0,0
"890",0,1,4,4,3,4,2,1,3,0
"891",0,0,6,0,0,1,2,7,1,2
"892",3,7,2,0,9,1,0,2,1,19
"893",9,10,0,0,5,0,0,2,6,1
"894",0,10,0,2,3,0,1,7,1,2
"895",6,6,0,2,3,0,2,0,2,0
"896",0,3,1,0,1,7,2,0,6,3
"897",0,0,5,6,6,1,3,0,2,0
"898",2,6,1,2,3,0,3,1,0,3
"899",3,3,0,2,2,1,1,1,0,1
"900",0,1,1,2,2,0,1,0,2,3
"901",3,2,1,2,1,1,0,4,1,0
"902",1,8,1,0,1,4,4,1,2,2
"903",1,5,3,1,1,1,0,0,1,0
"904",0,0,2,2,0,2,0,2,3,1
"905",0,3,1,6,1,1,2,2,0,1
"906",1,1,3,9,1,0,0,3,0,1
"907",4,0,0,1,1,1,4,4,5,0
"908",2,6,0,3,3,1,0,5,0,3
"909",0,1,4,0,0,4,0,6,0,2
"910",0,3,2,2,2,0,5,1,2,0
"911",2,0,4,3,0,2,0,2,2,1
"912",0,4,0,0,4,1,1,2,3,3
"913",7,0,6,11,0,11,0,6,0,0
"914",3,0,1,0,0,0,2,4,0,6
"915",0,0,0,1,2,1,2,2,3,1
"916",1,1,1,0,0,3,4,0,7,0
"917",0,3,3,6,3,2,0,4,0,0
"918",4,1,0,0,0,1,0,2,8,1
"919",0,6,1,0,2,2,6,2,8,2
"920",3,0,1,2,6,0,0,0,3,1
"921",3,2,2,2,1,5,2,0,3,1
"922",4,5,1,1,3,0,6,1,3,0
"923",2,7,1,1,12,4,0,1,0,6
"924",0,0,1,0,0,1,7,0,5,11
"925",1,0,1,4,1,1,4,1,4,2
"926",0,0,1,0,0,4,8,6,0,1
"927",1,3,0,5,2,1,0,9,1,0
"928",7,4,1,1,4,0,2,2,0,0
"929",1,3,0,0,1,0,0,0,0,3
"930",1,1,15,3,2,1,1,7,0,6
"931",5,0,0,0,0,0,1,3,3,0
"932",3,2,2,0,2,0,7,3,12,2
"933",4,3,0,1,2,5,0,0,2,1
"934",4,2,0,10,1,1,2,1,0,3
"935",0,1,8,0,2,3,0,0,1,5
"936",0,4,0,8,1,4,3,1,0,1
"937",3,1,1,0,0,1,0,0,3,1
"938",4,2,1,17,2,4,3,5,2,0
"939",3,4,1,11,2,6,4,0,0,1
"940",1,0,10,0,0,3,0,0,1,0
"941",7,5,1,0,0,1,0,0,0,0
"942",1,0,0,0,2,4,0,3,0,0
"943",3,1,0,3,0,1,5,10,1,2
"944",0,4,0,0,0,3,3,2,0,4
"945",3,3,4,3,0,0,3,0,4,2
"946",1,1,4,0,0,1,1,0,0,0
"947",2,1,5,0,0,0,2,6,7,1
"948",0,1,0,1,6,0,2,0,1,4
"949",1,0,2,0,1,4,1,7,0,0
"950",0,3,5,1,0,5,5,0,4,1
"951",1,3,1,1,1,1,0,0,4,0
"952",0,1,0,3,5,1,1,0,4,5
"953",1,0,1,3,5,3,2,13,1,2
"954",0,0,5,1,2,2,0,1,2,1
"955",3,3,4,1,0,3,3,0,1,3
"956",7,3,2,2,1,0,6,4,4,7
"957",0,0,3,0,2,2,6,2,2,1
"958",5,5,0,2,7,0,4,3,7,0
"959",1,1,5,1,0,0,1,0,1,0
"960",0,0,3,0,5,11,0,5,1,5
"961",5,2,2,3,0,8,2,0,0,1
"962",0,3,2,0,7,10,4,3,3,2
"963",3,2,0,0,2,0,0,1,2,2
"964",16,3,2,2,4,4,1,5,8,5
"965",0,1,0,1,0,1,4,5,3,1
"966",2,5,0,4,0,4,6,9,1,3
"967",1,3,0,9,0,0,0,0,15,2
"968",7,1,4,7,3,1,3,0,1,0
"969",2,6,0,3,1,4,1,4,0,3
"970",1,0,2,2,1,0,2,1,2,2
"971",2,3,2,0,1,0,6,1,0,2
"972",0,0,0,5,13,0,6,1,0,0
"973",5,0,0,2,3,6,7,1,0,7
"974",6,5,0,3,0,5,6,8,9,3
"975",2,5,1,0,0,3,6,1,0,1
"976",0,2,1,0,0,0,4,1,0,0
"977",3,0,0,3,2,1,9,8,2,1
"978",0,5,3,17,0,5,5,1,5,1
"979",0,0,0,5,0,0,14,0,0,2
"980",1,0,14,5,0,0,2,4,0,0
"981",7,0,1,1,0,5,1,5,3,0
"982",0,1,0,2,0,2,0,3,11,2
"983",1,1,4,1,1,0,0,0,0,0
"984",4,0,2,2,2,0,1,2,0,0
"985",2,0,1,1,2,0,1,2,0,1
"986",3,6,4,0,6,1,4,4,1,2
"987",0,3,0,0,3,0,5,5,14,3
"988",1,3,0,3,1,5,6,4,0,0
"989",0,5,1,1,1,1,4,6,6,1
"990",0,1,2,1,0,0,1,1,1,5
"991",1,0,1,1,0,0,0,4,0,0
"992",4,0,0,12,2,0,0,0,0,4
"993",2,3,2,6,15,4,0,3,5,7
"994",7,0,0,1,3,0,2,0,2,3
"995",0,1,3,0,1,6,4,1,1,0
"996",0,1,8,8,0,1,1,4,2,0
"997",6,1,0,0,5,1,3,3,2,2
"998",5,3,0,7,0,4,0,4,1,2
"999",0,1,1,3,0,3,0,0,3,1
"1000",3,0,2,5,1,3,0,1,0,6
