Rank,FX,PH,SR,VT,PB,HB,AA,Nation,year,Name,round_final,round_qual
,11.933,13.166,0.0,13.966,13.0,12.966,65.031,Egypt,2022,10,False,True
,12.7,10.2,0.0,14.066,14.766,13.166,64.898,Spain,2022,279,False,True
,14.533,13.433,0.0,14.633,14.966,7.133,64.698,Britain,2022,131,False,True
86.0,10.6,4.533,11.766,13.1,13.0,11.666,64.665,Kazakhstan,2022,102,False,True
,0.0,12.766,13.3,13.5,12.966,11.866,64.398,France,2022,60,False,True
,13.633,11.033,12.866,13.866,0.0,12.7,64.098,Netherlands,2022,188,False,True
,13.266,0.0,12.733,13.733,13.166,10.233,63.131,Kazakhstan,2022,92,False,True
,12.033,11.766,0.0,13.433,13.366,12.166,62.764,Romania,2022,321,False,True
,10.666,12.066,0.0,12.633,13.866,10.366,59.597,Ukraine,2022,266,False,True
,14.766,14.466,0.0,14.566,0.0,13.8,57.598,Japan,2022,93,False,True
,0.0,13.0,0.0,14.033,15.2,12.933,55.166,Turkey,2022,116,False,True
,14.733,12.166,0.0,14.2,0.0,13.833,54.932,Kazakhstan,2022,259,False,True
,13.166,14.166,13.466,0.0,14.133,0.0,54.931,Germany,2022,286,False,True
,13.866,0.0,0.0,13.8,13.966,13.2,54.832,Hungary,2022,52,False,True
,0.0,13.433,13.666,14.3,0.0,13.133,54.532,Germany,2022,22,False,True
,0.0,13.633,14.633,0.0,12.7,13.233,54.199,China,2022,402,False,True
,13.3,12.666,0.0,14.466,0.0,13.666,54.098,China,2022,396,False,True
,12.1,0.0,13.333,14.0,14.6,0.0,54.033,Romania,2022,23,False,True
,12.2,12.966,0.0,13.4,0.0,14.833,53.399,China,2022,353,False,True
,0.0,12.4,12.766,0.0,14.4,13.633,53.199,Canada,2022,329,False,True
,13.366,0.0,0.0,13.6,13.3,12.333,52.599,Netherlands,2022,242,False,True
,0.0,11.433,13.033,0.0,14.3,13.433,52.199,Taiwan,2022,149,False,True
,12.7,0.0,0.0,13.633,13.666,11.733,51.732,Germany,2022,297,False,True
,12.233,0.0,13.566,0.0,13.833,12.033,51.665,France,2022,246,False,True
,0.0,14.2,12.8,0.0,13.866,10.733,51.599,Canada,2022,408,False,True
,10.366,13.0,13.833,14.2,0.0,0.0,51.399,Taiwan,2022,224,False,True
,12.433,12.233,0.0,13.6,12.566,0.0,50.832,Austria,2022,317,False,True
,11.866,11.833,12.633,14.3,0.0,0.0,50.632,Switzerland,2022,119,False,True
,0.0,13.0,12.1,0.0,12.566,12.866,50.532,Korea,2022,221,False,True
,0.0,11.9,12.766,0.0,11.733,13.833,50.232,Brazil,2022,229,False,True
,12.0,12.766,0.0,0.0,12.4,12.766,49.932,Egypt,2022,0,False,True
,13.8,9.966,0.0,13.866,0.0,12.066,49.698,Turkey,2022,13,False,True
,0.0,11.666,12.8,0.0,12.166,12.166,48.798,Ukraine,2022,296,False,True
,11.633,9.9,0.0,13.566,11.066,0.0,46.165,Zealand,2022,392,False,True
,0.0,0.0,14.5,0.0,15.433,14.4,44.333,Japan,2022,199,False,True
,0.0,14.833,13.166,0.0,13.766,0.0,41.765,Netherlands,2022,226,False,True
,14.266,13.3,0.0,13.666,0.0,0.0,41.232,France,2022,47,False,True
,14.066,0.0,12.9,14.2,0.0,0.0,41.166,Brazil,2022,407,False,True
,13.0,13.866,0.0,14.133,0.0,0.0,40.999,Israel,2022,31,False,True
,13.933,0.0,13.6,13.433,0.0,0.0,40.966,Spain,2022,313,False,True
,14.1,11.933,0.0,14.4,0.0,0.0,40.433,Canada,2022,391,False,True
,0.0,13.5,0.0,0.0,14.366,12.4,40.266,Spain,2022,365,False,True
,0.0,12.533,0.0,0.0,13.866,13.7,40.099,Switzerland,2022,357,False,True
,0.0,12.2,0.0,0.0,13.2,14.333,39.733,Australia,2022,376,False,True
,0.0,0.0,11.866,0.0,12.766,14.333,38.965,Australia,2022,261,False,True
,11.866,0.0,13.6,0.0,13.466,0.0,38.932,Turkey,2022,406,False,True
,0.0,11.733,13.366,0.0,0.0,12.466,37.565,Romania,2022,371,False,True
,0.0,0.0,0.0,13.7,13.566,10.066,37.332,Mexico,2022,161,False,True
,13.033,11.066,0.0,13.1,0.0,0.0,37.199,Australia,2022,171,False,True
,0.0,0.0,14.666,0.0,15.7,0.0,30.366,China,2022,412,False,True
,0.0,0.0,14.666,14.7,0.0,0.0,29.366,Britain,2022,76,False,True
,14.266,0.0,0.0,14.7,0.0,0.0,28.966,Korea,2022,208,False,True
,0.0,0.0,0.0,0.0,14.833,14.1,28.933,Cyprus,2022,240,False,True
,0.0,0.0,13.866,14.7,0.0,0.0,28.566,Ukraine,2022,155,False,True
,0.0,0.0,0.0,0.0,13.333,14.3,27.633,Lithuania,2022,324,False,True
,0.0,0.0,0.0,0.0,14.233,13.266,27.499,Uzbekistan,2022,311,False,True
,0.0,13.233,0.0,0.0,0.0,14.066,27.299,Italy,2022,62,False,True
,0.0,0.0,0.0,0.0,12.633,14.466,27.099,Cyprus,2022,158,False,True
,0.0,0.0,0.0,0.0,13.633,13.3,26.933,Zealand,2022,258,False,True
,0.0,13.366,13.3,0.0,0.0,0.0,26.666,Hungary,2022,44,False,True
,13.0,0.0,0.0,0.0,13.633,0.0,26.633,Uzbekistan,2022,380,False,True
,0.0,0.0,13.933,0.0,0.0,12.366,26.299,Austria,2022,386,False,True
,0.0,0.0,0.0,0.0,13.4,12.733,26.133,Greece,2022,285,False,True
,0.0,12.7,0.0,0.0,13.133,0.0,25.833,Algeria,2022,145,False,True
,0.0,13.2,0.0,0.0,12.466,0.0,25.666,Colombia,2022,177,False,True
,12.133,0.0,0.0,13.5,0.0,0.0,25.633,Israel,2022,26,False,True
,0.0,11.2,0.0,0.0,0.0,14.0,25.2,Israel,2022,19,False,True
,0.0,15.233,0.0,0.0,0.0,0.0,15.233,Ireland,2022,316,False,True
,0.0,15.233,0.0,0.0,0.0,0.0,15.233,States,2022,350,False,True
,0.0,15.033,0.0,0.0,0.0,0.0,15.033,Kazakhstan,2022,267,False,True
,0.0,0.0,0.0,14.9,0.0,0.0,14.9,Armenia,2022,34,False,True
,0.0,14.7,0.0,0.0,0.0,0.0,14.7,Armenia,2022,140,False,True
,0.0,0.0,14.566,0.0,0.0,0.0,14.566,Armenia,2022,381,False,True
,0.0,0.0,14.466,0.0,0.0,0.0,14.466,Armenia,2022,33,False,True
,0.0,14.4,0.0,0.0,0.0,0.0,14.4,Croatia,2022,118,False,True
,0.0,14.366,0.0,0.0,0.0,0.0,14.366,Jordan,2022,9,False,True
,14.266,0.0,0.0,0.0,0.0,0.0,14.266,Croatia,2022,41,False,True
,0.0,0.0,14.133,0.0,0.0,0.0,14.133,Cyprus,2022,345,False,True
,0.0,0.0,0.0,14.0,0.0,0.0,14.0,Kong,2022,341,False,True
,0.0,0.0,0.0,13.966,0.0,0.0,13.966,Ireland,2022,110,False,True
,0.0,0.0,13.966,0.0,0.0,0.0,13.966,Azerbaijan,2022,282,False,True
,0.0,0.0,13.8,0.0,0.0,0.0,13.8,Egypt,2022,20,False,True
,0.0,0.0,0.0,0.0,13.566,0.0,13.566,Greece,2022,348,False,True
,13.533,0.0,0.0,0.0,0.0,0.0,13.533,Norway,2022,283,False,True
,0.0,0.0,0.0,0.0,0.0,13.2,13.2,Croatia,2022,368,False,True
,0.0,0.0,13.033,0.0,0.0,0.0,13.033,Greece,2022,212,False,True
,0.0,0.0,0.0,12.933,0.0,0.0,12.933,Taiwan,2022,375,False,True
,12.9,0.0,0.0,0.0,0.0,0.0,12.9,Ireland,2022,98,False,True
,0.0,0.0,0.0,0.0,12.5,0.0,12.5,Israel,2022,157,False,True
,0.0,0.0,0.0,12.3,0.0,0.0,12.3,Finland,2022,14,False,True
,0.0,0.0,12.066,0.0,0.0,0.0,12.066,Greece,2022,347,False,True
,12.0,0.0,0.0,0.0,0.0,0.0,12.0,Slovenia,2022,284,False,True
1.0,14.666,14.333,13.866,14.9,15.0,14.433,87.198,Japan,2022,141,True,False
2.0,14.033,14.233,14.1,14.9,15.066,14.433,86.765,China,2022,411,True,False
3.0,14.266,13.766,13.833,15.0,14.766,13.6,85.231,Japan,2022,361,True,False
4.0,14.133,13.766,13.666,14.5,14.366,14.5,84.931,States,2022,56,True,False
5.0,14.433,13.333,13.0,14.8,14.166,13.133,82.865,Britain,2022,169,True,False
6.0,14.266,13.7,13.833,14.166,14.9,11.5,82.365,States,2022,37,True,False
7.0,14.0,13.933,12.666,14.3,14.6,12.866,82.365,Ukraine,2022,159,True,False
8.0,15.166,11.9,13.8,14.166,15.166,11.9,82.098,Philippines,2022,63,True,False
9.0,14.133,13.033,13.366,14.0,13.366,14.066,81.964,Taiwan,2022,359,True,False
10.0,13.766,12.766,13.7,12.7,14.566,14.133,81.631,Brazil,2022,57,True,False
11.0,13.666,13.2,12.9,13.766,15.166,12.9,81.598,Germany,2022,233,True,False
12.0,14.0,12.733,13.8,14.233,13.733,13.0,81.499,Netherlands,2022,64,True,False
13.0,12.966,12.833,13.1,14.233,14.333,12.866,80.331,Italy,2022,227,True,False
14.0,13.7,12.6,13.066,13.7,14.066,12.833,79.965,Hungary,2022,215,True,False
15.0,12.833,12.7,12.866,13.2,14.433,13.8,79.832,Hungary,2022,214,True,False
16.0,13.8,11.266,13.233,13.733,14.2,13.433,79.665,Spain,2022,271,True,False
17.0,12.766,13.433,12.9,14.266,12.433,13.866,79.664,Brazil,2022,88,True,False
18.0,14.333,11.533,13.233,14.7,12.766,13.033,79.598,Spain,2022,185,True,False
19.0,12.766,12.7,12.766,14.466,13.3,12.933,78.931,Norway,2022,344,True,False
20.0,13.333,10.566,12.8,14.133,14.066,13.366,78.264,Belgium,2022,232,True,False
21.0,13.566,13.666,13.166,13.866,13.066,9.9,77.23,Italy,2022,405,True,False
22.0,13.866,13.166,13.6,12.833,11.533,12.1,77.098,Britain,2022,183,True,False
23.0,13.1,10.166,13.133,14.5,13.4,12.6,76.899,Romania,2022,126,True,False
24.0,13.166,10.4,11.566,14.4,12.366,13.5,75.398,Colombia,2022,194,True,False
1.0,14.25,14.35,13.6,14.45,13.9,13.4,83.95,USA,2022,387,True,False
2.0,13.55,15.342,12.55,15.244,13.75,13.1,83.536,USA,2022,206,True,False
3.0,14.029,12.949,14.566,16.68,14.355,10.45,83.029,USA,2022,36,True,False
4.0,13.4,13.789,14.116,13.4,15.543,11.4,81.648,USA,2022,403,True,False
5.0,12.45,12.75,13.25,14.897,15.055,13.1,81.502,USA,2022,73,True,False
6.0,13.2,13.6,12.95,14.594,14.15,12.7,81.194,USA,2022,362,True,False
7.0,13.65,13.5,13.75,13.55,13.3,13.3,81.05,USA,2022,151,True,False
8.0,12.7,13.6,13.6,14.747,14.1,12.3,81.047,USA,2022,319,True,False
9.0,13.45,11.7,13.3,14.847,13.7,13.15,80.147,USA,2022,72,True,False
10.0,12.6,13.6,12.95,14.0,13.4,13.15,79.7,USA,2022,409,True,False
11.0,13.2,11.8,13.2,14.4,13.75,12.95,79.3,USA,2022,124,True,False
12.0,13.45,11.85,11.9,14.1,14.05,13.45,78.8,USA,2022,312,True,False
13.0,13.15,13.2,13.5,13.45,12.1,13.25,78.65,USA,2022,150,True,False
14.0,11.2,12.7,13.5,13.35,14.1,13.65,78.5,USA,2022,255,True,False
15.0,13.15,12.7,12.15,14.25,12.85,12.95,78.05,USA,2022,162,True,False
16.0,12.15,12.95,13.05,13.45,13.2,13.15,77.95,USA,2022,278,True,False
17.0,13.35,11.35,13.2,14.1,13.25,12.55,77.8,USA,2022,108,True,False
18.0,12.4,13.35,12.9,13.15,13.15,12.4,77.35,USA,2022,257,True,False
19.0,12.55,12.05,12.65,13.9,13.05,12.85,77.05,USA,2022,179,True,False
20.0,13.25,11.2,12.8,13.95,12.05,13.35,76.6,USA,2022,167,True,False
21.0,13.4,12.55,12.85,13.7,11.7,12.05,76.25,USA,2022,245,True,False
22.0,12.2,13.05,12.1,13.5,13.2,12.15,76.2,USA,2022,288,True,False
23.0,12.55,13.0,12.4,14.0,10.6,13.25,75.8,USA,2022,369,True,False
24.0,12.85,12.9,13.05,12.2,13.15,11.65,75.8,USA,2022,128,True,False
25.0,12.6,12.85,12.2,13.25,11.85,12.8,75.55,USA,2022,172,True,False
26.0,12.6,11.35,11.85,14.15,12.4,12.6,74.95,USA,2022,218,True,False
27.0,12.7,11.5,13.05,14.0,12.65,10.1,74.0,USA,2022,254,True,False
28.0,11.85,12.25,11.95,13.9,12.4,11.65,74.0,USA,2022,122,True,False
29.0,10.15,12.1,13.5,14.2,11.05,12.95,73.95,USA,2022,247,True,False
30.0,11.75,12.893,11.45,13.6,11.95,11.4,73.043,USA,2022,154,True,False
31.0,12.2,9.6,12.25,14.6,12.75,11.25,72.65,USA,2022,201,True,False
32.0,12.05,9.5,12.5,13.25,13.1,11.85,72.25,USA,2022,71,True,False
33.0,11.5,10.0,12.8,13.2,11.75,12.75,72.0,USA,2022,109,True,False
34.0,11.75,11.75,12.05,12.9,11.5,12.0,71.95,USA,2022,58,True,False
35.0,12.95,12.15,0.0,14.25,12.7,11.65,63.7,USA,2022,323,True,False
36.0,0.0,0.0,0.0,14.7,16.343,13.757,63.7,USA,2022,77,True,False
37.0,13.55,0.0,14.445,13.0,0.0,0.0,40.995,USA,2022,16,True,False
38.0,0.0,13.1,0.0,0.0,11.4,0.0,24.5,USA,2022,50,True,False
1.0,13.9,14.7,13.666,14.333,14.7,14.5,85.799,Japan,2023,66,False,True
2.0,14.1,14.066,14.2,14.266,14.8,14.166,85.598,Japan,2023,200,False,True
3.0,14.5,13.266,13.7,14.366,14.6,15.0,85.432,Japan,2023,141,False,True
4.0,14.366,13.9,13.233,14.0,14.566,13.966,84.031,Britain,2023,169,False,True
5.0,13.966,14.033,13.833,13.5,14.466,13.833,83.631,Britain,2023,173,False,True
6.0,14.6,14.2,13.4,14.533,14.6,12.233,83.566,States,2023,123,False,True
7.0,14.5,12.2,13.166,14.566,14.2,14.6,83.232,Kazakhstan,2023,259,False,True
8.0,14.3,13.1,13.966,14.766,14.833,12.2,83.165,States,2023,37,False,True
9.0,15.1,13.5,12.833,14.4,13.866,13.3,82.999,Israel,2023,31,False,True
10.0,13.8,12.866,14.166,14.566,13.866,13.366,82.63,Türkiye,2023,7,False,True
11.0,13.533,13.5,13.5,13.966,14.0,14.033,82.532,Italy,2023,405,False,True
12.0,14.2,12.766,13.366,14.066,14.333,13.733,82.464,Switzerland,2023,289,False,True
13.0,13.433,13.233,12.966,13.866,15.3,13.566,82.364,Germany,2023,233,False,True
14.0,13.6,12.966,13.633,14.2,14.233,13.466,82.098,China,2023,353,False,True
15.0,13.6,13.2,13.566,14.566,14.0,13.133,82.065,Italy,2023,227,False,True
16.0,13.233,13.833,13.833,15.033,13.2,12.9,82.032,Armenia,2023,34,False,True
17.0,13.5,12.933,13.666,14.233,13.8,13.866,81.998,Canada,2023,315,False,True
18.0,14.2,13.5,13.7,14.133,14.2,12.2,81.933,Hungary,2023,215,False,True
19.0,13.133,14.366,13.133,14.266,15.233,11.8,81.931,Ukraine,2023,159,False,True
20.0,14.2,13.366,12.933,14.266,13.866,13.233,81.864,Switzerland,2023,119,False,True
21.0,13.533,13.133,13.933,14.366,13.6,13.266,81.831,Netherlands,2023,64,False,True
22.0,13.633,13.2,13.1,14.5,14.166,13.2,81.799,Italy,2023,239,False,True
23.0,13.633,12.666,13.566,14.3,14.0,13.5,81.665,Korea,2023,222,False,True
24.0,13.633,13.9,12.466,14.033,13.933,13.433,81.398,Israel,2023,157,False,True
25.0,14.266,12.966,13.4,14.166,12.766,13.6,81.164,Türkiye,2023,13,False,True
26.0,12.866,13.766,13.0,14.033,14.233,13.166,81.064,Brazil,2023,88,False,True
27.0,14.166,13.1,13.6,13.2,13.8,13.033,80.899,Spain,2023,271,False,True
28.0,13.633,13.6,13.3,14.0,14.366,11.9,80.799,Spain,2023,365,False,True
29.0,13.933,12.066,12.8,14.4,14.366,13.233,80.798,Belgium,2023,232,False,True
30.0,13.633,11.666,13.5,14.5,14.4,12.966,80.665,Romania,2023,23,False,True
31.0,13.233,13.966,13.1,14.0,13.133,13.233,80.665,Uzbekistan,2023,205,False,True
32.0,13.733,13.466,13.533,13.966,13.266,12.666,80.63,Azerbaijan,2023,166,False,True
33.0,13.2,12.8,13.066,14.3,13.933,13.2,80.499,Norway,2023,344,False,True
34.0,14.0,13.3,13.2,12.833,12.8,13.933,80.066,Germany,2023,297,False,True
35.0,13.6,11.966,13.366,13.866,13.533,13.6,79.931,Brazil,2023,299,False,True
36.0,13.7,14.333,12.366,13.833,12.533,13.1,79.865,Uzbekistan,2023,3,False,True
37.0,13.566,12.333,12.9,14.0,13.666,13.2,79.665,Egypt,2023,291,False,True
38.0,13.833,12.133,12.566,14.2,13.666,13.266,79.664,Australia,2023,70,False,True
39.0,13.233,12.4,13.266,13.933,13.766,13.033,79.631,Finland,2023,294,False,True
40.0,12.433,12.066,13.4,14.366,14.133,13.066,79.464,Cyprus,2023,158,False,True
41.0,13.533,12.0,12.866,13.366,14.8,12.6,79.165,Ukraine,2023,290,False,True
42.0,13.733,10.5,12.933,13.7,14.5,13.666,79.032,Netherlands,2023,180,False,True
43.0,12.2,13.6,11.8,14.4,13.7,13.233,78.933,Uzbekistan,2023,380,False,True
44.0,13.3,12.0,13.3,14.366,13.0,12.9,78.866,France,2023,234,False,True
45.0,13.5,14.8,12.066,13.5,13.366,11.633,78.865,Taiwan,2023,220,False,True
46.0,13.266,12.1,12.866,14.2,13.066,13.1,78.598,Norway,2023,138,False,True
47.0,13.333,13.366,13.0,12.966,12.7,13.233,78.598,Israel,2023,378,False,True
48.0,13.9,12.366,12.733,13.766,12.933,12.866,78.564,Portugal,2023,190,False,True
49.0,13.1,13.666,13.033,13.466,12.166,13.066,78.497,Canada,2023,408,False,True
50.0,13.233,11.866,12.7,13.766,13.933,12.5,77.998,Egypt,2023,262,False,True
51.0,12.866,12.533,13.033,13.866,13.9,11.633,77.831,Zealand,2023,258,False,True
52.0,12.666,14.6,12.266,13.333,12.733,12.133,77.731,Armenia,2023,127,False,True
53.0,13.5,13.1,13.233,13.966,12.7,11.166,77.665,Hungary,2023,46,False,True
54.0,14.033,12.666,14.133,9.5,13.766,13.333,77.431,Canada,2023,391,False,True
55.0,13.3,11.666,12.8,13.833,12.866,12.966,77.431,Austria,2023,39,False,True
56.0,13.366,11.966,12.166,13.966,13.7,12.066,77.23,Mexico,2023,161,False,True
57.0,12.266,12.633,12.966,14.966,11.6,12.7,77.131,Ukraine,2023,269,False,True
58.0,13.366,12.066,12.566,13.8,12.966,12.366,77.13,Colombia,2023,24,False,True
59.0,12.966,12.233,11.9,13.566,13.833,12.533,77.031,Hungary,2023,214,False,True
60.0,13.833,9.166,13.333,14.133,13.533,12.866,76.864,France,2023,181,False,True
61.0,12.466,11.966,11.966,13.533,13.933,12.966,76.83,Greece,2023,285,False,True
62.0,13.366,12.0,12.766,13.933,13.3,11.3,76.665,Australia,2023,174,False,True
63.0,13.9,11.7,12.5,13.8,13.133,11.6,76.633,Poland,2023,333,False,True
64.0,12.666,12.7,12.133,13.5,13.366,12.233,76.598,Argentina,2023,330,False,True
65.0,11.9,13.6,13.5,13.966,10.6,12.9,76.466,Finland,2023,101,False,True
66.0,13.633,12.766,12.466,14.333,12.266,10.933,76.397,Bulgaria,2023,204,False,True
67.0,13.166,12.866,11.866,13.866,12.733,11.6,76.097,Lithuania,2023,324,False,True
68.0,12.933,11.566,11.633,14.033,12.1,13.8,76.065,Cuba,2023,89,False,True
69.0,13.3,12.266,11.3,14.066,12.666,12.466,76.064,Romania,2023,321,False,True
70.0,12.766,11.7,12.833,14.033,13.333,11.1,75.765,Iceland,2023,383,False,True
71.0,12.033,12.633,12.633,13.366,13.366,11.633,75.664,Serbia,2023,303,False,True
72.0,13.366,10.766,12.633,13.3,12.366,13.0,75.431,Rico,2023,25,False,True
73.0,13.533,12.8,11.333,13.133,12.066,12.533,75.398,Taiwan,2023,398,False,True
74.0,12.1,11.5,12.4,14.1,12.866,12.3,75.266,Vietnam,2023,384,False,True
75.0,12.933,11.4,12.233,13.833,11.9,12.833,75.132,Zealand,2023,107,False,True
76.0,12.566,13.833,12.166,13.166,13.366,9.9,74.997,Kazakhstan,2023,90,False,True
77.0,10.833,12.633,12.566,13.7,13.066,12.066,74.864,Algeria,2023,145,False,True
78.0,12.666,10.2,13.2,13.5,12.566,12.6,74.732,Sweden,2023,237,False,True
79.0,10.766,12.1,12.366,14.366,12.166,12.733,74.497,Ireland,2023,6,False,True
80.0,11.433,11.766,12.166,14.1,11.866,12.833,74.164,Poland,2023,197,False,True
81.0,12.733,11.566,12.5,13.4,11.4,12.5,74.099,Lithuania,2023,136,False,True
82.0,12.033,12.2,12.533,13.633,11.766,11.933,74.098,Austria,2023,317,False,True
83.0,11.833,12.433,12.0,13.4,11.5,12.9,74.066,Kazakhstan,2023,160,False,True
84.0,13.7,10.8,12.233,14.0,11.833,11.4,73.966,Mongolia,2023,379,False,True
85.0,12.366,10.566,11.866,13.633,13.033,12.333,73.797,Colombia,2023,235,False,True
86.0,12.666,9.666,13.033,13.566,12.933,11.633,73.497,Cyprus,2023,256,False,True
87.0,11.866,11.166,11.6,13.633,12.733,12.166,73.164,Chile,2023,184,False,True
88.0,9.766,12.233,12.133,13.9,13.333,10.966,72.331,India,2023,399,False,True
89.0,12.666,11.333,12.8,11.733,11.2,12.466,72.198,Bulgaria,2023,401,False,True
90.0,14.0,10.066,12.433,12.966,10.3,12.366,72.131,Mexico,2023,325,False,True
,14.5,0.0,13.9,14.466,14.233,14.133,71.232,Canada,2023,125,False,True
,14.333,12.766,0.0,13.1,14.433,13.633,68.265,Spain,2023,279,False,True
,14.166,0.0,12.666,14.0,13.833,13.533,68.198,Türkiye,2023,105,False,True
,13.666,12.533,0.0,14.4,14.333,13.033,67.965,Belgium,2023,287,False,True
,13.966,11.8,0.0,14.7,13.3,14.133,67.899,Brazil,2023,32,False,True
91.0,14.6,13.233,11.566,0.0,14.666,13.7,67.765,Philippines,2023,63,False,True
,12.9,13.1,0.0,14.066,14.233,13.4,67.699,Germany,2023,231,False,True
,13.9,0.0,13.366,14.4,13.166,12.4,67.232,Kazakhstan,2023,92,False,True
,13.633,13.433,0.0,14.7,12.0,13.4,67.199,Korea,2023,209,False,True
,13.3,13.1,0.0,14.166,12.333,13.366,66.265,Netherlands,2023,188,False,True
,13.233,12.7,13.266,0.0,14.066,12.033,65.298,Belgium,2023,252,False,True
,14.2,11.066,0.0,13.3,13.133,13.266,64.965,Korea,2023,327,False,True
,0.0,12.366,12.766,14.1,14.0,11.3,64.532,France,2023,203,False,True
,12.8,13.066,0.0,12.866,13.2,11.9,63.832,Romania,2023,274,False,True
,12.7,0.0,12.1,14.266,13.966,10.666,63.698,Colombia,2023,86,False,True
,12.566,12.266,0.0,14.133,11.766,12.8,63.531,Egypt,2023,10,False,True
,11.533,11.1,12.733,12.966,13.833,0.0,62.165,Egypt,2023,410,False,True
,12.966,11.0,0.0,14.333,12.233,7.766,58.298,Morocco,2023,137,False,True
,13.933,0.0,13.733,14.866,0.0,14.166,56.698,States,2023,301,False,True
,0.0,15.066,0.0,14.8,14.533,11.933,56.332,States,2023,207,False,True
,0.0,13.333,13.766,0.0,15.166,13.866,56.131,Japan,2023,352,False,True
,14.233,12.666,14.0,0.0,14.966,0.0,55.865,States,2023,404,False,True
,14.0,0.0,0.0,13.8,14.033,13.5,55.333,France,2023,230,False,True
,0.0,13.6,0.0,13.5,14.9,13.133,55.133,China,2023,342,False,True
,0.0,14.6,13.533,0.0,14.133,12.5,54.766,Germany,2023,286,False,True
,0.0,13.5,13.666,0.0,14.066,13.233,54.465,Switzerland,2023,68,False,True
,13.566,0.0,13.566,14.1,13.2,0.0,54.432,Korea,2023,335,False,True
,0.0,13.366,13.833,13.0,14.166,0.0,54.365,Belgium,2023,277,False,True
,11.7,0.0,0.0,14.366,14.3,13.666,54.032,Switzerland,2023,357,False,True
,0.0,13.5,13.033,0.0,14.433,13.066,54.032,Spain,2023,185,False,True
,0.0,13.6,0.0,13.866,13.766,12.733,53.965,Türkiye,2023,116,False,True
,13.733,0.0,14.133,13.5,0.0,12.5,53.866,Belgium,2023,132,False,True
,14.2,10.9,0.0,14.266,0.0,14.3,53.666,China,2023,351,False,True
,11.266,0.0,13.3,14.1,0.0,14.1,52.766,Netherlands,2023,45,False,True
,13.4,0.0,11.966,14.2,12.966,0.0,52.532,Israel,2023,302,False,True
,12.133,0.0,14.3,13.233,12.2,0.0,51.866,Britain,2023,76,False,True
,13.233,13.8,0.0,0.0,13.5,10.933,51.466,Ukraine,2023,309,False,True
,0.0,12.6,11.5,0.0,13.1,13.866,51.066,Brazil,2023,49,False,True
,0.0,11.8,13.033,0.0,12.5,12.766,50.099,Romania,2023,370,False,True
,14.5,0.0,14.366,14.466,0.0,0.0,43.332,Britain,2023,139,False,True
,0.0,15.266,0.0,0.0,14.133,12.733,42.132,Britain,2023,250,False,True
,14.466,0.0,13.166,14.4,0.0,0.0,42.032,Spain,2023,313,False,True
,14.4,12.933,0.0,14.666,0.0,0.0,41.999,Italy,2023,276,False,True
,13.9,0.0,13.533,14.533,0.0,0.0,41.966,Uzbekistan,2023,2,False,True
,14.1,0.0,13.133,14.4,0.0,0.0,41.633,Brazil,2023,407,False,True
,13.033,0.0,15.2,13.133,0.0,0.0,41.366,China,2023,225,False,True
,13.4,0.0,0.0,14.3,0.0,13.3,41.0,Cyprus,2023,270,False,True
,12.233,0.0,13.733,14.433,0.0,0.0,40.399,Germany,2023,275,False,True
,0.0,13.3,13.533,0.0,0.0,13.366,40.199,Korea,2023,221,False,True
,12.9,0.0,0.0,13.733,13.566,0.0,40.199,Hungary,2023,53,False,True
,0.0,14.466,13.0,0.0,12.666,0.0,40.132,Netherlands,2023,226,False,True
,14.166,13.033,12.9,0.0,0.0,0.0,40.099,France,2023,47,False,True
,0.0,0.0,12.333,0.0,14.833,12.5,39.666,Italy,2023,248,False,True
,13.866,11.433,0.0,14.366,0.0,0.0,39.665,Switzerland,2023,228,False,True
,0.0,0.0,14.8,0.0,14.233,10.6,39.633,China,2023,402,False,True
,13.766,11.3,13.766,0.0,0.0,0.0,38.832,Türkiye,2023,253,False,True
,13.2,0.0,11.233,14.2,0.0,0.0,38.633,Colombia,2023,196,False,True
,0.0,13.566,13.1,0.0,0.0,11.933,38.599,Hungary,2023,44,False,True
,13.0,0.0,11.4,13.233,0.0,0.0,37.633,Romania,2023,104,False,True
,0.0,10.1,0.0,0.0,13.0,13.266,36.366,Uzbekistan,2023,311,False,True
,0.0,0.0,12.666,13.733,9.966,0.0,36.365,Mexico,2023,112,False,True
,0.0,11.533,0.0,0.0,13.5,10.666,35.699,Colombia,2023,338,False,True
,0.0,0.0,13.966,14.833,0.0,0.0,28.799,Ukraine,2023,155,False,True
,14.566,0.0,0.0,14.033,0.0,0.0,28.599,Japan,2023,260,False,True
,0.0,0.0,0.0,14.6,13.933,0.0,28.533,Republic,2023,40,False,True
,0.0,0.0,0.0,14.466,13.3,0.0,27.766,Norway,2023,334,False,True
,0.0,0.0,0.0,0.0,13.9,13.8,27.7,Australia,2023,261,False,True
,0.0,13.2,0.0,0.0,0.0,13.7,26.9,Israel,2023,19,False,True
,13.7,0.0,0.0,13.066,0.0,0.0,26.766,Ireland,2023,94,False,True
,0.0,0.0,12.966,0.0,0.0,12.9,25.866,Egypt,2023,11,False,True
,13.533,0.0,0.0,0.0,0.0,12.133,25.666,Mongolia,2023,106,False,True
,0.0,0.0,0.0,0.0,12.7,12.7,25.4,Latvia,2023,318,False,True
,0.0,0.0,0.0,0.0,12.9,12.3,25.2,Algeria,2023,12,False,True
